date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,70,5,6.906942,1,6.906942,13.219771,13.219771,,
200302,74,5,6.908755,1,13.815697,26.101669,39.321440,,
200303,78,6,6.908689,1,20.724386,16.542431,55.863871,,
200304,80,6,3.839119,7,24.563505,3.885670,59.749541,,
200305,80,6,6.486069,1,31.049574,7.550105,67.299647,,
200306,85,6,-3.646617,78,27.402957,-3.647590,63.652056,,
200307,86,6,6.813035,1,34.215992,9.205843,72.857900,,
200308,88,6,6.693256,1,40.909248,8.332872,81.190772,,
200309,94,7,6.908590,1,47.817838,15.619535,96.810307,,
200310,97,7,6.905292,1,54.723130,12.571580,109.381886,,
200311,98,7,6.908695,1,61.631825,16.625093,126.006979,,
200312,96,7,6.904889,1,68.536714,12.461440,138.468419,,
200401,106,8,6.908446,1,75.445160,14.991832,153.460251,,
200402,101,7,6.908711,1,82.353871,16.940619,170.400869,,
200403,106,8,6.908743,1,89.262614,18.248857,188.649727,,
200404,107,8,6.901010,1,96.163624,11.764579,200.414305,,
200405,108,8,6.908735,1,103.072358,17.718168,218.132473,,
200406,106,8,6.908466,1,109.980824,15.056874,233.189347,,
200407,110,8,6.900716,1,116.881540,11.727190,244.916537,,
200408,108,8,6.908663,1,123.790203,16.202298,261.118834,,
200409,111,8,6.908750,1,130.698953,19.197512,280.316346,,
200410,108,8,6.876637,1,137.575590,10.329990,290.646336,,
200411,109,8,6.906656,1,144.482245,13.072953,303.719289,,
200412,116,8,6.907807,1,151.390052,13.868169,317.587458,,
200501,115,8,6.908752,1,158.298804,19.894130,337.481588,,
200502,115,8,6.908755,1,165.207559,31.494415,368.976003,,
200503,111,8,6.899156,1,172.106715,11.549069,380.525073,,
200504,100,7,-16.748881,138,155.357834,-16.749881,363.775192,,
200505,98,7,6.904758,1,162.262592,12.428054,376.203246,,
200506,104,7,6.908753,1,169.171345,20.344481,396.547726,,
200507,105,7,6.874774,1,176.046119,10.272667,406.820394,,
200508,104,7,6.855424,1,182.901542,9.812207,416.632601,,
200509,101,7,6.908754,1,189.810297,21.055538,437.688139,,
200510,103,7,6.899006,1,196.709303,11.533507,449.221646,,
200511,101,7,1.444272,11,198.153574,1.447516,450.669162,,
200512,116,8,-11.300498,176,186.853076,-11.301498,439.367664,,
200601,116,8,-6.349823,125,180.503253,-6.350821,433.016843,,
200602,116,8,4.464579,3,184.967832,4.554377,437.571220,,
200603,118,8,4.586666,3,189.554498,4.688883,442.260104,,
200604,117,8,2.404216,3,191.958714,2.414337,444.674441,,
200605,120,8,5.461194,2,197.419908,5.728261,450.402701,,
200606,128,9,6.882070,1,204.301978,10.518058,460.920759,,
200607,125,9,6.908751,1,211.210729,19.419344,480.340103,,
200608,127,9,6.908755,1,218.119484,37.689812,518.029915,,
200609,130,9,6.908755,1,225.028239,29.338175,547.368090,,
200610,141,10,6.908755,1,231.936994,47.041739,594.409829,,
200611,127,9,6.896446,1,238.833439,11.298998,605.708827,,
200612,127,9,3.159230,3,241.992669,3.182041,608.890867,,
200701,123,9,6.908753,1,248.901422,19.934711,628.825579,,
200702,118,8,6.908755,1,255.810177,25.274229,654.099808,,
200703,109,8,6.908755,1,262.718932,25.085769,679.185577,,
200704,118,8,6.908755,1,269.627686,28.804327,707.989904,,
200705,113,8,6.908753,1,276.536440,20.308961,728.298865,,
200706,105,7,6.887955,1,283.424394,10.770142,739.069008,,
200707,101,7,-12.388369,44,271.036026,-12.389368,726.679639,,
200708,95,7,-4.109162,23,266.926863,-4.110146,722.569494,,
200709,91,7,-14.437824,95,252.489039,-14.438824,708.130670,,
200710,79,6,-4.992815,174,247.496224,-4.993807,703.136863,,
200711,77,6,-15.153581,76,232.342643,-15.154581,687.982282,,
200712,73,5,-10.632131,180,221.710512,-10.633130,677.349151,,
200801,72,5,6.888367,1,228.598879,10.790350,688.139502,,
200802,72,5,-12.210090,76,216.388788,-12.211090,675.928412,,
200803,50,4,0.942995,16,217.331783,0.944563,676.872975,,
200804,52,4,-0.171896,19,217.159887,-0.172054,676.700921,,
200805,55,4,-8.486966,206,208.672921,-8.487965,668.212956,,
200806,40,3,-5.718165,202,202.954757,-5.719161,662.493795,,
200807,37,3,-3.492553,350,199.462203,-3.493523,659.000273,,
200808,38,3,-4.303739,202,195.158464,-4.304725,654.695548,,
200809,38,3,1.593251,15,196.751715,1.597178,656.292726,,
200810,35,3,-3.632275,63,193.119440,-3.633248,652.659478,,
200811,35,3,-6.602148,230,186.517292,-6.603146,646.056332,,
200812,32,3,-6.849897,174,179.667395,-6.850895,639.205436,,
200901,32,3,-1.246945,211,178.420450,-1.247658,637.957779,,
200902,33,3,-1.254937,546,177.165513,-1.255652,636.702127,,
200903,33,3,-1.343239,678,175.822274,-1.343977,635.358150,,
200904,34,3,-0.586008,445,175.236265,-0.586452,634.771698,,
