date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,88,6,3.112050,8,3.112050,3.133751,3.133751,,
200302,100,7,2.687118,5,5.799168,2.700902,5.834653,,
200303,102,7,6.862412,1,12.661580,9.956181,15.790834,,
200304,102,7,6.013431,1,18.675011,6.537484,22.328318,,
200305,118,8,6.906191,1,25.581202,12.872674,35.200992,,
200306,124,9,6.853268,1,32.434470,9.771499,44.972490,,
200307,137,10,6.906027,1,39.340498,12.810736,57.783227,,
200308,143,10,6.907090,1,46.247587,13.304815,71.088042,,
200309,148,10,6.908755,1,53.156342,25.358063,96.446105,,
200310,150,10,6.908754,1,60.065096,20.630342,117.076447,,
200311,152,11,6.908738,1,66.973834,17.917042,134.993489,,
200312,150,10,6.908754,1,73.882588,21.612642,156.606131,,
200401,139,10,6.908625,1,80.791213,15.857055,172.463186,,
200402,143,10,6.908722,1,87.699936,17.248347,189.711533,,
200403,139,10,6.908726,1,94.608662,17.358539,207.070071,,
200404,135,9,6.848351,1,101.457012,9.684099,216.754170,,
200405,140,10,6.908755,1,108.365767,24.899790,241.653961,,
200406,146,10,6.908755,1,115.274522,28.891229,270.545190,,
200407,152,11,6.908755,1,122.183277,30.495840,301.041030,,
200408,153,11,6.908755,1,129.092031,26.011908,327.052938,,
200409,155,11,6.892869,1,135.984901,11.042137,338.095076,,
200410,162,11,6.908755,1,142.893655,51.048518,389.143594,,
200411,167,12,6.908755,1,149.802410,27.309142,416.452735,,
200412,163,11,6.908755,1,156.711165,22.706894,439.159630,,
200501,164,11,6.908755,1,163.619920,27.469547,466.629177,,
200502,169,12,6.908755,1,170.528674,30.123665,496.752842,,
200503,172,12,6.908755,1,177.437429,25.688926,522.441768,,
200504,187,13,6.908755,1,184.346184,58.445409,580.887177,,
200505,196,14,6.908755,1,191.254939,77.477437,658.364614,,
200506,190,13,6.908755,1,198.163693,71.952433,730.317047,,
200507,190,13,6.908755,1,205.072448,63.743183,794.060230,,
200508,190,13,6.908755,1,211.981203,55.265913,849.326144,,
200509,197,14,6.908755,1,218.889958,88.605239,937.931382,,
200510,194,13,6.908755,1,225.798713,77.710980,1015.642362,,
200511,197,14,6.908755,1,232.707467,96.545301,1112.187663,,
