date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,393,27,6.908755,1,6.908755,43.541986,43.541986,,
200302,409,28,6.908755,1,13.817510,70.313766,113.855752,,
200303,419,28,6.908755,1,20.726264,64.062047,177.917799,,
200304,435,29,6.908755,1,27.635019,64.181457,242.099257,,
200305,427,29,6.908755,1,34.543774,46.860407,288.959663,,
200306,437,30,6.908755,1,41.452529,51.554744,340.514408,,
200307,442,30,6.908755,1,48.361283,55.980241,396.494649,,
200308,444,30,6.908755,1,55.270038,66.072797,462.567446,,
200309,451,31,6.908755,1,62.178793,75.703700,538.271146,,
200310,433,29,6.908755,1,69.087548,78.788105,617.059251,,
200311,437,30,6.908755,1,75.996303,84.484329,701.543579,,
200312,442,30,6.908755,1,82.905057,65.461206,767.004785,,
200401,441,30,6.908755,1,89.813812,60.627078,827.631863,,
200402,445,30,6.908755,1,96.722567,67.671976,895.303839,,
200403,438,30,6.908755,1,103.631322,89.836849,985.140688,,
200404,440,30,6.908755,1,110.540076,73.258106,1058.398794,,
200405,435,29,6.908755,1,117.448831,130.086016,1188.484810,,
200406,436,30,6.908755,1,124.357586,119.031233,1307.516043,,
200407,432,29,6.908755,1,131.266341,164.907175,1472.423219,,
200408,431,29,6.908755,1,138.175096,139.604555,1612.027774,,
200409,441,30,6.908755,1,145.083850,170.138322,1782.166096,,
200410,437,30,6.908755,1,151.992605,194.166136,1976.332232,,
200411,434,29,6.908755,1,158.901360,136.485692,2112.817924,,
200412,423,29,6.908755,1,165.810115,180.826049,2293.643973,,
200501,425,29,6.908755,1,172.718869,194.029910,2487.673883,,
200502,427,29,6.908755,1,179.627624,172.215263,2659.889146,,
200503,411,28,6.908755,1,186.536379,352.367173,3012.256319,,
200504,404,27,6.908755,1,193.445134,310.997383,3323.253703,,
200505,402,27,6.908755,1,200.353889,287.479955,3610.733658,,
200506,397,27,6.908755,1,207.262643,275.623032,3886.356690,,
200507,403,27,6.908755,1,214.171398,240.526268,4126.882958,,
200508,405,27,6.908755,1,221.080153,280.923724,4407.806682,,
200509,404,27,6.908755,1,227.988908,287.936094,4695.742777,,
200510,414,28,6.908755,1,234.897662,332.832993,5028.575769,,
200511,411,28,6.908755,1,241.806417,304.403983,5332.979753,,
200512,411,28,6.908755,1,248.715172,311.004562,5643.984315,,
200601,413,28,6.908755,1,255.623927,300.787257,5944.771572,,
200602,424,29,6.908755,1,262.532682,254.643468,6199.415041,,
200603,419,28,6.908755,1,269.441436,289.627867,6489.042907,,
200604,424,29,6.908755,1,276.350191,299.012609,6788.055517,,
200605,416,28,6.908755,1,283.258946,329.521359,7117.576876,,
200606,410,28,6.908755,1,290.167701,404.971876,7522.548752,,
200607,416,28,6.908755,1,297.076456,449.839889,7972.388641,,
200608,417,28,6.908755,1,303.985210,379.771519,8352.160160,,
200609,416,28,6.908755,1,310.893965,441.009016,8793.169176,,
200610,403,27,6.908755,1,317.802720,514.712197,9307.881374,,
200611,394,27,6.908755,1,324.711475,434.299509,9742.180882,,
200612,395,27,6.908755,1,331.620229,457.586588,10199.767470,,
200701,400,27,6.908755,1,338.528984,509.344399,10709.111868,,
200702,391,27,6.908755,1,345.437739,379.034034,11088.145902,,
200703,380,26,6.908755,1,352.346494,448.470773,11536.616675,,
200704,384,26,6.908755,1,359.255249,358.006428,11894.623103,,
200705,384,26,6.908755,1,366.164003,433.806030,12328.429133,,
200706,381,26,6.908755,1,373.072758,461.453752,12789.882885,,
