date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,311,21,6.908755,1,6.908755,61.571075,61.571075,,
200302,315,21,6.908755,1,13.817510,87.427694,148.998769,,
200303,319,22,6.908755,1,20.726264,56.458553,205.457323,,
200304,323,22,6.908755,1,27.635019,52.856291,258.313613,,
200305,336,23,6.908755,1,34.543774,37.471230,295.784843,,
200306,348,24,6.908755,1,41.452529,42.828822,338.613665,,
200307,359,24,6.908755,1,48.361283,23.873509,362.487174,,
200308,365,25,6.905517,1,55.266801,12.639158,375.126332,,
200309,373,25,-2.421486,9,52.845315,-2.422397,372.703934,,
200310,367,25,6.908755,1,59.754069,29.888913,402.592848,,
200311,373,25,3.215834,2,62.969903,3.240049,405.832896,,
200312,376,26,6.908753,1,69.878656,20.178875,426.011772,,
200401,379,26,6.907706,1,76.786363,13.767812,439.779584,,
200402,375,25,6.908754,1,83.695117,20.956703,460.736287,,
200403,377,26,6.908755,1,90.603872,28.294124,489.030411,,
200404,372,25,6.908755,1,97.512626,50.328940,539.359351,,
200405,371,25,6.908755,1,104.421381,40.770109,580.129460,,
200406,372,25,6.908755,1,111.330136,24.618956,604.748416,,
200407,374,25,6.908755,1,118.238891,47.590032,652.338448,,
200408,377,26,6.908755,1,125.147645,68.218900,720.557348,,
200409,386,26,6.908755,1,132.056400,60.963611,781.520959,,
200410,383,26,6.908755,1,138.965155,52.274977,833.795936,,
200411,393,27,6.908755,1,145.873910,41.993747,875.789683,,
200412,393,27,6.908755,1,152.782665,67.449784,943.239468,,
200501,391,27,6.908755,1,159.691419,74.551696,1017.791163,,
200502,388,26,6.908755,1,166.600174,36.353766,1054.144929,,
200503,384,26,6.908755,1,173.508929,54.421676,1108.566605,,
200504,381,26,6.908755,1,180.417684,51.641306,1160.207911,,
200505,377,26,6.908755,1,187.326438,49.132445,1209.340356,,
200506,386,26,6.908755,1,194.235193,78.162564,1287.502919,,
200507,392,27,6.908755,1,201.143948,80.216616,1367.719536,,
200508,390,26,6.908755,1,208.052703,68.989831,1436.709367,,
200509,398,27,6.908755,1,214.961458,105.659419,1542.368786,,
200510,403,27,6.908755,1,221.870212,80.281911,1622.650696,,
200511,402,27,6.908755,1,228.778967,117.320365,1739.971061,,
200512,390,26,6.908755,1,235.687722,62.675182,1802.646244,,
200601,375,25,6.908755,1,242.596477,77.212993,1879.859236,,
200602,380,26,6.908755,1,249.505231,76.252808,1956.112044,,
200603,377,26,6.908755,1,256.413986,69.367643,2025.479687,,
200604,372,25,6.908755,1,263.322741,28.919569,2054.399255,,
200605,369,25,6.908755,1,270.231496,79.931332,2134.330588,,
200606,382,26,6.908755,1,277.140251,92.047698,2226.378286,,
200607,385,26,6.908755,1,284.049005,51.727196,2278.105482,,
200608,377,26,6.908755,1,290.957760,76.515075,2354.620557,,
200609,373,25,6.908755,1,297.866515,70.567525,2425.188082,,
200610,336,23,6.908755,1,304.775270,33.984161,2459.172243,,
200611,345,23,6.908755,1,311.684024,35.361850,2494.534092,,
200612,337,23,6.908755,1,318.592779,24.361648,2518.895741,,
200701,333,23,6.908755,1,325.501534,27.905016,2546.800756,,
200702,310,21,6.908755,1,332.410289,25.206264,2572.007021,,
200703,308,21,6.908755,1,339.319044,40.977789,2612.984809,,
200704,320,22,6.908753,1,346.227796,20.113860,2633.098669,,
200705,322,22,6.835202,1,353.062998,9.480500,2642.579169,,
200706,321,22,6.908755,1,359.971753,23.063816,2665.642985,,
200707,317,22,6.908666,1,366.880419,16.234994,2681.877979,,
