date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,53,4,1.952047,36,1.952047,1.958109,1.958109,,
200302,54,4,5.898282,2,7.850329,6.349912,8.308021,,
200303,57,4,6.908066,1,14.758395,14.188144,22.496165,,
200304,57,4,6.778163,1,21.536558,8.877431,31.373596,,
200305,48,4,3.861667,3,25.398225,3.909329,35.282925,,
200306,50,4,1.918145,29,27.316369,1.923970,37.206895,,
200307,52,4,3.238141,7,30.554510,3.262932,40.469827,,
200308,52,4,-1.669256,111,28.885255,-1.670067,38.799760,,
200309,51,4,0.685544,138,29.570799,0.686529,39.486289,,
200310,59,4,-0.199137,217,29.371662,-0.199317,39.286972,,
200311,59,4,-2.069970,724,27.301692,-2.070844,37.216128,,
200312,61,5,-1.467166,308,25.834526,-1.467935,35.748193,,
200401,64,5,2.668818,16,28.503344,2.682332,38.430525,,
200402,66,5,2.360414,21,30.863758,2.370055,40.800581,,
200403,65,5,-0.530272,237,30.333486,-0.530683,40.269897,,
200404,65,5,0.055463,149,30.388949,0.055520,40.325418,,
200405,65,5,-6.326682,167,24.062267,-6.327680,33.997738,,
200406,69,5,2.392430,14,26.454696,2.402419,36.400157,,
200407,66,5,0.845019,86,27.299715,0.846347,37.246504,,
200408,64,5,0.184709,59,27.484424,0.184912,37.431417,,
200409,67,5,-2.832415,460,24.652009,-2.833356,34.598061,,
200410,66,5,-0.480160,214,24.171850,-0.480541,34.117520,,
200411,67,5,1.312978,46,25.484828,1.315699,35.433219,,
200412,67,5,1.741928,27,27.226756,1.746648,37.179867,,
200501,67,5,0.832773,87,28.059529,0.834074,38.013940,,
200502,82,6,2.048840,22,30.108369,2.055622,40.069562,,
200503,83,6,6.279188,1,36.387557,7.039234,47.108796,,
200504,84,6,2.632287,15,39.019844,2.645277,49.754073,,
200505,85,6,4.743144,3,43.762988,4.863950,54.618023,,
200506,88,6,-1.408018,66,42.354970,-1.408773,53.209250,,
200507,88,6,-17.600676,692,24.754293,-17.601676,35.607574,,
200508,90,6,4.370259,2,29.124552,4.451538,40.059113,,
200509,95,7,-8.141505,166,20.983047,-8.142504,31.916608,,
200510,89,6,-9.874434,218,11.108613,-9.875433,22.041175,,
200511,89,6,0.780967,32,11.889580,0.782151,22.823326,,
200512,90,6,-9.858533,524,2.031047,-9.859532,12.963794,,
200601,94,7,-3.693326,137,-1.662279,-3.694301,9.269493,,
200602,97,7,3.526646,7,1.864367,3.560213,12.829706,,
200603,95,7,-1.336989,121,0.527378,-1.337726,11.491980,,
200604,97,7,-0.526832,73,0.000546,-0.527242,10.964738,,
200605,95,7,-0.173247,75,-0.172701,-0.173406,10.791332,,
200606,98,7,-23.369770,281,-23.542471,-23.370770,-12.579437,,
200607,94,7,-10.230843,401,-33.773314,-10.231843,-22.811280,,
