date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,16,2,1.615721,42,1.615721,1.619760,1.619760,,
200302,19,2,1.358286,72,2.974007,1.361180,2.980940,,
200303,19,2,-1.060752,96,1.913255,-1.061405,1.919535,,
200304,19,2,-0.211567,166,1.701687,-0.211758,1.707777,,
200305,20,2,0.593601,98,2.295288,0.594411,2.302188,,
200306,22,2,2.405826,19,4.701114,2.415965,4.718153,,
200307,23,2,1.628661,48,6.329775,1.632766,6.350919,,
200308,23,2,-0.289712,234,6.040063,-0.289964,6.060956,,
200309,24,2,0.634504,165,6.674567,0.635391,6.696346,,
200310,24,2,0.124099,301,6.798666,0.124231,6.820577,,
200311,24,2,-3.511403,177,3.287263,-3.512373,3.308204,,
200312,24,2,-6.489724,612,-3.202462,-6.490722,-3.182518,,
200401,26,2,0.165663,268,-3.036799,0.165844,-3.016675,,
200402,27,2,0.131686,314,-2.905112,0.131827,-2.884848,,
200403,27,2,-1.413322,555,-4.318435,-1.414079,-4.298927,,
200404,25,2,0.276805,174,-4.041630,0.277124,-4.021803,,
200405,29,2,-0.392219,658,-4.433849,-0.392543,-4.414346,,
200406,31,3,-0.003136,285,-4.436985,-0.003139,-4.417485,,
200407,32,3,-1.193195,907,-5.630180,-1.193892,-5.611377,,
200408,32,3,0.158527,225,-5.471653,0.158699,-5.452678,,
200409,31,3,0.163267,226,-5.308386,0.163445,-5.289233,,
200410,31,3,0.337099,175,-4.971287,0.337500,-4.951733,,
200411,32,3,0.842461,40,-4.128826,0.843784,-4.107950,,
200412,32,3,0.986560,56,-3.142266,0.988243,-3.119706,,
200501,34,3,-11.703332,633,-14.845598,-11.704332,-14.824038,,
200502,34,3,-0.021709,428,-14.867308,-0.021731,-14.845769,,
200503,33,3,-0.784269,480,-15.651577,-0.784813,-15.630581,,
200504,35,3,-0.228734,187,-15.880311,-0.228939,-15.859520,,
200505,35,3,-1.317375,384,-17.197686,-1.318107,-17.177627,,
200506,35,3,-0.457656,145,-17.655341,-0.458023,-17.635650,,
200507,40,3,-1.927046,335,-19.582388,-1.927900,-19.563550,,
200508,40,3,1.396098,49,-18.186290,1.399142,-18.164408,,
200509,40,3,0.551320,137,-17.634970,0.552056,-17.612352,,
200510,40,3,1.705670,32,-15.929300,1.710185,-15.902167,,
200511,42,3,1.613424,27,-14.315876,1.617452,-14.284716,,
200512,42,3,3.012398,5,-11.303478,3.031924,-11.252792,,
200601,43,3,2.169332,2,-9.134146,2.177115,-9.075677,,
200602,44,3,-7.276274,129,-16.410420,-7.277273,-16.352950,,
200603,42,3,0.437361,185,-15.973060,0.437909,-15.915041,,
200604,42,3,-0.160596,329,-16.133656,-0.160745,-16.075785,,
200605,43,3,0.823497,91,-15.310159,0.824776,-15.251009,,
200606,42,3,2.325448,22,-12.984712,2.334722,-12.916288,,
200607,43,3,-2.043899,415,-15.028611,-2.044769,-14.961057,,
200608,43,3,2.037653,12,-12.990958,2.044348,-12.916709,,
200609,43,3,1.658908,33,-11.332050,1.663171,-11.253538,,
200610,43,3,0.853731,100,-10.478318,0.855080,-10.398458,,
200611,44,3,3.167816,9,-7.310503,3.190834,-7.207624,,
200612,45,3,1.927228,21,-5.383275,1.933115,-5.274508,,
200701,44,3,1.917614,23,-3.465661,1.923436,-3.351073,,
200702,43,3,1.191869,74,-2.273793,1.194164,-2.156908,,
200703,43,3,2.713171,14,0.439378,2.727348,0.570439,,
200704,44,3,0.876632,92,1.316010,0.878036,1.448475,,
200705,45,3,1.764221,33,3.080231,1.769069,3.217545,,
200706,44,3,-3.395136,209,-0.314905,-3.396102,-0.178557,,
200707,45,3,-1.008906,247,-1.323811,-1.009541,-1.188098,,
200708,45,3,-2.107856,560,-3.431668,-2.108735,-3.296833,,
200709,48,4,6.087874,1,2.656206,6.666771,3.369938,,
200710,49,4,0.877080,84,3.533286,0.878485,4.248423,,
200711,51,4,-5.762284,202,-2.228998,-5.763280,-1.514857,,
200712,50,4,0.352252,100,-1.876746,0.352674,-1.162183,,
200801,50,4,-0.987422,88,-2.864168,-0.988049,-2.150233,,
200802,51,4,-6.233174,215,-9.097342,-6.234172,-8.384405,,
200803,52,4,6.908486,1,-2.188857,15.127657,6.743252,,
200804,51,4,6.908753,1,4.719896,20.244410,26.987662,,
200805,51,4,5.384138,2,10.104034,5.628661,32.616323,,
200806,52,4,-10.201393,473,-0.097359,-10.202393,22.413931,,
200807,52,4,1.766937,7,1.669578,1.771802,24.185732,,
200808,54,4,-0.782616,11,0.886962,-0.783159,23.402573,,
