date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,68,5,1.714997,26,1.714997,1.719564,1.719564,,
200302,72,5,6.639813,1,8.354809,8.083531,9.803095,,
200303,76,6,6.908749,1,15.263558,18.900050,28.703144,,
200304,78,6,5.194514,2,20.458071,5.392087,34.095232,,
200305,78,6,6.536272,1,26.994344,7.703305,41.798537,,
200306,83,6,-2.300177,44,24.694166,-2.301077,39.497460,,
200307,84,6,6.543253,1,31.237419,7.725927,47.223387,,
200308,86,6,6.907627,1,38.145046,13.694981,60.918368,,
200309,91,7,3.408386,9,41.553433,3.438038,64.356406,,
200310,94,7,5.585098,1,47.138531,5.893564,70.249970,,
200311,95,7,6.860799,1,53.999330,9.921165,80.171135,,
200312,92,7,6.649111,1,60.648441,8.123570,88.294705,,
200401,102,7,-20.053662,863,40.594779,-20.054662,68.240044,,
200402,97,7,6.908739,1,47.503518,17.962263,86.202307,,
200403,101,7,-1.045894,131,46.457624,-1.046542,85.155765,,
200404,100,7,6.908553,1,53.366177,15.414739,100.570504,,
200405,101,7,6.865128,1,60.231305,10.017941,110.588444,,
200406,99,7,6.830566,1,67.061871,9.417037,120.005481,,
200407,104,7,6.908754,1,73.970626,21.701618,141.707099,,
200408,102,7,6.743233,1,80.713859,8.622508,150.329607,,
200409,105,7,5.157339,2,85.871198,5.346929,155.676536,,
200410,102,7,6.908755,1,92.779953,24.922649,180.599185,,
200411,103,7,4.358084,3,97.138037,4.438327,185.037512,,
200412,109,8,5.374596,1,102.512633,5.616480,190.653992,,
200501,109,8,-2.808412,103,99.704221,-2.809351,187.844641,,
200502,109,8,1.753707,3,101.457928,1.758495,189.603136,,
200503,106,8,6.903470,1,108.361398,12.147972,201.751108,,
200504,95,7,6.064947,1,114.426345,6.626189,208.377297,,
200505,92,7,6.908321,1,121.334666,14.650684,223.027981,,
200506,99,7,1.994253,2,123.328920,2.000620,225.028601,,
200507,101,7,6.890815,1,130.219735,10.919529,235.948130,,
200508,100,7,6.908697,1,137.128432,16.660827,252.608957,,
200509,97,7,6.567801,1,143.696233,7.808448,260.417405,,
200510,99,7,0.551754,18,144.247987,0.552490,260.969896,,
200511,98,7,6.897134,1,151.145121,11.356918,272.326813,,
200512,113,8,5.683366,2,156.828487,6.030002,278.356815,,
200601,112,8,6.908732,1,163.737220,17.613741,295.970556,,
200602,112,8,6.902644,1,170.639864,12.002442,307.972999,,
200603,114,8,3.981100,4,174.620964,4.035109,312.008107,,
200604,111,8,6.657355,1,181.278319,8.160133,320.168241,,
200605,114,8,5.350310,2,186.628629,5.585619,325.753860,,
200606,121,9,2.595003,11,189.223631,2.607477,328.361336,,
200607,118,8,6.906284,1,196.129916,12.909875,341.271212,,
200608,119,8,6.908755,1,203.038670,26.037396,367.308608,,
200609,122,9,6.908755,1,209.947425,29.354827,396.663435,,
200610,133,9,6.908755,1,216.856180,41.930212,438.593647,,
200611,119,8,6.908755,1,223.764935,32.475625,471.069272,,
200612,119,8,6.908399,1,230.673334,14.849941,485.919213,,
200701,115,8,3.008765,3,233.682099,3.028215,488.947428,,
200702,110,8,6.887886,1,240.569985,10.766826,499.714254,,
200703,101,7,3.081077,4,243.651063,3.102078,502.816332,,
200704,110,8,2.512432,7,246.163495,2.523832,505.340164,,
200705,105,7,0.968685,12,247.132180,0.970321,506.310485,,
200706,98,7,6.907715,1,254.039895,13.775935,520.086420,,
200707,94,7,-6.848558,6,247.191337,-6.849556,513.236864,,
200708,89,6,-6.677641,91,240.513696,-6.678639,506.558224,,
200709,85,6,6.908755,1,247.422451,27.992681,534.550906,,
200710,74,5,1.438601,21,248.861053,1.441821,535.992727,,
200711,72,5,5.245206,2,254.106258,5.454267,541.446995,,
200712,68,5,6.873373,1,260.979631,10.231563,551.678558,,
200801,67,5,-1.232679,33,259.746953,-1.233387,550.445171,,
200802,68,5,6.908347,1,266.655299,14.711471,565.156642,,
200803,46,4,6.908669,1,273.563968,16.269978,581.426619,,
200804,48,4,6.908755,1,280.472723,26.392076,607.818695,,
200805,51,4,6.908748,1,287.381471,18.821726,626.640421,,
200806,36,3,1.308830,45,288.690301,1.311535,627.951956,,
200807,35,3,-2.118723,323,286.571578,-2.119602,625.832354,,
200808,36,3,-0.034934,98,286.536644,-0.034968,625.797386,,
200809,36,3,1.040117,63,287.576762,1.041949,626.839335,,
200810,33,3,-11.010384,402,276.566378,-11.011383,615.827951,,
200811,33,3,-1.729559,299,274.836819,-1.730381,614.097571,,
200812,30,2,-11.280565,330,263.556255,-11.281564,602.816007,,
200901,30,2,0.030659,132,263.586914,0.030690,602.846697,,
200902,31,3,2.156492,18,265.743406,2.164162,605.010859,,
200903,31,3,0.750037,62,266.493443,0.751155,605.762014,,
200904,32,3,2.175741,18,268.669184,2.183580,607.945594,,
200905,31,3,0.140202,140,268.809385,0.140352,608.085946,,
200906,31,3,1.093173,72,269.902558,1.095158,609.181104,,
200907,32,3,4.213020,3,274.115578,4.281899,613.463003,,
200908,35,3,4.882343,1,278.997921,5.022685,618.485688,,
200909,36,3,6.848170,1,285.846091,9.681021,628.166709,,
200910,36,3,5.893197,1,291.739287,6.341928,634.508637,,
200911,39,3,6.881003,1,298.620290,10.478288,644.986925,,
200912,45,3,6.806079,1,305.426369,9.132155,654.119080,,
201001,50,4,6.732999,1,312.159368,8.557251,662.676332,,
201002,54,4,5.122676,3,317.282044,5.305138,667.981470,,
201003,54,4,4.167034,5,321.449078,4.232665,672.214135,,
201004,60,4,1.331640,3,322.780718,1.334431,673.548566,,
201005,60,4,-3.479138,102,319.301580,-3.480106,670.068460,,
