date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,86,6,6.908603,1,6.908603,15.702891,15.702891,,
200302,94,7,6.908755,1,13.817358,25.410957,41.113848,,
200303,96,7,6.908726,1,20.726084,17.372346,58.486194,,
200304,96,7,6.908755,1,27.634839,37.910218,96.396412,,
200305,110,8,6.908755,1,34.543594,34.618037,131.014448,,
200306,116,8,6.908754,1,41.452348,21.796025,152.810473,,
200307,129,9,6.908747,1,48.361096,18.722345,171.532818,,
200308,135,9,6.908738,1,55.269834,17.895556,189.428374,,
200309,139,10,6.908755,1,62.178588,23.743757,213.172131,,
200310,141,10,6.908755,1,69.087343,36.231724,249.403855,,
200311,144,10,2.950784,5,72.038127,2.969071,252.372925,,
200312,144,10,6.908755,1,78.946881,28.311293,280.684219,,
200401,133,9,6.756762,1,85.703643,8.714715,289.398934,,
200402,136,10,6.888999,1,92.592642,10.822148,300.221082,,
200403,132,9,6.908749,1,99.501391,19.024439,319.245521,,
200404,128,9,0.213471,5,99.714862,0.213709,319.459230,,
200405,131,9,6.908753,1,106.623615,20.182860,339.642090,,
200406,137,10,-1.868945,14,104.754670,-1.869790,337.772299,,
200407,143,10,6.784403,1,111.539073,8.929575,346.701874,,
200408,144,10,4.007828,3,115.546901,4.063370,350.765244,,
200409,146,10,-6.048502,31,109.498399,-6.049499,344.715745,,
200410,152,11,6.908755,1,116.407154,40.100505,384.816250,,
200411,157,11,6.908749,1,123.315903,18.996567,403.812816,,
200412,153,11,6.908754,1,130.224658,21.686220,425.499037,,
200501,153,11,6.908755,1,137.133412,32.143365,457.642401,,
200502,158,11,6.735583,1,143.868995,8.573389,466.215791,,
200503,160,11,6.908755,1,150.777750,28.291750,494.507541,,
200504,173,12,6.908755,1,157.686505,37.110293,531.617834,,
200505,182,13,6.908755,1,164.595259,28.493211,560.111044,,
200506,176,12,6.908755,1,171.504014,26.163381,586.274425,,
200507,177,12,6.908755,1,178.412769,46.612904,632.887330,,
200508,174,12,6.908755,1,185.321524,33.061274,665.948604,,
200509,181,13,6.908755,1,192.230279,30.857014,696.805617,,
200510,182,13,6.908551,1,199.138830,15.408578,712.214195,,
200511,183,13,6.908755,1,206.047585,32.362465,744.576660,,
200512,151,11,6.908755,1,212.956340,55.353845,799.930505,,
200601,150,10,6.908755,1,219.865094,23.743018,823.673522,,
200602,154,11,6.908755,1,226.773849,29.172610,852.846132,,
200603,151,11,6.908755,1,233.682604,40.127935,892.974067,,
200604,146,10,6.908755,1,240.591359,36.161684,929.135751,,
200605,140,10,6.908755,1,247.500113,22.503756,951.639507,,
200606,130,9,6.908755,1,254.408868,33.691188,985.330696,,
200607,129,9,0.131153,2,254.540021,0.131293,985.461989,,
200608,128,9,6.908755,1,261.448776,25.185344,1010.647333,,
200609,130,9,6.908755,1,268.357531,32.235794,1042.883127,,
200610,131,9,6.541681,1,274.899212,7.720803,1050.603930,,
200611,144,10,6.908755,1,281.807967,29.737489,1080.341419,,
200612,139,10,6.215052,1,288.023019,6.906645,1087.248063,,
200701,144,10,6.908754,1,294.931773,21.290069,1108.538132,,
200702,148,10,6.908755,1,301.840528,27.707934,1136.246066,,
200703,148,10,6.908754,1,308.749282,21.832926,1158.078992,,
200704,124,9,6.908755,1,315.658037,33.110883,1191.189875,,
200705,122,9,6.908755,1,322.566792,37.040163,1228.230039,,
200706,125,9,6.908755,1,329.475547,46.797175,1275.027214,,
200707,118,8,6.908755,1,336.384301,45.503867,1320.531080,,
200708,116,8,6.908755,1,343.293056,33.401677,1353.932758,,
200709,120,8,6.828066,1,350.121122,9.384293,1363.317051,,
