date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,361,25,6.908755,1,6.908755,168.552553,168.552553,,
200302,372,25,6.908755,1,13.817510,134.885596,303.438149,,
200303,381,26,6.908755,1,20.726264,177.665046,481.103195,,
200304,397,27,6.908755,1,27.635019,111.859369,592.962564,,
200305,390,26,6.908755,1,34.543774,86.191143,679.153707,,
200306,401,27,6.908755,1,41.452529,123.968068,803.121775,,
200307,405,27,6.908755,1,48.361283,73.100269,876.222044,,
200308,413,28,6.908755,1,55.270038,106.634189,982.856234,,
200309,417,28,6.908755,1,62.178793,78.664814,1061.521048,,
200310,398,27,6.908755,1,69.087548,69.468888,1130.989936,,
200311,402,27,6.908755,1,75.996303,61.741527,1192.731463,,
200312,406,28,6.908755,1,82.905057,111.710420,1304.441883,,
200401,405,27,6.908755,1,89.813812,64.943406,1369.385289,,
200402,408,28,6.908755,1,96.722567,68.803780,1438.189069,,
200403,401,27,6.908755,1,103.631322,119.642732,1557.831801,,
200404,403,27,6.908755,1,110.540076,41.395128,1599.226928,,
200405,402,27,6.908755,1,117.448831,117.207312,1716.434240,,
200406,402,27,6.908755,1,124.357586,55.726848,1772.161087,,
200407,397,27,6.908755,1,131.266341,100.346822,1872.507909,,
200408,396,27,6.908755,1,138.175096,100.120222,1972.628131,,
200409,403,27,6.908755,1,145.083850,68.428026,2041.056157,,
200410,399,27,6.908755,1,151.992605,115.181058,2156.237215,,
200411,397,27,6.908755,1,158.901360,72.267085,2228.504300,,
200412,386,26,6.908755,1,165.810115,83.854504,2312.358805,,
200501,387,26,6.908755,1,172.718869,52.476739,2364.835544,,
200502,387,26,6.908755,1,179.627624,58.413128,2423.248672,,
200503,370,25,6.908755,1,186.536379,136.073483,2559.322155,,
200504,359,24,6.908755,1,193.445134,101.258728,2660.580883,,
200505,354,24,6.908755,1,200.353889,60.765638,2721.346521,,
200506,345,23,6.908755,1,207.262643,76.687737,2798.034258,,
200507,348,24,6.908755,1,214.171398,72.256271,2870.290529,,
200508,350,24,6.908755,1,221.080153,43.946954,2914.237482,,
200509,347,24,6.908755,1,227.988908,31.405231,2945.642713,,
200510,349,24,6.908755,1,234.897662,44.885479,2990.528192,,
200511,342,23,6.908755,1,241.806417,50.495561,3041.023753,,
200512,345,23,6.900750,1,248.707167,11.731466,3052.755219,,
200601,347,24,6.908754,1,255.615921,20.769496,3073.524715,,
200602,349,24,6.908755,1,262.524676,34.751022,3108.275737,,
200603,351,24,6.908755,1,269.433431,40.217719,3148.493456,,
200604,354,24,6.908755,1,276.342185,37.095159,3185.588615,,
200605,345,23,6.908732,1,283.250917,17.596224,3203.184839,,
200606,338,23,6.908755,1,290.159672,35.413206,3238.598045,,
200607,343,23,6.908755,1,297.068427,39.608597,3278.206642,,
200608,343,23,6.908755,1,303.977182,46.366795,3324.573437,,
200609,340,23,6.908755,1,310.885937,44.131493,3368.704930,,
200610,328,22,6.908755,1,317.794691,102.839712,3471.544642,,
200611,313,21,6.908755,1,324.703446,39.760641,3511.305283,,
200612,309,21,6.908755,1,331.612201,45.334625,3556.639908,,
200701,313,21,6.908748,1,338.520949,18.759767,3575.399674,,
200702,315,21,6.729156,1,345.250104,8.533641,3583.933315,,
200703,307,21,6.908755,1,352.158859,52.545019,3636.478335,,
200704,312,21,6.908755,1,359.067614,23.627664,3660.105998,,
200705,311,21,6.908754,1,365.976368,21.413632,3681.519630,,
200706,307,21,6.908755,1,372.885123,36.702096,3718.221726,,
200707,318,22,6.908755,1,379.793878,29.666730,3747.888456,,
200708,301,21,6.907431,1,386.701308,13.534108,3761.422564,,
200709,305,21,6.908755,1,393.610063,23.820308,3785.242873,,
200710,304,21,6.908755,1,400.518818,54.415162,3839.658035,,
200711,312,21,6.908755,1,407.427573,51.751373,3891.409409,,
200712,304,21,6.908755,1,414.336327,50.761600,3942.171008,,
200801,308,21,6.908755,1,421.245082,76.189131,4018.360139,,
200802,308,21,6.908755,1,428.153837,129.096942,4147.457081,,
200803,304,21,6.908755,1,435.062592,137.459744,4284.916826,,
200804,317,22,6.908755,1,441.971346,88.683025,4373.599851,,
200805,326,22,6.908755,1,448.880101,98.099480,4471.699331,,
200806,331,23,6.908755,1,455.788856,126.482465,4598.181795,,
200807,343,23,6.908755,1,462.697611,88.895572,4687.077368,,
200808,347,24,6.908755,1,469.606366,201.012803,4888.090171,,
200809,343,23,6.908755,1,476.515120,82.698397,4970.788568,,
200810,339,23,6.908755,1,483.423875,97.754451,5068.543019,,
200811,330,22,6.908755,1,490.332630,173.872882,5242.415901,,
200812,343,23,6.908755,1,497.241385,214.485777,5456.901678,,
200901,352,24,6.908755,1,504.150140,323.828213,5780.729891,,
200902,362,25,6.908755,1,511.058894,218.673819,5999.403709,,
200903,358,24,6.908755,1,517.967649,305.646990,6305.050700,,
200904,366,25,6.908755,1,524.876404,277.629074,6582.679774,,
200905,375,25,6.908755,1,531.785159,137.855150,6720.534924,,
200906,377,26,6.908755,1,538.693913,181.223440,6901.758364,,
200907,385,26,6.908755,1,545.602668,116.035323,7017.793687,,
200908,380,26,6.908755,1,552.511423,107.596274,7125.389961,,
200909,390,26,6.908755,1,559.420178,101.143326,7226.533287,,
200910,395,27,6.908755,1,566.328933,97.943899,7324.477186,,
200911,409,28,6.908755,1,573.237687,116.979066,7441.456252,,
200912,417,28,6.908755,1,580.146442,70.154024,7511.610276,,
201001,425,29,6.908755,1,587.055197,86.933214,7598.543490,,
201002,423,29,6.908755,1,593.963952,96.445270,7694.988761,,
201003,426,29,6.908755,1,600.872706,76.715670,7771.704431,,
201004,426,29,6.908755,1,607.781461,132.073298,7903.777729,,
201005,433,29,6.908755,1,614.690216,177.795080,8081.572809,,
201006,432,29,6.908755,1,621.598971,220.585359,8302.158168,,
201007,434,29,6.908755,1,628.507726,241.916621,8544.074790,,
201008,442,30,6.908755,1,635.416480,260.142190,8804.216980,,
201009,447,30,6.908755,1,642.325235,226.666490,9030.883470,,
201010,459,31,6.908755,1,649.233990,178.232499,9209.115970,,
201011,461,31,6.908755,1,656.142745,175.424287,9384.540257,,
201012,466,32,6.908755,1,663.051499,154.898494,9539.438751,,
201101,463,31,6.908755,1,669.960254,117.403842,9656.842593,,
201102,463,31,6.908755,1,676.869009,81.205726,9738.048318,,
201103,452,31,6.908755,1,683.777764,74.819683,9812.868001,,
201104,447,30,6.908755,1,690.686519,113.476305,9926.344307,,
201105,460,31,6.908755,1,697.595273,87.117067,10013.461374,,
201106,473,32,6.908755,1,704.504028,150.659483,10164.120857,,
201107,466,32,6.908755,1,711.412783,189.240792,10353.361649,,
201108,469,32,6.908755,1,718.321538,242.434607,10595.796256,,
201109,464,31,6.908755,1,725.230292,402.552456,10998.348712,,
201110,465,31,6.908755,1,732.139047,273.473786,11271.822498,,
201111,500,34,6.908755,1,739.047802,258.798226,11530.620725,,
201112,523,35,6.908755,1,745.956557,444.078692,11974.699416,,
201201,528,36,6.908755,1,752.865312,347.184591,12321.884008,,
201202,532,36,6.908755,1,759.774066,339.019711,12660.903719,,
201203,530,36,6.908755,1,766.682821,173.793899,12834.697617,,
201204,534,36,6.908755,1,773.591576,352.944815,13187.642433,,
201205,539,36,6.908755,1,780.500331,301.448806,13489.091239,,
201206,534,36,6.908755,1,787.409085,272.653604,13761.744842,,
201207,553,37,6.908755,1,794.317840,280.284071,14042.028913,,
201208,535,36,6.908755,1,801.226595,249.202970,14291.231883,,
201209,577,39,6.908755,1,808.135350,206.024737,14497.256620,,
201210,571,39,6.908755,1,815.044105,171.997270,14669.253890,,
201211,581,39,6.908755,1,821.952859,234.330032,14903.583921,,
201212,589,40,6.908755,1,828.861614,187.032652,15090.616573,,
201301,603,41,6.908755,1,835.770369,163.369028,15253.985601,,
