date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,349,24,6.908755,1,6.908755,899.920502,899.920502,,
200302,351,24,6.908755,1,13.817510,976.172658,1876.093160,,
200303,355,24,6.908755,1,20.726264,1127.325206,3003.418366,,
200304,360,24,6.908755,1,27.635019,1205.806703,4209.225069,,
200305,371,25,6.908755,1,34.543774,1229.759521,5438.984590,,
200306,383,26,6.908755,1,41.452529,1383.509342,6822.493931,,
200307,395,27,6.908755,1,48.361283,1920.025539,8742.519470,,
200308,401,27,6.908755,1,55.270038,1976.316313,10718.835783,,
200309,412,28,6.908755,1,62.178793,2283.666785,13002.502568,,
200310,406,28,6.908755,1,69.087548,2645.725791,15648.228359,,
200311,416,28,6.908755,1,75.996303,2604.756530,18252.984889,,
200312,421,29,6.908755,1,82.905057,3179.621796,21432.606685,,
200401,429,29,6.908755,1,89.813812,3678.707013,25111.313698,,
200402,426,29,6.908755,1,96.722567,3843.683893,28954.997591,,
200403,428,29,6.908755,1,103.631322,4376.667753,33331.665344,,
200404,423,29,6.908755,1,110.540076,4404.204205,37735.869549,,
200405,423,29,6.908755,1,117.448831,4486.834871,42222.704420,,
200406,424,29,6.908755,1,124.357586,4506.737998,46729.442418,,
200407,425,29,6.908755,1,131.266341,4650.232836,51379.675254,,
200408,428,29,6.908755,1,138.175096,4537.356155,55917.031409,,
200409,439,30,6.908755,1,145.083850,4705.881138,60622.912547,,
200410,436,30,6.908755,1,151.992605,4528.502380,65151.414927,,
200411,444,30,6.908755,1,158.901360,4426.755078,69578.170005,,
200412,445,30,6.908755,1,165.810115,3999.149790,73577.319795,,
200501,444,30,6.908755,1,172.718869,3259.806673,76837.126468,,
200502,443,30,6.908755,1,179.627624,2785.852503,79622.978971,,
200503,438,30,6.908755,1,186.536379,2394.302926,82017.281897,,
200504,436,30,6.908755,1,193.445134,1816.744826,83834.026723,,
200505,431,29,6.908755,1,200.353889,1309.932127,85143.958850,,
200506,438,30,6.908755,1,207.262643,1142.635484,86286.594334,,
200507,442,30,6.908755,1,214.171398,941.297788,87227.892122,,
200508,439,30,6.908755,1,221.080153,832.717752,88060.609874,,
200509,449,30,6.908755,1,227.988908,930.570133,88991.180007,,
200510,455,31,6.908755,1,234.897662,1097.116597,90088.296604,,
200511,455,31,6.908755,1,241.806417,859.691896,90947.988500,,
200512,446,30,6.908755,1,248.715172,691.399159,91639.387659,,
200601,430,29,6.908755,1,255.623927,681.342947,92320.730606,,
200602,434,29,6.908755,1,262.532682,424.531814,92745.262420,,
200603,434,29,6.908755,1,269.441436,632.028083,93377.290503,,
200604,431,29,6.908755,1,276.350191,802.176956,94179.467459,,
200605,433,29,6.908755,1,283.258946,775.287055,94954.754514,,
200606,421,29,6.908755,1,290.167701,611.526225,95566.280739,,
200607,423,29,6.908755,1,297.076456,679.497475,96245.778213,,
200608,414,28,6.908755,1,303.985210,546.393469,96792.171683,,
200609,415,28,6.908755,1,310.893965,588.306517,97380.478200,,
200610,380,26,6.908755,1,317.802720,427.287991,97807.766191,,
200611,389,26,6.908755,1,324.711475,400.197047,98207.963238,,
200612,380,26,6.908755,1,331.620229,346.046689,98554.009926,,
200701,378,26,6.908755,1,338.528984,341.939267,98895.949193,,
200702,356,24,6.908755,1,345.437739,411.728970,99307.678163,,
200703,353,24,6.908755,1,352.346494,530.788615,99838.466778,,
200704,367,25,6.908755,1,359.255249,527.447144,100365.913922,,
200705,371,25,6.908755,1,366.164003,524.145211,100890.059134,,
200706,370,25,6.908755,1,373.072758,720.443418,101610.502552,,
200707,362,25,6.908755,1,379.981513,812.045726,102422.548278,,
200708,356,24,6.908755,1,386.890268,729.020692,103151.568969,,
200709,364,25,6.908755,1,393.799022,950.339016,104101.907985,,
200710,386,26,6.908755,1,400.707777,997.462424,105099.370409,,
200711,379,26,6.908755,1,407.616532,1072.630853,106172.001262,,
200712,395,27,6.908755,1,414.525287,1267.576077,107439.577338,,
