date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,55,4,6.908755,1,6.908755,86.664150,86.664150,,
200302,56,4,6.908755,1,13.817510,67.839608,154.503759,,
200303,59,4,6.908755,1,20.726264,72.258437,226.762196,,
200304,59,4,6.908755,1,27.635019,91.740755,318.502951,,
200305,50,4,6.908755,1,34.543774,75.692250,394.195201,,
200306,52,4,6.908755,1,41.452529,86.823967,481.019168,,
200307,54,4,6.908755,1,48.361283,84.894348,565.913516,,
200308,54,4,6.908755,1,55.270038,50.782558,616.696074,,
200309,53,4,6.908755,1,62.178793,89.032570,705.728643,,
200310,62,5,6.908755,1,69.087548,101.588159,807.316802,,
200311,62,5,6.908755,1,75.996303,120.410041,927.726843,,
200312,64,5,6.908755,1,82.905057,133.772289,1061.499132,,
200401,67,5,6.908755,1,89.813812,140.479971,1201.979103,,
200402,69,5,6.908755,1,96.722567,172.780959,1374.760062,,
200403,67,5,6.908755,1,103.631322,218.940513,1593.700575,,
200404,67,5,6.908755,1,110.540076,223.984678,1817.685253,,
200405,69,5,6.908755,1,117.448831,282.329112,2100.014365,,
200406,73,5,6.908755,1,124.357586,223.283921,2323.298286,,
200407,71,5,6.908755,1,131.266341,308.320775,2631.619061,,
200408,69,5,6.908755,1,138.175096,241.105239,2872.724300,,
200409,72,5,6.908755,1,145.083850,239.756518,3112.480818,,
200410,71,5,6.908755,1,151.992605,189.152978,3301.633796,,
200411,72,5,6.908755,1,158.901360,182.091626,3483.725422,,
200412,72,5,6.908755,1,165.810115,139.194835,3622.920258,,
200501,72,5,6.908755,1,172.718869,105.653901,3728.574158,,
200502,87,6,6.908755,1,179.627624,151.287236,3879.861395,,
200503,88,6,6.908755,1,186.536379,160.517346,4040.378741,,
200504,89,6,6.908755,1,193.445134,115.571576,4155.950317,,
200505,90,6,6.908755,1,200.353889,79.785795,4235.736112,,
200506,93,7,6.908755,1,207.262643,76.933996,4312.670108,,
200507,93,7,6.908755,1,214.171398,53.388155,4366.058263,,
200508,95,7,6.908755,1,221.080153,62.146696,4428.204959,,
200509,100,7,6.908755,1,227.988908,75.998940,4504.203899,,
200510,94,7,6.908755,1,234.897662,83.191656,4587.395555,,
200511,94,7,6.908755,1,241.806417,52.639197,4640.034752,,
200512,95,7,6.908755,1,248.715172,35.809771,4675.844523,,
200601,100,7,6.908755,1,255.623927,40.252008,4716.096531,,
200602,103,7,6.908755,1,262.532681,22.008897,4738.105428,,
200603,101,7,6.908755,1,269.441436,49.411089,4787.516517,,
200604,103,7,6.908755,1,276.350191,53.794696,4841.311213,,
200605,101,7,6.908755,1,283.258946,60.492657,4901.803870,,
200606,130,9,6.908755,1,290.167700,67.571673,4969.375543,,
200607,127,9,6.908755,1,297.076455,48.840795,5018.216338,,
200608,134,9,6.908755,1,303.985210,30.966067,5049.182405,,
200609,128,9,6.908755,1,310.893965,51.989006,5101.171411,,
200610,164,11,6.908755,1,317.802720,75.612775,5176.784186,,
200611,164,11,6.908755,1,324.711474,84.533772,5261.317958,,
200612,159,11,6.908755,1,331.620229,85.898674,5347.216632,,
200701,158,11,6.908755,1,338.528984,85.444218,5432.660851,,
200702,184,13,6.908755,1,345.437739,123.167137,5555.827988,,
200703,185,13,6.908755,1,352.346493,203.544195,5759.372183,,
200704,185,13,6.908755,1,359.255248,253.437392,6012.809575,,
200705,188,13,6.908755,1,366.164003,239.356501,6252.166076,,
200706,184,13,6.908755,1,373.072758,339.724504,6591.890581,,
200707,184,13,6.908755,1,379.981513,413.453119,7005.343700,,
200708,186,13,6.908755,1,386.890267,360.674445,7366.018145,,
200709,192,13,6.908755,1,393.799022,491.027447,7857.045592,,
200710,183,13,6.908755,1,400.707777,459.766984,8316.812576,,
200711,185,13,6.908755,1,407.616532,491.022142,8807.834717,,
200712,186,13,6.908755,1,414.525286,422.416923,9230.251640,,
200801,178,12,6.908755,1,421.434041,630.814808,9861.066448,,
200802,179,12,6.908755,1,428.342796,661.789552,10522.856000,,
200803,178,12,6.908755,1,435.251551,390.751960,10913.607960,,
200804,177,12,6.908755,1,442.160306,421.242284,11334.850244,,
200805,177,12,6.908755,1,449.069060,520.972573,11855.822817,,
200806,178,12,6.908755,1,455.977815,485.319886,12341.142702,,
200807,176,12,6.908755,1,462.886570,493.072979,12834.215681,,
200808,176,12,6.908755,1,469.795325,445.550872,13279.766553,,
200809,173,12,-147.287501,317,322.507823,-147.288501,13132.478052,,
200810,172,12,6.908755,1,329.416578,181.833934,13314.311987,,
200811,173,12,6.908755,1,336.325333,97.892562,13412.204548,,
200812,103,7,6.908755,1,343.234088,43.906867,13456.111415,,
200901,101,7,6.908755,1,350.142843,54.231433,13510.342848,,
200902,104,7,6.908755,1,357.051597,64.818708,13575.161556,,
200903,126,9,6.908755,1,363.960352,107.941023,13683.102580,,
200904,132,9,6.908755,1,370.869107,96.111978,13779.214558,,
200905,134,9,6.908755,1,377.777862,122.045662,13901.260219,,
200906,129,9,6.908755,1,384.686616,153.448825,14054.709044,,
200907,131,9,6.908755,1,391.595371,144.889742,14199.598786,,
200908,132,9,6.908755,1,398.504126,160.639291,14360.238078,,
200909,134,9,6.908755,1,405.412881,183.817559,14544.055637,,
200910,138,10,6.908755,1,412.321636,233.435536,14777.491173,,
200911,141,10,6.908755,1,419.230390,240.954457,15018.445630,,
200912,144,10,6.908755,1,426.139145,283.387037,15301.832668,,
201001,141,10,6.908755,1,433.047900,346.343021,15648.175688,,
201002,156,11,6.908755,1,439.956655,399.348624,16047.524313,,
201003,158,11,6.908755,1,446.865409,469.568061,16517.092374,,
201004,157,11,6.908755,1,453.774164,537.401486,17054.493860,,
201005,159,11,6.908755,1,460.682919,608.425076,17662.918937,,
201006,156,11,6.908755,1,467.591674,668.323574,18331.242511,,
201007,160,11,6.908755,1,474.500429,682.448683,19013.691194,,
201008,161,11,6.908755,1,481.409183,774.858172,19788.549365,,
201009,163,11,6.908755,1,488.317938,743.417699,20531.967064,,
201010,163,11,6.908755,1,495.226693,801.203286,21333.170350,,
201011,165,11,6.908755,1,502.135448,886.784311,22219.954661,,
201012,165,11,6.908755,1,509.044202,978.044397,23197.999058,,
201101,165,11,6.908755,1,515.952957,1096.971748,24294.970806,,
201102,174,12,6.908755,1,522.861712,1060.401695,25355.372501,,
201103,173,12,6.908755,1,529.770467,1256.814918,26612.187419,,
201104,175,12,6.908755,1,536.679222,1162.220140,27774.407559,,
201105,177,12,6.908755,1,543.587976,1175.192767,28949.600326,,
201106,181,13,6.908755,1,550.496731,1355.818037,30305.418363,,
201107,181,13,6.908755,1,557.405486,1319.468568,31624.886931,,
201108,182,13,6.908755,1,564.314241,1101.830989,32726.717920,,
201109,182,13,6.908755,1,571.222995,991.350518,33718.068439,,
201110,186,13,6.908755,1,578.131750,938.925126,34656.993564,,
201111,160,11,6.908755,1,585.040505,804.398885,35461.392450,,
201112,159,11,6.908755,1,591.949260,714.972626,36176.365076,,
201201,159,11,6.908755,1,598.858015,722.465451,36898.830526,,
201202,160,11,6.908755,1,605.766769,638.683916,37537.514442,,
201203,161,11,6.908755,1,612.675524,748.117750,38285.632192,,
201204,158,11,6.908755,1,619.584279,659.675250,38945.307443,,
201205,169,12,6.908755,1,626.493034,686.785351,39632.092793,,
201206,172,12,6.908755,1,633.401788,710.287773,40342.380566,,
201207,178,12,6.908755,1,640.310543,740.256713,41082.637278,,
201208,170,12,6.908755,1,647.219298,558.914495,41641.551773,,
201209,177,12,6.908755,1,654.128053,613.775401,42255.327175,,
201210,175,12,6.908755,1,661.036808,861.189934,43116.517109,,
201211,177,12,6.908755,1,667.945562,943.074952,44059.592060,,
201212,173,12,6.908755,1,674.854317,900.715155,44960.307215,,
201301,173,12,6.908755,1,681.763072,1169.744482,46130.051697,,
201302,180,12,6.908755,1,688.671827,1126.779571,47256.831267,,
201303,182,13,6.908755,1,695.580581,1250.989151,48507.820418,,
201304,175,12,6.908755,1,702.489336,1130.693873,49638.514292,,
201305,177,12,6.908755,1,709.398091,1414.556718,51053.071009,,
201306,190,13,6.908755,1,716.306846,1341.825703,52394.896712,,
201307,193,13,6.908755,1,723.215601,1974.520462,54369.417175,,
201308,194,13,6.908755,1,730.124355,1983.304342,56352.721517,,
201309,197,14,6.908755,1,737.033110,2289.960289,58642.681807,,
201310,198,14,6.908755,1,743.941865,2075.594659,60718.276466,,
201311,200,14,6.908755,1,750.850620,2251.128864,62969.405330,,
201312,219,15,6.908755,1,757.759375,2470.924401,65440.329731,,
201401,216,15,6.908755,1,764.668129,2329.297490,67769.627221,,
201402,218,15,6.908755,1,771.576884,2422.315869,70191.943090,,
201403,215,15,6.908755,1,778.485639,2650.012144,72841.955234,,
201404,214,15,6.908755,1,785.394394,2604.933156,75446.888390,,
201405,216,15,6.908755,1,792.303148,2612.447589,78059.335979,,
201406,231,16,6.908755,1,799.211903,2972.672825,81032.008804,,
201407,234,16,6.908755,1,806.120658,3083.033329,84115.042133,,
201408,236,16,6.908755,1,813.029413,3072.866402,87187.908535,,
201409,237,16,6.908755,1,819.938168,3248.431828,90436.340364,,
201410,235,16,6.908755,1,826.846922,3306.356395,93742.696759,,
201411,234,16,6.908755,1,833.755677,3326.855681,97069.552440,,
201412,236,16,6.908755,1,840.664432,3061.732471,100131.284910,,
201501,231,16,6.908755,1,847.573187,2724.018788,102855.303698,,
201502,227,16,6.908755,1,854.481941,2678.669355,105533.973053,,
201503,229,16,6.908755,1,861.390696,2797.659404,108331.632457,,
201504,246,17,6.908755,1,868.299451,3194.101975,111525.734432,,
201505,241,17,6.908755,1,875.208206,3183.476795,114709.211227,,
201506,251,17,6.908755,1,882.116961,2942.530345,117651.741573,,
201507,252,17,6.908755,1,889.025715,2723.308377,120375.049949,,
201508,252,17,6.908755,1,895.934470,2898.918806,123273.968756,,
201509,254,17,6.908755,1,902.843225,2826.030964,126099.999719,,
201510,253,17,6.908755,1,909.751980,2836.882292,128936.882011,,
201511,252,17,6.908755,1,916.660734,2737.476790,131674.358801,,
201512,258,18,6.908755,1,923.569489,2592.124344,134266.483145,,
201601,251,17,6.908755,1,930.478244,2643.959938,136910.443083,,
201602,226,16,6.908755,1,937.386999,2300.928960,139211.372043,,
201603,234,16,6.908755,1,944.295754,2371.718607,141583.090650,,
201604,243,17,6.908755,1,951.204508,2411.986503,143995.077153,,
201605,244,17,6.908755,1,958.113263,2392.217894,146387.295047,,
201606,252,17,6.908755,1,965.022018,2413.846908,148801.141956,,
201607,253,17,6.908755,1,971.930773,2344.091003,151145.232958,,
201608,257,18,6.908755,1,978.839527,2275.402985,153420.635944,,
201609,258,18,6.908755,1,985.748282,2277.923258,155698.559202,,
201610,257,18,6.908755,1,992.657037,2455.843821,158154.403023,,
201611,258,18,6.908755,1,999.565792,2735.997671,160890.400694,,
201612,259,18,6.908755,1,1006.474547,2692.439132,163582.839826,,
201701,259,18,6.908755,1,1013.383301,2953.460896,166536.300722,,
201702,264,18,6.908755,1,1020.292056,2882.360828,169418.661550,,
201703,269,18,6.908755,1,1027.200811,2982.846270,172401.507819,,
201704,264,18,6.908755,1,1034.109566,3016.615321,175418.123140,,
201705,245,17,6.908755,1,1041.018320,2613.439235,178031.562375,,
201706,254,17,6.908755,1,1047.927075,2797.013730,180828.576105,,
201707,255,17,6.908755,1,1054.835830,2748.991205,183577.567310,,
201708,256,18,6.908755,1,1061.744585,2787.855689,186365.422999,,
201709,258,18,6.908755,1,1068.653340,2785.310220,189150.733220,,
201710,261,18,6.908755,1,1075.562094,2804.738917,191955.472137,,
201711,264,18,6.908755,1,1082.470849,2512.348366,194467.820503,,
201712,239,16,6.908755,1,1089.379604,2010.887554,196478.708058,,
201801,243,17,6.908755,1,1096.288359,1825.535138,198304.243195,,
201802,249,17,6.908755,1,1103.197113,1846.038491,200150.281686,,
201803,247,17,6.908755,1,1110.105868,1632.828410,201783.110096,,
201804,235,16,6.908755,1,1117.014623,1555.279375,203338.389472,,
201805,239,16,6.908755,1,1123.923378,1640.770151,204979.159623,,
201806,244,17,6.908755,1,1130.832133,1618.089843,206597.249466,,
201807,261,18,6.908755,1,1137.740887,1504.256885,208101.506351,,
201808,264,18,6.908755,1,1144.649642,1600.963162,209702.469513,,
201809,263,18,6.908755,1,1151.558397,1498.953675,211201.423187,,
201810,274,19,6.908755,1,1158.467152,2050.881989,213252.305177,,
201811,282,19,6.908755,1,1165.375906,1911.608182,215163.913359,,
201812,282,19,6.908755,1,1172.284661,1964.748022,217128.661381,,
201901,281,19,6.908755,1,1179.193416,1970.444899,219099.106280,,
201902,275,19,6.908755,1,1186.102171,1775.250957,220874.357238,,
201903,277,19,6.908755,1,1193.010926,1723.370948,222597.728185,,
201904,282,19,6.908755,1,1199.919680,1867.115935,224464.844120,,
201905,284,19,6.908755,1,1206.828435,1832.908097,226297.752217,,
201906,286,20,6.908755,1,1213.737190,1997.336043,228295.088260,,
201907,264,18,6.908755,1,1220.645945,1614.844262,229909.932522,,
201908,268,18,6.908755,1,1227.554699,1526.032698,231435.965220,,
201909,279,19,6.908755,1,1234.463454,1783.384333,233219.349552,,
201910,275,19,6.908755,1,1241.372209,1934.091317,235153.440869,,
201911,272,19,6.908755,1,1248.280964,1846.016796,236999.457665,,
201912,273,19,6.908755,1,1255.189719,2048.611729,239048.069394,,
202001,273,19,6.908755,1,1262.098473,2097.655335,241145.724729,,
202002,256,18,6.908755,1,1269.007228,2064.592078,243210.316807,,
202003,251,17,6.908755,1,1275.915983,991.724202,244202.041010,,
202004,246,17,6.908755,1,1282.824738,1635.273039,245837.314049,,
202005,218,15,6.908755,1,1289.733493,1808.804399,247646.118448,,
202006,218,15,6.908755,1,1296.642247,1651.195533,249297.313980,,
202007,217,15,6.908755,1,1303.551002,1482.284801,250779.598782,,
