date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,17,2,6.907864,1,6.907864,13.930951,13.930951,,
200302,20,2,6.908755,1,13.816619,25.630283,39.561234,,
200303,20,2,6.908750,1,20.725369,19.263852,58.825085,,
200304,20,2,6.908102,1,27.633471,14.241387,73.066472,,
200305,21,2,6.870348,1,34.503819,10.148018,83.214490,,
200306,23,2,6.908744,1,41.412564,18.351780,101.566270,,
200307,24,2,6.908738,1,48.321302,17.914830,119.481100,,
200308,24,2,6.908578,1,55.229880,15.549041,135.030141,,
200309,26,2,6.908755,1,62.138635,28.468221,163.498362,,
200310,26,2,6.908714,1,69.047348,17.010194,180.508556,,
200311,25,2,6.908754,1,75.956103,21.272251,201.780806,,
200312,25,2,6.908737,1,82.864840,17.842636,219.623443,,
200401,27,2,6.908750,1,89.773589,19.072563,238.696006,,
200402,28,2,6.908755,1,96.682344,26.847874,265.543880,,
200403,29,2,6.908753,1,103.591097,19.953238,285.497117,,
200404,27,2,6.908754,1,110.499851,21.564926,307.062044,,
200405,31,3,6.908755,1,117.408606,32.341255,339.403299,,
200406,33,3,6.908755,1,124.317360,33.318902,372.722201,,
200407,34,3,6.908755,1,131.226115,37.401566,410.123767,,
200408,34,3,6.908755,1,138.134870,40.756572,450.880339,,
200409,33,3,6.908755,1,145.043625,40.698169,491.578508,,
200410,33,3,6.908755,1,151.952380,32.951365,524.529872,,
200411,34,3,6.908755,1,158.861134,23.665152,548.195024,,
200412,34,3,6.908755,1,165.769889,24.929138,573.124162,,
200501,36,3,6.908755,1,172.678644,24.044541,597.168703,,
200502,36,3,6.908656,1,179.587300,16.127471,613.296174,,
200503,35,3,6.908754,1,186.496054,21.483257,634.779431,,
200504,38,3,6.908566,1,193.404619,15.480154,650.259585,,
200505,38,3,6.902575,1,200.307194,11.991063,662.250647,,
200506,38,3,6.873339,1,207.180533,10.230601,672.481248,,
200507,43,3,6.908223,1,214.088756,14.446020,686.927267,,
200508,43,3,6.908313,1,220.997069,14.631731,701.558998,,
200509,43,3,6.908528,1,227.905597,15.299038,716.858036,,
200510,43,3,6.908734,1,234.814330,17.672957,734.530992,,
200511,45,3,6.879839,1,241.694169,10.436627,744.967619,,
200512,45,3,0.289115,21,241.983284,0.289450,745.257069,,
200601,46,4,5.906971,1,247.890255,6.363609,751.620679,,
200602,48,4,-1.558163,88,246.332092,-1.558952,750.061727,,
200603,46,4,5.777516,1,252.109608,6.166059,756.227786,,
200604,46,4,6.908746,1,259.018354,18.566614,774.794400,,
200605,47,4,6.906519,1,265.924873,13.009716,787.804116,,
200606,47,4,6.895357,1,272.820230,11.213716,799.017832,,
200607,48,4,6.879584,1,279.699814,10.427731,809.445564,,
200608,48,4,3.896700,6,283.596515,3.946142,813.391706,,
200609,48,4,-18.398572,284,265.197943,-18.399571,794.992135,,
200610,48,4,-3.573195,94,261.624747,-3.574167,791.417968,,
200611,49,4,-2.765929,116,258.858819,-2.766865,788.651103,,
200612,50,4,-5.894488,260,252.964331,-5.895485,782.755618,,
200701,49,4,-5.064431,320,247.899900,-5.065424,777.690194,,
200702,48,4,-30.178631,911,217.721269,-30.179631,747.510563,,
200703,48,4,-0.988934,28,216.732334,-0.989562,746.521001,,
200704,49,4,1.909913,23,218.642247,1.915682,748.436683,,
200705,50,4,5.439293,1,224.081540,5.699722,754.136405,,
200706,49,4,-11.467990,185,212.613551,-11.468989,742.667416,,
200707,50,4,6.839634,1,219.453184,9.544892,752.212308,,
200708,50,4,-1.344588,8,218.108596,-1.345327,750.866981,,
200709,53,4,6.908753,1,225.017350,20.242026,771.109007,,
200710,54,4,6.908755,1,231.926104,35.348218,806.457225,,
200711,56,4,6.908755,1,238.834859,39.830861,846.288085,,
200712,55,4,6.908755,1,245.743614,48.069921,894.358007,,
200801,54,4,6.908755,1,252.652369,139.327206,1033.685213,,
200802,55,4,6.908755,1,259.561123,161.445274,1195.130487,,
200803,56,4,6.908755,1,266.469878,116.073653,1311.204140,,
200804,55,4,6.908755,1,273.378633,92.470867,1403.675007,,
200805,55,4,6.908755,1,280.287388,139.335760,1543.010767,,
200806,56,4,6.908755,1,287.196143,114.146772,1657.157538,,
200807,56,4,6.908755,1,294.104897,116.315121,1773.472659,,
200808,57,4,6.908755,1,301.013652,113.081035,1886.553694,,
200809,57,4,-89.014636,463,211.999016,-89.015635,1797.538058,,
200810,55,4,6.908755,1,218.907771,39.114053,1836.652112,,
200811,55,4,6.318021,1,225.225792,7.124279,1843.776391,,
200812,55,4,6.908755,1,232.134546,40.385024,1884.161415,,
200901,58,4,6.908755,1,239.043301,45.082527,1929.243942,,
200902,56,4,6.908755,1,245.952056,35.537000,1964.780941,,
200903,17,2,2.499344,25,248.451400,2.510581,1967.291522,,
200904,20,2,4.076455,4,252.527854,4.136137,1971.427659,,
200905,19,2,6.901222,1,259.429076,11.792442,1983.220101,,
200906,19,2,6.814324,1,266.243400,9.220060,1992.440160,,
200907,22,2,6.898948,1,273.142348,11.527545,2003.967705,,
200908,22,2,6.895960,1,280.038309,11.260084,2015.227790,,
200909,22,2,6.906135,1,286.944443,12.851001,2028.078790,,
200910,17,2,6.872126,1,293.816570,10.196319,2038.275109,,
200911,18,2,6.759073,1,300.575643,8.731224,2047.006333,,
200912,18,2,6.442871,1,307.018514,7.429605,2054.435938,,
201001,17,2,6.908195,1,313.926708,14.395246,2068.831184,,
201002,9,2,4.317675,6,318.244384,4.394572,2073.225756,,
201003,9,2,4.361493,9,322.605877,4.442024,2077.667780,,
201004,9,2,4.293064,8,326.898940,4.367992,2082.035772,,
201005,9,2,3.668018,15,330.566958,3.706939,2085.742712,,
201006,9,2,3.801541,16,334.368498,3.846297,2089.589009,,
201007,9,2,3.579211,21,337.947709,3.614677,2093.203686,,
201008,9,2,3.456512,19,341.404221,3.487700,2096.691386,,
201009,10,2,4.781379,6,346.185600,4.907247,2101.598633,,
201010,10,2,4.808186,5,350.993787,4.937736,2106.536369,,
