date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,88,6,6.890344,1,6.890344,10.893331,10.893331,,
200302,100,7,6.908755,1,13.799098,33.829887,44.723218,,
200303,102,7,6.908755,1,20.707853,25.328816,70.052034,,
200304,102,7,6.908755,1,27.616608,25.169917,95.221951,,
200305,118,8,6.908755,1,34.525363,45.697361,140.919312,,
200306,124,9,6.908755,1,41.434117,54.779181,195.698493,,
200307,137,10,6.908755,1,48.342872,54.824444,250.522937,,
200308,143,10,6.908755,1,55.251627,74.457134,324.980071,,
200309,148,10,6.908755,1,62.160382,84.111996,409.092067,,
200310,150,10,6.908755,1,69.069137,107.079012,516.171079,,
200311,152,11,6.908755,1,75.977891,94.517268,610.688346,,
200312,150,10,6.908755,1,82.886646,120.772765,731.461111,,
200401,139,10,6.908755,1,89.795401,122.639730,854.100841,,
200402,143,10,6.908755,1,96.704156,149.973672,1004.074513,,
200403,139,10,6.908755,1,103.612910,159.604159,1163.678672,,
200404,135,9,6.908755,1,110.521665,169.087810,1332.766482,,
200405,140,10,6.908755,1,117.430420,174.819858,1507.586340,,
200406,146,10,6.908755,1,124.339175,233.816458,1741.402798,,
200407,152,11,6.908755,1,131.247930,200.845199,1942.247997,,
200408,153,11,6.908755,1,138.156684,192.851043,2135.099040,,
200409,155,11,6.908755,1,145.065439,167.642032,2302.741072,,
200410,162,11,6.908755,1,151.974194,240.304929,2543.046000,,
200411,167,12,6.908755,1,158.882949,178.678612,2721.724612,,
200412,163,11,6.908755,1,165.791703,159.584610,2881.309223,,
200501,164,11,6.908755,1,172.700458,168.327396,3049.636619,,
200502,169,12,6.908755,1,179.609213,141.788127,3191.424746,,
200503,172,12,6.908755,1,186.517968,110.420248,3301.844994,,
200504,187,13,6.908755,1,193.426723,118.955556,3420.800550,,
200505,196,14,6.908755,1,200.335477,160.850983,3581.651533,,
200506,190,13,6.908755,1,207.244232,114.871835,3696.523368,,
200507,190,13,6.908755,1,214.152987,87.152773,3783.676141,,
200508,190,13,6.908755,1,221.061742,89.620874,3873.297015,,
200509,197,14,6.908755,1,227.970496,136.950973,4010.247988,,
200510,194,13,6.908755,1,234.879251,113.773783,4124.021770,,
200511,197,14,6.908755,1,241.788006,115.354996,4239.376766,,
200512,165,11,6.908755,1,248.696761,57.385857,4296.762623,,
200601,164,11,6.908755,1,255.605516,43.752729,4340.515351,,
200602,171,12,6.908755,1,262.514270,39.566907,4380.082258,,
200603,168,12,6.908755,1,269.423025,37.114941,4417.197200,,
200604,158,11,6.908755,1,276.331780,67.551113,4484.748313,,
200605,152,11,6.908755,1,283.240535,60.703132,4545.451445,,
200606,142,10,6.908748,1,290.149282,18.767951,4564.219396,,
200607,141,10,6.908748,1,297.058031,18.835016,4583.054412,,
200608,140,10,6.908736,1,303.966767,17.792974,4600.847386,,
200609,142,10,6.908755,1,310.875521,38.408813,4639.256199,,
200610,143,10,6.908755,1,317.784276,41.586130,4680.842329,,
200611,157,11,6.908755,1,324.693031,56.900229,4737.742558,,
200612,147,10,6.908755,1,331.601786,36.151549,4773.894107,,
200701,152,11,6.908755,1,338.510541,49.605286,4823.499393,,
200702,157,11,6.908755,1,345.419295,51.259219,4874.758612,,
200703,157,11,6.908755,1,352.328050,44.747917,4919.506529,,
200704,134,9,6.908755,1,359.236805,63.351701,4982.858231,,
200705,131,9,6.908755,1,366.145560,66.625462,5049.483693,,
200706,136,10,6.908755,1,373.054314,66.038825,5115.522518,,
200707,128,9,-1.258807,4,371.795507,-1.259523,5114.262996,,
200708,125,9,6.908691,1,378.704198,16.560536,5130.823531,,
200709,125,9,6.908447,1,385.612645,14.993761,5145.817292,,
200710,114,8,6.908135,1,392.520780,14.293336,5160.110628,,
200711,105,7,6.484311,1,399.005091,7.545015,5167.655643,,
200712,99,7,6.908747,1,405.913838,18.714630,5186.370273,,
200801,96,7,6.908754,1,412.822593,21.470033,5207.840307,,
200802,95,7,6.908754,1,419.731346,20.547462,5228.387769,,
200803,115,8,6.908755,1,426.640101,42.263492,5270.651261,,
200804,114,8,6.908750,1,433.548851,19.165161,5289.816422,,
200805,106,8,6.908755,1,440.457606,59.563422,5349.379844,,
200806,105,7,6.908755,1,447.366361,30.162425,5379.542269,,
200807,100,7,6.908755,1,454.275115,43.818608,5423.360877,,
200808,100,7,6.908754,1,461.183870,21.484805,5444.845681,,
200809,99,7,-1.725489,11,459.458380,-1.726311,5443.119370,,
200810,99,7,-22.706850,46,436.751531,-22.707849,5420.411521,,
200811,96,7,-21.944617,54,414.806914,-21.945616,5398.465905,,
200812,94,7,-24.298374,70,390.508540,-24.299373,5374.166532,,
200901,94,7,6.779070,1,397.287610,8.884863,5383.051395,,
200902,97,7,5.050585,2,402.338196,5.219139,5388.270534,,
200903,101,7,6.804804,1,409.143000,9.119169,5397.389702,,
200904,113,8,6.908738,1,416.051738,17.932967,5415.322669,,
200905,110,8,6.908755,1,422.960493,24.663991,5439.986660,,
200906,113,8,6.908755,1,429.869248,36.708892,5476.695552,,
200907,116,8,6.908755,1,436.778003,28.190887,5504.886439,,
200908,113,8,6.908755,1,443.686757,43.208035,5548.094474,,
200909,121,9,6.908755,1,450.595512,35.559572,5583.654046,,
200910,120,8,6.908755,1,457.504267,34.219022,5617.873069,,
200911,122,9,6.908755,1,464.413022,49.182041,5667.055110,,
200912,116,8,6.908755,1,471.321777,41.354454,5708.409564,,
201001,118,8,6.908755,1,478.230531,75.825680,5784.235244,,
201002,121,9,6.908755,1,485.139286,106.412015,5890.647259,,
201003,130,9,6.908755,1,492.048041,100.162194,5990.809453,,
201004,127,9,6.908755,1,498.956796,136.331521,6127.140974,,
201005,130,9,6.908755,1,505.865550,108.915202,6236.056177,,
201006,134,9,6.908755,1,512.774305,157.656801,6393.712978,,
201007,140,10,6.908755,1,519.683060,159.375836,6553.088814,,
201008,140,10,6.908755,1,526.591815,154.807868,6707.896681,,
201009,150,10,6.908755,1,533.500570,151.854894,6859.751576,,
201010,149,10,6.908755,1,540.409324,119.228365,6978.979940,,
201011,159,11,6.908755,1,547.318079,132.845655,7111.825595,,
201012,164,11,6.908755,1,554.226834,143.747411,7255.573007,,
201101,164,11,6.908755,1,561.135589,144.929388,7400.502394,,
201102,175,12,6.908755,1,568.044343,188.121431,7588.623825,,
201103,186,13,6.908755,1,574.953098,214.122431,7802.746256,,
201104,194,13,6.908755,1,581.861853,216.629667,8019.375923,,
201105,193,13,6.908755,1,588.770608,245.961570,8265.337493,,
201106,199,14,6.908755,1,595.679363,219.470685,8484.808178,,
201107,221,15,6.908755,1,602.588117,285.718657,8770.526835,,
201108,221,15,6.908755,1,609.496872,253.999700,9024.526535,,
201109,224,15,6.908755,1,616.405627,198.508022,9223.034556,,
201110,221,15,6.908755,1,623.314382,187.882422,9410.916979,,
201111,227,16,6.908755,1,630.223136,170.254518,9581.171496,,
201112,228,16,6.908755,1,637.131891,182.022611,9763.194107,,
201201,234,16,6.908755,1,644.040646,225.661342,9988.855449,,
201202,239,16,6.908755,1,650.949401,196.876734,10185.732182,,
201203,232,16,6.908755,1,657.858156,187.168998,10372.901180,,
201204,234,16,6.908755,1,664.766910,203.628680,10576.529860,,
201205,232,16,6.908755,1,671.675665,246.962597,10823.492458,,
201206,242,17,6.908755,1,678.584420,197.332105,11020.824562,,
201207,242,17,6.908755,1,685.493175,216.984800,11237.809362,,
201208,256,18,6.908755,1,692.401929,254.280021,11492.089383,,
201209,271,19,6.908755,1,699.310684,296.275737,11788.365120,,
201210,266,18,6.908755,1,706.219439,348.475201,12136.840321,,
201211,273,19,6.908755,1,713.128194,345.301478,12482.141799,,
201212,271,19,6.908755,1,720.036949,362.568233,12844.710032,,
201301,272,19,6.908755,1,726.945703,354.625371,13199.335403,,
201302,280,19,6.908755,1,733.854458,355.965928,13555.301331,,
201303,274,19,6.908755,1,740.763213,375.317505,13930.618836,,
201304,269,18,6.908755,1,747.671968,368.064525,14298.683361,,
201305,273,19,6.908755,1,754.580722,455.995408,14754.678769,,
201306,279,19,6.908755,1,761.489477,419.937926,15174.616695,,
201307,285,19,6.908755,1,768.398232,572.480506,15747.097201,,
201308,291,20,6.908755,1,775.306987,614.054156,16361.151357,,
201309,275,19,6.908755,1,782.215742,535.610545,16896.761903,,
201310,280,19,6.908755,1,789.124496,599.593825,17496.355728,,
201311,291,20,6.908755,1,796.033251,745.943700,18242.299428,,
201312,288,20,6.908755,1,802.942006,872.569819,19114.869247,,
201401,292,20,6.908755,1,809.850761,846.717833,19961.587080,,
201402,297,20,6.908755,1,816.759516,912.274166,20873.861246,,
201403,296,20,6.908755,1,823.668270,831.269233,21705.130479,,
201404,296,20,6.908755,1,830.577025,906.561923,22611.692402,,
201405,318,22,6.908755,1,837.485780,1028.796421,23640.488822,,
201406,323,22,6.908755,1,844.394535,1002.994442,24643.483264,,
201407,320,22,6.908755,1,851.303289,1007.520797,25651.004061,,
201408,325,22,6.908755,1,858.212044,1004.160572,26655.164633,,
201409,318,22,6.908755,1,865.120799,865.151458,27520.316091,,
201410,319,22,6.908755,1,872.029554,1011.035821,28531.351912,,
201411,323,22,6.908755,1,878.938309,876.736230,29408.088142,,
201412,329,22,6.908755,1,885.847063,878.755700,30286.843842,,
