date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,393,27,6.908755,1,6.908755,280.479717,280.479717,,
200302,409,28,6.908755,1,13.817510,384.007095,664.486813,,
200303,419,28,6.908755,1,20.726264,372.625178,1037.111991,,
200304,435,29,6.908755,1,27.635019,390.617591,1427.729582,,
200305,427,29,6.908755,1,34.543774,356.893837,1784.623419,,
200306,437,30,6.908755,1,41.452529,476.826395,2261.449813,,
200307,442,30,6.908755,1,48.361283,579.930588,2841.380402,,
200308,444,30,6.908755,1,55.270038,672.033572,3513.413974,,
200309,451,31,6.908755,1,62.178793,791.034629,4304.448603,,
200310,433,29,6.908755,1,69.087548,722.827571,5027.276173,,
200311,437,30,6.908755,1,75.996303,994.223196,6021.499369,,
200312,442,30,6.908755,1,82.905057,1150.965203,7172.464572,,
200401,441,30,6.908755,1,89.813812,1277.641761,8450.106333,,
200402,445,30,6.908755,1,96.722567,1458.060382,9908.166715,,
200403,438,30,6.908755,1,103.631322,1560.262030,11468.428745,,
200404,440,30,6.908755,1,110.540076,1869.261417,13337.690162,,
200405,435,29,6.908755,1,117.448831,1978.596558,15316.286721,,
200406,436,30,6.908755,1,124.357586,2054.135707,17370.422428,,
200407,432,29,6.908755,1,131.266341,2249.869050,19620.291478,,
200408,431,29,6.908755,1,138.175096,2164.317779,21784.609257,,
200409,441,30,6.908755,1,145.083850,2310.858451,24095.467709,,
200410,437,30,6.908755,1,151.992605,2240.948770,26336.416479,,
200411,434,29,6.908755,1,158.901360,1997.159413,28333.575891,,
200412,423,29,6.908755,1,165.810115,1929.363156,30262.939048,,
200501,425,29,6.908755,1,172.718869,1596.175622,31859.114670,,
200502,427,29,6.908755,1,179.627624,1293.115404,33152.230074,,
200503,411,28,6.908755,1,186.536379,1243.941893,34396.171967,,
200504,404,27,6.908755,1,193.445134,1083.766593,35479.938560,,
200505,402,27,6.908755,1,200.353889,861.143547,36341.082108,,
200506,397,27,6.908755,1,207.262643,735.868956,37076.951064,,
200507,403,27,6.908755,1,214.171398,650.186325,37727.137389,,
200508,405,27,6.908755,1,221.080153,634.617195,38361.754584,,
200509,404,27,6.908755,1,227.988908,625.060750,38986.815334,,
200510,414,28,6.908755,1,234.897662,727.318137,39714.133471,,
200511,411,28,6.908755,1,241.806417,650.655269,40364.788740,,
200512,411,28,6.908755,1,248.715172,552.162511,40916.951251,,
200601,413,28,6.908755,1,255.623927,563.170696,41480.121947,,
200602,424,29,6.908755,1,262.532682,385.058574,41865.180521,,
200603,419,28,6.908755,1,269.441436,454.234226,42319.414746,,
200604,424,29,6.908755,1,276.350191,558.525344,42877.940091,,
200605,416,28,6.908755,1,283.258946,543.813372,43421.753463,,
200606,410,28,6.908755,1,290.167701,496.619253,43918.372715,,
200607,416,28,6.908755,1,297.076456,575.360661,44493.733377,,
200608,417,28,6.908755,1,303.985210,456.587888,44950.321264,,
200609,416,28,6.908755,1,310.893965,520.509237,45470.830502,,
200610,403,27,6.908755,1,317.802720,574.579242,46045.409744,,
200611,394,27,6.908755,1,324.711475,430.436656,46475.846400,,
200612,395,27,6.908755,1,331.620229,487.774219,46963.620619,,
200701,400,27,6.908755,1,338.528984,534.975031,47498.595650,,
200702,391,27,6.908755,1,345.437739,449.650113,47948.245762,,
200703,380,26,6.908755,1,352.346494,616.804211,48565.049973,,
