date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,349,24,6.908755,1,6.908755,202.576028,202.576028,,
200302,351,24,6.908755,1,13.817510,269.335164,471.911191,,
200303,355,24,6.908755,1,20.726264,408.477366,880.388558,,
200304,360,24,6.908755,1,27.635019,304.903647,1185.292204,,
200305,371,25,6.908755,1,34.543774,349.452398,1534.744603,,
200306,383,26,6.908755,1,41.452529,421.198193,1955.942796,,
200307,395,27,6.908755,1,48.361283,448.950164,2404.892960,,
200308,401,27,6.908755,1,55.270038,533.837213,2938.730173,,
200309,412,28,6.908755,1,62.178793,527.447067,3466.177240,,
200310,406,28,6.908755,1,69.087548,461.953063,3928.130304,,
200311,416,28,6.908755,1,75.996303,519.485086,4447.615390,,
200312,421,29,6.908755,1,82.905057,333.889355,4781.504745,,
200401,429,29,6.908755,1,89.813812,418.416929,5199.921673,,
200402,426,29,6.908755,1,96.722567,587.904608,5787.826281,,
200403,428,29,6.908755,1,103.631322,719.300504,6507.126786,,
200404,423,29,6.908755,1,110.540076,929.823129,7436.949915,,
200405,423,29,6.908755,1,117.448831,893.709208,8330.659123,,
200406,424,29,6.908755,1,124.357586,575.695988,8906.355110,,
200407,425,29,6.908755,1,131.266341,873.673064,9780.028174,,
200408,428,29,6.908755,1,138.175096,952.292100,10732.320274,,
200409,439,30,6.908755,1,145.083850,566.632498,11298.952771,,
200410,436,30,6.908755,1,151.992605,1191.288863,12490.241634,,
200411,444,30,6.908755,1,158.901360,816.762974,13307.004608,,
200412,445,30,6.908755,1,165.810115,356.931755,13663.936363,,
200501,444,30,6.908755,1,172.718869,233.701493,13897.637857,,
200502,443,30,6.908755,1,179.627624,420.549182,14318.187039,,
200503,438,30,6.908755,1,186.536379,195.575720,14513.762759,,
200504,436,30,6.908755,1,193.445134,315.756758,14829.519516,,
200505,431,29,6.908755,1,200.353889,267.012067,15096.531584,,
200506,438,30,6.908755,1,207.262643,282.479466,15379.011050,,
200507,442,30,6.908755,1,214.171398,361.082992,15740.094041,,
200508,439,30,6.908755,1,221.080153,267.158870,16007.252911,,
200509,449,30,6.908755,1,227.988908,363.228725,16370.481635,,
200510,455,31,6.908755,1,234.897662,602.847514,16973.329149,,
200511,455,31,6.908755,1,241.806417,501.322401,17474.651550,,
200512,446,30,6.908755,1,248.715172,361.544975,17836.196524,,
200601,430,29,6.908755,1,255.623927,380.827139,18217.023663,,
200602,434,29,6.908755,1,262.532682,337.374521,18554.398184,,
200603,434,29,6.908755,1,269.441436,454.921626,19009.319810,,
200604,431,29,6.908755,1,276.350191,648.242418,19657.562228,,
200605,433,29,6.908755,1,283.258946,691.165446,20348.727674,,
200606,421,29,6.908755,1,290.167701,701.223677,21049.951351,,
200607,423,29,6.908755,1,297.076456,705.834222,21755.785573,,
200608,414,28,6.908755,1,303.985210,578.433798,22334.219371,,
200609,415,28,6.908755,1,310.893965,658.316706,22992.536077,,
200610,380,26,6.908755,1,317.802720,569.582012,23562.118089,,
200611,389,26,6.908755,1,324.711475,458.750702,24020.868791,,
200612,380,26,6.908755,1,331.620229,293.000711,24313.869502,,
200701,378,26,6.908755,1,338.528984,347.487711,24661.357213,,
200702,356,24,6.908755,1,345.437739,338.628868,24999.986081,,
200703,353,24,6.908755,1,352.346494,404.181564,25404.167645,,
200704,367,25,6.908755,1,359.255249,397.853807,25802.021452,,
200705,371,25,6.908755,1,366.164003,472.920617,26274.942069,,
200706,370,25,6.908755,1,373.072758,700.650699,26975.592768,,
200707,362,25,6.908755,1,379.981513,752.316864,27727.909632,,
200708,356,24,6.908755,1,386.890268,410.849081,28138.758714,,
200709,364,25,6.908755,1,393.799022,383.117290,28521.876004,,
200710,386,26,6.908755,1,400.707777,470.792396,28992.668400,,
200711,379,26,6.908755,1,407.616532,649.636632,29642.305032,,
200712,395,27,6.908755,1,414.525287,280.873392,29923.178424,,
200801,394,27,6.908755,1,421.434042,432.757239,30355.935662,,
200802,400,27,6.908755,1,428.342796,591.946218,30947.881881,,
