date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,55,4,6.887430,1,6.887430,10.744970,10.744970,,
200302,56,4,6.908755,1,13.796185,25.439172,36.184141,,
200303,59,4,6.908755,1,20.704940,30.286399,66.470541,,
200304,59,4,6.908709,1,27.613649,16.906960,83.377501,,
200305,50,4,6.907667,1,34.521316,13.730953,97.108454,,
200306,52,4,6.908755,1,41.430071,45.476134,142.584588,,
200307,54,4,6.908755,1,48.338826,26.566698,169.151286,,
200308,54,4,6.880181,1,55.219007,10.448713,179.599999,,
200309,53,4,6.879872,1,62.098879,10.437788,190.037787,,
200310,62,5,6.902542,1,69.001422,11.985862,202.023649,,
200311,62,5,6.903413,1,75.904834,12.137226,214.160875,,
200312,64,5,6.908120,1,82.812954,14.269661,228.430537,,
200401,67,5,6.699634,1,89.512588,8.366216,236.796752,,
200402,69,5,6.908750,1,96.421338,19.117085,255.913837,,
200403,67,5,6.584549,1,103.005887,7.867655,263.781492,,
200404,67,5,6.908755,1,109.914642,36.724273,300.505765,,
200405,69,5,6.908755,1,116.823397,64.763971,365.269736,,
200406,73,5,6.908755,1,123.732152,41.869788,407.139525,,
200407,71,5,6.908755,1,130.640906,43.614071,450.753596,,
200408,69,5,6.908755,1,137.549661,43.188579,493.942175,,
200409,72,5,6.908755,1,144.458416,28.209076,522.151251,,
200410,71,5,6.908755,1,151.367171,28.288901,550.440152,,
200411,72,5,6.908755,1,158.275926,24.491726,574.931878,,
200412,72,5,4.869290,1,163.145216,5.007666,579.939544,,
200501,72,5,4.355659,1,167.500875,4.435696,584.375240,,
200502,87,6,6.777666,1,174.278541,8.873373,593.248613,,
200503,88,6,5.777270,1,180.055810,6.165695,599.414309,,
200504,89,6,6.908755,1,186.964565,23.726953,623.141261,,
200505,90,6,6.908755,1,193.873320,23.707682,646.848943,,
200506,93,7,6.908672,1,200.781992,16.305949,663.154893,,
200507,93,7,6.908755,1,207.690746,22.481240,685.636133,,
200508,95,7,6.908755,1,214.599501,23.272902,708.909035,,
200509,100,7,6.908755,1,221.508256,34.400844,743.309879,,
200510,94,7,6.908755,1,228.417010,61.752215,805.062094,,
200511,94,7,6.908755,1,235.325765,41.472309,846.534402,,
200512,95,7,6.908755,1,242.234520,37.379168,883.913570,,
200601,100,7,6.908755,1,249.143275,33.223041,917.136612,,
200602,103,7,6.908755,1,256.052030,28.600810,945.737421,,
200603,101,7,6.908755,1,262.960784,31.061873,976.799295,,
200604,103,7,6.908755,1,269.869539,54.670594,1031.469889,,
200605,101,7,6.908755,1,276.778294,29.498741,1060.968629,,
200606,130,9,6.908755,1,283.687049,37.496193,1098.464822,,
200607,127,9,6.908755,1,290.595803,69.226796,1167.691618,,
200608,134,9,6.908755,1,297.504558,45.258929,1212.950547,,
