date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,17,2,-0.583557,140,-0.583557,-0.583999,-0.583999,,
200302,20,2,6.908755,1,6.325198,25.630283,25.046284,,
200303,20,2,6.908694,1,13.233892,16.620129,41.666413,,
200304,20,2,1.361356,4,14.595248,1.364261,43.030674,,
200305,21,2,6.907985,1,21.503233,14.076449,57.107124,,
200306,23,2,1.620877,11,23.124109,1.624942,58.732066,,
200307,24,2,6.903302,1,30.027411,12.116660,70.848726,,
200308,24,2,4.587199,2,34.614610,4.689474,75.538200,,
200309,26,2,1.668217,24,36.282827,1.672529,77.210729,,
200310,26,2,2.721027,13,39.003854,2.735325,79.946053,,
200311,25,2,5.319406,2,44.323260,5.546636,85.492689,,
200312,25,2,2.034088,8,46.357348,2.040756,87.533445,,
200401,27,2,2.065806,16,48.423154,2.072722,89.606167,,
200402,28,2,3.857605,3,52.280760,3.905066,93.511232,,
200403,29,2,1.041931,10,53.322691,1.043767,94.555000,,
200404,27,2,5.731117,2,59.053808,6.098295,100.653294,,
200405,31,3,6.907620,1,65.961428,13.688599,114.341893,,
200406,33,3,6.317966,1,72.279393,7.124156,121.466049,,
200407,34,3,6.908754,1,79.188148,21.419905,142.885954,,
200408,34,3,6.908654,1,86.096801,16.109038,158.994992,,
200409,33,3,6.898432,1,92.995234,11.476023,170.471014,,
200410,33,3,6.905478,1,99.900712,12.627059,183.098073,,
200411,34,3,6.907840,1,106.808552,13.903729,197.001802,,
200412,34,3,6.261032,1,113.069583,7.000765,204.002567,,
200501,36,3,6.149944,1,119.219527,6.780475,210.783043,,
200502,36,3,5.188410,1,124.407937,5.384648,216.167690,,
200503,35,3,6.429851,1,130.837787,7.395020,223.562710,,
200504,38,3,6.907210,1,137.744997,13.379578,236.942288,,
200505,38,3,6.906142,1,144.651139,12.853637,249.795926,,
200506,38,3,6.893976,1,151.545114,11.114898,260.910824,,
200507,43,3,6.907149,1,158.452263,13.341273,274.252097,,
200508,43,3,6.908223,1,165.360487,14.446869,288.698966,,
200509,43,3,6.822189,1,172.182676,9.311016,298.009982,,
200510,43,3,6.904441,1,179.087117,12.351639,310.361621,,
200511,45,3,6.908458,1,185.995576,15.030699,325.392320,,
200512,45,3,6.688188,1,192.683764,8.307002,333.699322,,
200601,46,4,6.858555,1,199.542319,9.874295,343.573617,,
200602,48,4,6.894157,1,206.436476,11.127310,354.700927,,
200603,46,4,6.908752,1,213.345227,19.659601,374.360528,,
200604,46,4,6.908755,1,220.253982,28.791020,403.151548,,
200605,47,4,6.908754,1,227.162736,20.853075,424.004623,,
200606,47,4,6.906517,1,234.069253,13.008900,437.013524,,
200607,48,4,6.859679,1,240.928932,9.897502,446.911025,,
200608,48,4,4.803876,2,245.732807,4.932826,451.843851,,
200609,48,4,-24.491672,566,221.241136,-24.492671,427.351180,,
200610,48,4,4.633208,2,225.874344,4.740619,432.091799,,
200611,49,4,-1.498233,68,224.376111,-1.499009,430.592790,,
200612,50,4,-3.573246,142,220.802865,-3.574217,427.018573,,
200701,49,4,6.627432,1,227.430297,8.032049,435.050622,,
200702,48,4,-4.775921,41,222.654376,-4.776912,430.273710,,
200703,48,4,6.896134,1,229.550510,11.273861,441.547571,,
200704,49,4,5.587308,1,235.137818,5.896575,447.444146,,
200705,50,4,6.882324,1,242.020142,10.527726,457.971873,,
200706,49,4,6.833543,1,248.853684,9.457359,467.429231,,
200707,50,4,6.908755,1,255.762439,23.936285,491.365516,,
200708,50,4,6.908561,1,262.671000,15.453951,506.819467,,
200709,53,4,6.908725,1,269.579725,17.326129,524.145596,,
200710,54,4,6.908753,1,276.488477,20.003921,544.149517,,
200711,56,4,6.908755,1,283.397232,23.214790,567.364307,,
200712,55,4,-5.217157,30,278.180075,-5.218151,562.146156,,
200801,54,4,6.864695,1,285.044771,10.007862,572.154018,,
200802,55,4,6.908755,1,291.953525,55.125699,627.279718,,
200803,56,4,6.908755,1,298.862280,61.194030,688.473747,,
200804,55,4,6.908755,1,305.771035,41.521832,729.995580,,
200805,55,4,6.908755,1,312.679790,34.685307,764.680886,,
200806,56,4,6.908755,1,319.588544,66.102282,830.783168,,
200807,56,4,6.908755,1,326.497299,47.148859,877.932027,,
200808,57,4,6.908755,1,333.406054,64.368984,942.301010,,
200809,57,4,-18.631654,9,314.774400,-18.632654,923.668357,,
200810,55,4,6.908754,1,321.683154,20.837235,944.505592,,
200811,55,4,6.908755,1,328.591908,22.686092,967.191684,,
200812,55,4,-20.358764,164,308.233145,-20.359763,946.831921,,
200901,58,4,6.908755,1,315.141900,35.533855,982.365776,,
200902,56,4,6.908755,1,322.050654,60.546656,1042.912432,,
200903,17,2,2.282598,32,324.333253,2.291439,1045.203871,,
200904,20,2,0.584598,74,324.917851,0.585393,1045.789264,,
200905,19,2,-1.095575,74,323.822276,-1.096240,1044.693024,,
200906,19,2,2.691506,16,326.513782,2.705355,1047.398379,,
200907,22,2,0.192578,200,326.706360,0.192791,1047.591170,,
200908,22,2,2.363264,29,329.069624,2.372936,1049.964106,,
200909,22,2,2.049061,28,331.118685,2.055845,1052.019950,,
200910,17,2,3.112081,14,334.230766,3.133783,1055.153733,,
200911,18,2,4.612186,2,338.842952,4.717218,1059.870951,,
200912,18,2,1.275377,33,340.118330,1.277961,1061.148912,,
201001,17,2,-0.387541,50,339.730788,-0.387863,1060.761049,,
201002,9,2,2.741424,25,342.472212,2.756040,1063.517089,,
201003,9,2,3.030378,28,345.502590,3.050280,1066.567368,,
201004,9,2,2.668872,21,348.171463,2.682387,1069.249756,,
201005,9,2,2.856558,28,351.028021,2.873095,1072.122851,,
201006,9,2,3.056864,27,354.084884,3.077332,1075.200183,,
201007,9,2,2.130188,27,356.215072,2.137632,1077.337816,,
201008,9,2,4.352940,8,360.568012,4.432748,1081.770563,,
201009,10,2,3.180519,12,363.748531,3.203848,1084.974412,,
201010,10,2,4.032818,8,367.781349,4.089832,1089.064244,,
201011,11,2,5.809956,3,373.591305,6.214329,1095.278573,,
201012,11,2,5.287168,3,378.878473,5.506297,1100.784870,,
201101,11,2,6.215120,2,385.093593,6.906781,1107.691651,,
201102,11,2,3.421441,7,388.515034,3.451502,1111.143153,,
201103,12,2,6.215608,2,394.730642,6.907755,1118.050909,,
201104,12,2,3.622545,5,398.353187,3.659658,1121.710566,,
201105,12,2,6.908755,1,405.261942,36.582492,1158.293058,,
201106,12,2,3.030831,21,408.292773,3.050743,1161.343801,,
201107,12,2,3.622288,9,411.915061,3.659391,1165.003192,,
201108,12,2,2.789510,14,414.704571,2.804901,1167.808092,,
201109,12,2,4.944023,1,419.648594,5.094072,1172.902164,,
201110,12,2,5.116995,2,424.765589,5.298317,1178.200481,,
201111,12,2,6.908755,1,431.674344,35.873807,1214.074289,,
201112,12,2,6.908755,1,438.583099,34.295999,1248.370288,,
201201,12,2,6.908755,1,445.491854,37.597836,1285.968124,,
201202,12,2,6.908755,1,452.400608,36.943860,1322.911984,,
201203,12,2,6.215608,2,458.616216,6.907755,1329.819739,,
201204,12,2,6.215608,2,464.831824,6.907755,1336.727495,,
201205,12,2,6.908755,1,471.740578,33.759370,1370.486865,,
201206,12,2,2.063956,13,473.804534,2.070856,1372.557721,,
201207,12,2,6.908754,1,480.713288,21.855632,1394.413354,,
201208,11,2,4.561197,8,485.274485,4.660683,1399.074037,,
201209,11,2,5.497320,2,490.771805,5.775761,1404.849797,,
201210,11,2,0.594598,88,491.366403,0.595411,1405.445208,,
201211,11,2,6.732782,1,498.099185,8.555906,1414.001114,,
201212,13,2,5.202511,3,503.301696,5.401850,1419.402964,,
201301,13,2,4.110270,9,507.411966,4.172106,1423.575070,,
201302,13,2,6.021407,1,513.433374,6.551005,1430.126076,,
201303,13,2,6.215484,2,519.648858,6.907509,1437.033584,,
201304,13,2,5.214205,2,524.863062,5.416156,1442.449740,,
201305,12,2,4.863385,3,529.726447,5.000880,1447.450621,,
201306,13,2,5.352084,2,535.078531,5.587866,1453.038487,,
201307,13,2,6.808098,1,541.886629,9.153041,1462.191528,,
201308,13,2,6.200122,1,548.086751,6.877021,1469.068549,,
201309,13,2,3.929101,3,552.015852,3.980248,1473.048798,,
201310,13,2,2.170814,10,554.186666,2.178609,1475.227407,,
201311,13,2,5.684275,2,559.870941,6.031288,1481.258696,,
201312,13,2,6.845575,1,566.716516,9.637775,1490.896471,,
201401,18,2,1.774921,4,568.491437,1.779833,1492.676304,,
201402,18,2,6.907008,1,575.398444,13.256578,1505.932882,,
201403,18,2,6.895075,1,582.293519,11.192708,1517.125590,,
201404,19,2,6.908755,1,589.202273,37.475738,1554.601328,,
201405,18,2,6.908755,1,596.111028,36.855631,1591.456958,,
201406,18,2,6.908755,1,603.019783,33.056735,1624.513693,,
201407,18,2,6.908755,1,609.928538,35.186074,1659.699767,,
201408,18,2,6.908755,1,616.837293,30.682059,1690.381826,,
201409,18,2,6.908755,1,623.746047,33.553008,1723.934834,,
201410,18,2,6.908755,1,630.654802,35.771858,1759.706692,,
201411,18,2,6.908755,1,637.563557,26.636624,1786.343316,,
201412,18,2,6.908755,1,644.472312,26.373117,1812.716433,,
201501,18,2,6.908755,1,651.381066,29.245370,1841.961803,,
201502,18,2,6.908755,1,658.289821,40.296908,1882.258711,,
201503,24,2,6.908755,1,665.198576,38.644930,1920.903641,,
201504,28,2,6.908755,1,672.107331,84.316913,2005.220554,,
201505,28,2,6.908755,1,679.016086,87.121645,2092.342200,,
201506,28,2,6.908755,1,685.924840,67.416583,2159.758783,,
201507,28,2,6.908755,1,692.833595,63.342601,2223.101384,,
201508,28,2,6.908755,1,699.742350,61.073165,2284.174549,,
201509,28,2,6.908755,1,706.651105,58.552935,2342.727484,,
201510,28,2,6.908755,1,713.559860,57.899833,2400.627316,,
201511,28,2,6.908755,1,720.468614,89.922261,2490.549577,,
201512,34,3,6.908755,1,727.377369,86.715183,2577.264760,,
201601,34,3,6.908755,1,734.286124,62.636489,2639.901249,,
201602,34,3,6.908755,1,741.194879,77.429436,2717.330684,,
201603,34,3,6.908755,1,748.103633,65.483117,2782.813802,,
201604,33,3,6.908755,1,755.012388,60.197386,2843.011188,,
201605,33,3,6.908755,1,761.921143,85.619539,2928.630727,,
201606,33,3,6.908755,1,768.829898,75.193165,3003.823892,,
201607,33,3,6.908755,1,775.738653,68.553590,3072.377482,,
201608,33,3,6.908755,1,782.647407,94.697780,3167.075262,,
201609,39,3,6.908755,1,789.556162,116.548630,3283.623892,,
201610,39,3,6.908755,1,796.464917,118.340384,3401.964276,,
201611,39,3,6.908755,1,803.373672,115.822245,3517.786521,,
201612,39,3,6.908755,1,810.282426,119.625021,3637.411543,,
201701,39,3,6.908755,1,817.191181,85.127859,3722.539402,,
201702,39,3,6.908755,1,824.099936,88.334442,3810.873844,,
201703,45,3,6.908755,1,831.008691,127.527992,3938.401836,,
201704,49,4,6.908755,1,837.917446,183.567835,4121.969670,,
201705,49,4,6.908755,1,844.826200,237.023918,4358.993588,,
201706,49,4,6.908755,1,851.734955,126.080648,4485.074236,,
201707,49,4,6.908755,1,858.643710,155.164680,4640.238916,,
201708,48,4,6.908755,1,865.552465,205.450384,4845.689300,,
201709,48,4,6.908755,1,872.461219,139.765029,4985.454329,,
201710,48,4,6.908755,1,879.369974,155.245745,5140.700074,,
201711,48,4,6.908755,1,886.278729,213.382278,5354.082352,,
201712,48,4,6.908755,1,893.187484,182.367580,5536.449932,,
201801,48,4,6.908755,1,900.096239,136.527690,5672.977622,,
201802,52,4,6.908755,1,907.004993,178.649523,5851.627145,,
201803,52,4,6.908755,1,913.913748,140.932356,5992.559502,,
201804,52,4,6.908755,1,920.822503,140.672689,6133.232190,,
201805,52,4,6.908755,1,927.731258,131.663710,6264.895901,,
201806,52,4,6.908755,1,934.640012,150.498260,6415.394161,,
201807,51,4,6.908755,1,941.548767,120.903750,6536.297911,,
201808,51,4,6.908755,1,948.457522,164.915665,6701.213575,,
201809,51,4,6.908755,1,955.366277,170.400823,6871.614399,,
201810,51,4,6.908755,1,962.275032,221.183795,7092.798193,,
201811,51,4,6.908755,1,969.183786,216.020924,7308.819118,,
201812,51,4,6.908755,1,976.092541,230.102689,7538.921807,,
201901,51,4,6.908755,1,983.001296,200.179987,7739.101794,,
201902,51,4,6.908755,1,989.910051,179.938525,7919.040319,,
201903,51,4,6.908755,1,996.818805,190.021631,8109.061950,,
201904,51,4,6.908755,1,1003.727560,261.184959,8370.246908,,
201905,50,4,6.908755,1,1010.636315,221.461228,8591.708137,,
201906,50,4,6.908755,1,1017.545070,251.300606,8843.008743,,
201907,50,4,6.908755,1,1024.453825,202.417081,9045.425823,,
201908,50,4,6.908755,1,1031.362579,243.463198,9288.889021,,
201909,50,4,6.908755,1,1038.271334,269.868753,9558.757774,,
201910,50,4,6.908755,1,1045.180089,274.981011,9833.738785,,
201911,50,4,6.908755,1,1052.088844,297.523874,10131.262659,,
201912,50,4,6.908755,1,1058.997598,267.227157,10398.489816,,
202001,49,4,6.908755,1,1065.906353,198.198476,10596.688291,,
202002,49,4,6.908755,1,1072.815108,271.535430,10868.223722,,
202003,49,4,6.908755,1,1079.723863,216.797997,11085.021719,,
202004,49,4,6.908755,1,1086.632618,215.441267,11300.462987,,
202005,49,4,6.908755,1,1093.541372,248.660938,11549.123924,,
202006,49,4,6.908755,1,1100.450127,226.866867,11775.990791,,
202007,49,4,6.908755,1,1107.358882,204.989463,11980.980254,,
202008,49,4,6.908755,1,1114.267637,202.158083,12183.138337,,
202009,42,3,6.908755,1,1121.176391,116.524591,12299.662928,,
