date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,70,5,6.908755,1,6.908755,42.008874,42.008874,,
200302,74,5,6.908755,1,13.817510,55.167292,97.176166,,
200303,78,6,6.908755,1,20.726264,40.135730,137.311896,,
200304,80,6,6.908684,1,27.634948,16.457201,153.769098,,
200305,80,6,6.908755,1,34.543703,23.294467,177.063564,,
200306,85,6,6.908755,1,41.452457,38.232320,215.295884,,
200307,86,6,6.908755,1,48.361212,22.620956,237.916840,,
200308,88,6,6.908734,1,55.269946,17.685878,255.602718,,
200309,94,7,6.908755,1,62.178701,37.507314,293.110031,,
200310,97,7,6.908755,1,69.087455,48.580294,341.690325,,
200311,98,7,6.908755,1,75.996210,60.799846,402.490171,,
200312,96,7,6.908755,1,82.904965,23.933176,426.423347,,
200401,106,8,6.908755,1,89.813720,35.386375,461.809722,,
200402,101,7,6.908755,1,96.722475,40.018861,501.828583,,
200403,106,8,6.908755,1,103.631229,72.044289,573.872872,,
200404,107,8,6.908755,1,110.539984,34.364625,608.237497,,
200405,108,8,6.908755,1,117.448739,44.194958,652.432456,,
200406,106,8,6.908755,1,124.357494,46.720166,699.152622,,
200407,110,8,6.908755,1,131.266248,107.371752,806.524374,,
200408,108,8,6.908755,1,138.175003,126.384783,932.909157,,
200409,111,8,6.908755,1,145.083758,117.256224,1050.165381,,
200410,108,8,6.908755,1,151.992513,123.863733,1174.029113,,
200411,109,8,6.908755,1,158.901268,78.897026,1252.926139,,
200412,116,8,6.908755,1,165.810022,89.033729,1341.959868,,
200501,115,8,6.908755,1,172.718777,112.623714,1454.583582,,
200502,115,8,6.908755,1,179.627532,189.730349,1644.313931,,
200503,111,8,6.908755,1,186.536287,110.384015,1754.697946,,
200504,100,7,6.908755,1,193.445041,151.788036,1906.485983,,
200505,98,7,6.908755,1,200.353796,207.931741,2114.417724,,
200506,104,7,6.908755,1,207.262551,225.897515,2340.315239,,
200507,105,7,6.908755,1,214.171306,197.662112,2537.977351,,
200508,104,7,6.908755,1,221.080061,156.048331,2694.025682,,
200509,101,7,6.908755,1,227.988815,189.088521,2883.114203,,
200510,103,7,6.908755,1,234.897570,192.093702,3075.207905,,
200511,101,7,6.908755,1,241.806325,115.524397,3190.732302,,
200512,116,8,6.908755,1,248.715080,248.064593,3438.796894,,
200601,116,8,6.908755,1,255.623834,261.251089,3700.047983,,
200602,116,8,6.908755,1,262.532589,236.246520,3936.294504,,
200603,118,8,6.908755,1,269.441344,179.781171,4116.075674,,
200604,117,8,6.908755,1,276.350099,150.383490,4266.459164,,
200605,120,8,6.908755,1,283.258854,140.700038,4407.159202,,
200606,128,9,6.908755,1,290.167608,203.467234,4610.626436,,
200607,125,9,6.908755,1,297.076363,170.301118,4780.927554,,
200608,127,9,6.908755,1,303.985118,281.126909,5062.054463,,
200609,130,9,6.908755,1,310.893873,312.822503,5374.876966,,
200610,141,10,6.908755,1,317.802627,441.718498,5816.595464,,
200611,127,9,6.908755,1,324.711382,273.141180,6089.736644,,
200612,127,9,6.908755,1,331.620137,290.038890,6379.775534,,
200701,123,9,6.908755,1,338.528892,233.929529,6613.705063,,
200702,118,8,6.908755,1,345.437647,215.884009,6829.589072,,
200703,109,8,6.908755,1,352.346401,197.290876,7026.879948,,
200704,118,8,6.908755,1,359.255156,217.807264,7244.687213,,
200705,113,8,6.908755,1,366.163911,235.420832,7480.108044,,
200706,105,7,6.908755,1,373.072666,133.501383,7613.609427,,
200707,101,7,6.908755,1,379.981421,118.840969,7732.450396,,
200708,95,7,6.908755,1,386.890175,137.025445,7869.475841,,
200709,91,7,6.908755,1,393.798930,180.968730,8050.444571,,
200710,79,6,6.908755,1,400.707685,97.291333,8147.735904,,
200711,77,6,6.908755,1,407.616440,94.075241,8241.811145,,
200712,73,5,6.908755,1,414.525194,51.139602,8292.950746,,
200801,72,5,6.908755,1,421.433949,78.103650,8371.054396,,
200802,72,5,6.908755,1,428.342704,71.236675,8442.291072,,
200803,50,4,6.908755,1,435.251459,60.823621,8503.114693,,
200804,52,4,6.908755,1,442.160214,50.163445,8553.278138,,
200805,55,4,6.908720,1,449.068934,17.183885,8570.462022,,
200806,40,3,3.651038,5,452.719972,3.689274,8574.151297,,
200807,37,3,6.798656,1,459.518627,9.058576,8583.209873,,
200808,38,3,6.346489,1,465.865116,7.189264,8590.399137,,
200809,38,3,6.890394,1,472.755510,10.896077,8601.295214,,
200810,35,3,2.702501,4,475.458011,2.716516,8604.011730,,
200811,35,3,-5.145154,89,470.312857,-5.146148,8598.865582,,
200812,32,3,6.868285,1,477.181142,10.094651,8608.960233,,
200901,32,3,6.905394,1,484.086536,12.601727,8621.561960,,
200902,33,3,6.655743,1,490.742280,8.152903,8629.714863,,
200903,33,3,6.825796,1,497.568076,9.355400,8639.070263,,
200904,34,3,4.132576,2,501.700651,4.195876,8643.266139,,
200905,33,3,-2.238093,646,499.462558,-2.238986,8641.027153,,
200906,34,3,3.099621,5,502.562179,3.121038,8644.148191,,
200907,35,3,6.286210,1,508.848389,7.054327,8651.202518,,
200908,38,3,4.867858,2,513.716248,5.006020,8656.208538,,
200909,39,3,6.249220,1,519.965468,6.976150,8663.184688,,
200910,39,3,6.905085,1,526.870553,12.513579,8675.698266,,
200911,42,3,6.749303,1,533.619857,8.662987,8684.361254,,
200912,50,4,6.903863,1,540.523720,12.225564,8696.586818,,
201001,55,4,6.901641,1,547.425361,11.849971,8708.436789,,
201002,58,4,1.073302,6,548.498664,1.075229,8709.512018,,
201003,59,4,6.908755,1,555.407418,31.200494,8740.712512,,
201004,66,5,6.908755,1,562.316173,27.095528,8767.808040,,
201005,66,5,6.908755,1,569.224928,22.850675,8790.658714,,
201006,67,5,6.908755,1,576.133683,51.724878,8842.383592,,
201007,69,5,6.908755,1,583.042437,71.398508,8913.782100,,
201008,81,6,6.908755,1,589.951192,85.031488,8998.813588,,
201009,91,7,6.908755,1,596.859947,110.880147,9109.693734,,
201010,104,7,6.908755,1,603.768702,161.589260,9271.282995,,
201011,106,8,6.908755,1,610.677456,124.148140,9395.431134,,
201012,109,8,6.908755,1,617.586211,108.670999,9504.102133,,
201101,109,8,6.908755,1,624.494966,89.751219,9593.853352,,
201102,106,8,6.908755,1,631.403721,50.219486,9644.072838,,
201103,107,8,6.908755,1,638.312476,44.268270,9688.341109,,
201104,107,8,6.908755,1,645.221230,69.755824,9758.096933,,
201105,104,7,6.908755,1,652.129985,57.341091,9815.438023,,
201106,107,8,6.908755,1,659.038740,80.688942,9896.126966,,
201107,106,8,6.908755,1,665.947495,68.858052,9964.985018,,
201108,110,8,6.908755,1,672.856249,109.116558,10074.101576,,
201109,116,8,6.908755,1,679.765004,176.743627,10250.845203,,
201110,119,8,6.908755,1,686.673759,150.466041,10401.311244,,
201111,126,9,6.908755,1,693.582514,194.164449,10595.475693,,
201112,124,9,6.908755,1,700.491269,220.464615,10815.940308,,
201201,125,9,6.908755,1,707.400023,258.717992,11074.658300,,
201202,127,9,6.908755,1,714.308778,272.445915,11347.104215,,
201203,133,9,6.908755,1,721.217533,334.283811,11681.388026,,
201204,135,9,6.908755,1,728.126288,284.646764,11966.034791,,
201205,132,9,6.908755,1,735.035042,311.423566,12277.458356,,
201206,136,10,6.908755,1,741.943797,279.363734,12556.822090,,
201207,141,10,6.908755,1,748.852552,289.163696,12845.985786,,
201208,136,10,6.908755,1,755.761307,306.475502,13152.461287,,
201209,155,11,6.908755,1,762.670062,391.906944,13544.368232,,
201210,162,11,6.908755,1,769.578816,436.115281,13980.483513,,
201211,164,11,6.908755,1,776.487571,465.345613,14445.829125,,
201212,167,12,6.908755,1,783.396326,535.099520,14980.928645,,
201301,166,12,6.908755,1,790.305081,590.718630,15571.647275,,
201302,162,11,6.908755,1,797.213835,522.221347,16093.868622,,
201303,158,11,6.908755,1,804.122590,455.042336,16548.910958,,
201304,167,12,6.908755,1,811.031345,510.494210,17059.405169,,
201305,158,11,6.908755,1,817.940100,440.604148,17500.009316,,
201306,158,11,6.908755,1,824.848855,352.247661,17852.256977,,
201307,166,12,6.908755,1,831.757609,424.065393,18276.322370,,
201308,166,12,6.908755,1,838.666364,374.090432,18650.412802,,
201309,180,12,6.908755,1,845.575119,433.404152,19083.816954,,
201310,171,12,6.908755,1,852.483874,595.592487,19679.409441,,
201311,175,12,6.908755,1,859.392628,531.091353,20210.500793,,
201312,174,12,6.908755,1,866.301383,474.487010,20684.987804,,
201401,178,12,6.908755,1,873.210138,421.621848,21106.609652,,
201402,176,12,6.908755,1,880.118893,565.873439,21672.483090,,
201403,170,12,6.908755,1,887.027648,502.467630,22174.950720,,
201404,173,12,6.908755,1,893.936402,555.593738,22730.544458,,
201405,169,12,6.908755,1,900.845157,525.489239,23256.033697,,
201406,167,12,6.908755,1,907.753912,537.305891,23793.339588,,
201407,185,13,6.908755,1,914.662667,458.678071,24252.017659,,
201408,188,13,6.908755,1,921.571421,428.365924,24680.383582,,
201409,194,13,6.908755,1,928.480176,433.710199,25114.093781,,
201410,191,13,6.908755,1,935.388931,511.890846,25625.984627,,
201411,187,13,6.908755,1,942.297686,634.211881,26260.196508,,
201412,185,13,6.908755,1,949.206441,665.438396,26925.634904,,
201501,174,12,6.908755,1,956.115195,640.950070,27566.584974,,
201502,180,12,6.908755,1,963.023950,597.773383,28164.358357,,
201503,176,12,6.908755,1,969.932705,516.377258,28680.735615,,
201504,164,11,6.908755,1,976.841460,473.810622,29154.546236,,
201505,157,11,6.908755,1,983.750215,419.469675,29574.015911,,
201506,149,10,6.908755,1,990.658969,392.186484,29966.202395,,
201507,150,10,6.908755,1,997.567724,503.227843,30469.430239,,
201508,151,11,6.908755,1,1004.476479,558.820889,31028.251127,,
201509,157,11,6.908755,1,1011.385234,565.277165,31593.528292,,
201510,154,11,6.908755,1,1018.293988,371.457973,31964.986266,,
201511,148,10,6.908755,1,1025.202743,515.489871,32480.476137,,
201512,150,10,6.908755,1,1032.111498,587.163225,33067.639361,,
201601,147,10,6.908755,1,1039.020253,649.073942,33716.713304,,
201602,160,11,6.908755,1,1045.929008,712.369365,34429.082669,,
201603,161,11,6.908755,1,1052.837762,546.028107,34975.110776,,
201604,160,11,6.908755,1,1059.746517,399.956689,35375.067465,,
201605,160,11,6.908755,1,1066.655272,324.499863,35699.567328,,
201606,160,11,6.908755,1,1073.564027,435.116772,36134.684100,,
201607,166,12,6.908755,1,1080.472781,477.655508,36612.339608,,
201608,161,11,6.908755,1,1087.381536,345.073659,36957.413267,,
201609,152,11,6.908755,1,1094.290291,319.478998,37276.892265,,
201610,147,10,6.908755,1,1101.199046,396.822125,37673.714390,,
201611,147,10,6.908755,1,1108.107801,330.964144,38004.678535,,
201612,149,10,6.908755,1,1115.016555,344.076582,38348.755117,,
201701,166,12,6.908755,1,1121.925310,408.918046,38757.673162,,
201702,151,11,6.908755,1,1128.834065,294.991308,39052.664470,,
