date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,88,6,6.908755,1,6.908755,50.064051,50.064051,,
200302,100,7,6.908755,1,13.817510,86.855110,136.919161,,
200303,102,7,6.908755,1,20.726264,68.683301,205.602462,,
200304,102,7,6.908755,1,27.635019,111.538937,317.141399,,
200305,118,8,6.908755,1,34.543774,54.444853,371.586252,,
200306,124,9,6.908755,1,41.452529,91.166189,462.752441,,
200307,137,10,6.908755,1,48.361283,97.829925,560.582366,,
200308,143,10,6.908755,1,55.270038,65.228773,625.811139,,
200309,148,10,6.908755,1,62.178793,114.347042,740.158181,,
200310,150,10,6.908755,1,69.087548,70.738438,810.896620,,
200311,152,11,6.908755,1,75.996303,108.538025,919.434645,,
200312,150,10,6.908755,1,82.905057,87.728763,1007.163408,,
200401,139,10,6.908755,1,89.813812,23.048689,1030.212097,,
200402,143,10,6.908755,1,96.722567,73.092146,1103.304243,,
200403,139,10,6.908755,1,103.631322,71.673583,1174.977826,,
200404,135,9,6.908755,1,110.540076,73.638869,1248.616695,,
200405,140,10,6.908755,1,117.448831,33.307564,1281.924259,,
200406,146,10,6.908755,1,124.357586,84.780490,1366.704749,,
200407,152,11,6.908755,1,131.266341,169.511364,1536.216113,,
200408,153,11,6.908755,1,138.175095,97.591378,1633.807492,,
200409,155,11,6.908755,1,145.083850,145.291284,1779.098776,,
200410,162,11,6.908755,1,151.992605,161.738729,1940.837505,,
200411,167,12,6.908755,1,158.901360,169.202133,2110.039638,,
200412,163,11,6.908755,1,165.810115,158.884426,2268.924064,,
200501,164,11,6.908755,1,172.718869,165.271355,2434.195419,,
200502,169,12,6.908755,1,179.627624,168.968747,2603.164166,,
200503,172,12,6.908755,1,186.536379,162.764390,2765.928556,,
200504,187,13,6.908755,1,193.445134,194.594463,2960.523018,,
200505,196,14,6.908755,1,200.353889,241.916616,3202.439635,,
200506,190,13,6.908755,1,207.262643,360.714651,3563.154286,,
200507,190,13,6.908755,1,214.171398,528.880046,4092.034332,,
200508,190,13,6.908755,1,221.080153,515.435158,4607.469490,,
200509,197,14,6.908755,1,227.988908,416.615680,5024.085171,,
200510,194,13,6.908755,1,234.897662,424.554676,5448.639846,,
200511,197,14,6.908755,1,241.806417,468.344862,5916.984708,,
200512,165,11,6.908755,1,248.715172,413.685062,6330.669770,,
200601,164,11,6.908755,1,255.623927,266.807466,6597.477236,,
200602,171,12,6.908755,1,262.532682,304.422865,6901.900101,,
200603,168,12,6.908755,1,269.441436,287.734940,7189.635041,,
200604,158,11,6.908755,1,276.350191,232.440567,7422.075608,,
200605,152,11,6.908755,1,283.258946,243.487301,7665.562909,,
200606,142,10,6.908755,1,290.167701,215.797398,7881.360307,,
200607,141,10,6.908755,1,297.076455,231.479837,8112.840144,,
200608,140,10,6.908755,1,303.985210,280.591605,8393.431749,,
200609,142,10,6.908755,1,310.893965,332.386077,8725.817826,,
200610,143,10,6.908755,1,317.802720,325.302712,9051.120538,,
200611,157,11,6.908755,1,324.711475,483.643708,9534.764246,,
200612,147,10,6.908755,1,331.620229,460.220364,9994.984610,,
200701,152,11,6.908755,1,338.528984,241.430559,10236.415169,,
200702,157,11,6.908755,1,345.437739,409.702904,10646.118073,,
200703,157,11,6.908755,1,352.346494,446.628159,11092.746232,,
200704,134,9,6.908755,1,359.255248,286.305983,11379.052215,,
200705,131,9,6.908755,1,366.164003,281.927573,11660.979788,,
200706,136,10,6.908755,1,373.072758,348.526840,12009.506629,,
200707,128,9,6.908755,1,379.981513,349.988200,12359.494829,,
200708,125,9,6.908755,1,386.890268,121.332027,12480.826856,,
200709,125,9,6.908755,1,393.799022,139.693627,12620.520482,,
200710,114,8,6.908755,1,400.707777,127.478266,12747.998748,,
200711,105,7,6.908755,1,407.616532,152.031427,12900.030175,,
200712,99,7,6.908755,1,414.525287,90.402931,12990.433106,,
200801,96,7,6.908755,1,421.434041,82.812569,13073.245675,,
200802,95,7,6.908755,1,428.342796,43.836326,13117.082001,,
200803,115,8,6.908755,1,435.251551,47.482588,13164.564590,,
200804,114,8,6.908755,1,442.160306,40.371090,13204.935679,,
200805,106,8,6.908755,1,449.069061,29.097824,13234.033503,,
200806,105,7,6.908755,1,455.977815,35.892025,13269.925529,,
200807,100,7,6.908755,1,462.886570,22.093644,13292.019172,,
200808,100,7,6.908755,1,469.795325,47.841997,13339.861169,,
200809,99,7,6.908755,1,476.704079,56.154284,13396.015454,,
200810,99,7,6.908747,1,483.612826,18.645462,13414.660916,,
200811,96,7,6.908755,1,490.521581,31.033988,13445.694903,,
200812,94,7,6.908755,1,497.430336,57.808605,13503.503509,,
200901,94,7,6.908755,1,504.339091,52.879195,13556.382704,,
200902,97,7,6.908755,1,511.247845,54.496177,13610.878881,,
200903,101,7,6.908755,1,518.156600,39.238998,13650.117879,,
200904,113,8,6.908755,1,525.065355,53.018937,13703.136816,,
200905,110,8,6.908755,1,531.974110,23.859034,13726.995850,,
200906,113,8,3.484775,2,535.458884,3.516900,13730.512750,,
200907,116,8,6.908755,1,542.367639,22.951173,13753.463923,,
200908,113,8,6.908755,1,549.276394,35.054200,13788.518123,,
200909,121,9,6.908755,1,556.185149,42.001441,13830.519564,,
200910,120,8,6.908755,1,563.093903,35.229602,13865.749167,,
200911,122,9,6.908755,1,570.002658,38.179222,13903.928389,,
200912,116,8,6.908755,1,576.911413,29.265702,13933.194091,,
201001,118,8,3.743350,2,580.654763,3.785464,13936.979555,,
201002,121,9,6.908755,1,587.563518,59.751831,13996.731386,,
201003,130,9,6.908755,1,594.472272,107.347775,14104.079161,,
201004,127,9,6.908755,1,601.381027,104.504564,14208.583725,,
201005,130,9,6.908755,1,608.289782,116.026478,14324.610204,,
201006,134,9,6.908755,1,615.198537,133.007843,14457.618046,,
201007,140,10,6.908755,1,622.107292,298.317687,14755.935733,,
201008,140,10,6.908755,1,629.016046,268.570057,15024.505790,,
201009,150,10,6.908755,1,635.924801,346.059274,15370.565064,,
201010,149,10,6.908755,1,642.833556,253.370416,15623.935481,,
201011,159,11,6.908755,1,649.742311,221.769535,15845.705016,,
201012,164,11,6.908755,1,656.651066,161.791444,16007.496460,,
201101,164,11,6.908755,1,663.559820,116.972255,16124.468715,,
201102,175,12,6.908755,1,670.468575,140.320457,16264.789172,,
201103,186,13,6.908755,1,677.377330,180.993938,16445.783110,,
201104,194,13,6.908755,1,684.286085,285.555409,16731.338519,,
201105,193,13,6.908755,1,691.194839,267.607720,16998.946239,,
201106,199,14,6.908755,1,698.103594,380.532837,17379.479076,,
201107,221,15,6.908755,1,705.012349,270.868801,17650.347877,,
201108,221,15,6.908755,1,711.921104,429.058049,18079.405926,,
201109,224,15,6.908755,1,718.829859,434.077640,18513.483566,,
201110,221,15,6.908755,1,725.738613,523.735003,19037.218569,,
201111,227,16,6.908755,1,732.647368,323.491091,19360.709660,,
201112,228,16,6.908755,1,739.556123,396.710527,19757.420187,,
201201,234,16,6.908755,1,746.464878,469.282631,20226.702818,,
201202,239,16,6.908755,1,753.373632,587.586190,20814.289008,,
201203,232,16,6.908755,1,760.282387,580.074684,21394.363692,,
201204,234,16,6.908755,1,767.191142,564.779468,21959.143160,,
201205,232,16,6.908755,1,774.099897,565.526978,22524.670139,,
201206,242,17,6.908755,1,781.008652,638.650830,23163.320969,,
201207,242,17,6.908755,1,787.917406,815.252628,23978.573597,,
201208,256,18,6.908755,1,794.826161,808.666778,24787.240375,,
201209,271,19,6.908755,1,801.734916,1062.473223,25849.713598,,
201210,266,18,6.908755,1,808.643671,1110.829912,26960.543510,,
201211,273,19,6.908755,1,815.552425,1137.667680,28098.211190,,
201212,271,19,6.908755,1,822.461180,1128.279445,29226.490635,,
201301,272,19,6.908755,1,829.369935,1026.927913,30253.418548,,
201302,280,19,6.908755,1,836.278690,1077.438378,31330.856926,,
201303,274,19,6.908755,1,843.187445,1116.922956,32447.779882,,
201304,269,18,6.908755,1,850.096199,1313.427268,33761.207150,,
201305,273,19,6.908755,1,857.004954,1187.616703,34948.823853,,
201306,279,19,6.908755,1,863.913709,925.915494,35874.739347,,
201307,285,19,6.908755,1,870.822464,875.946229,36750.685576,,
201308,291,20,6.908755,1,877.731218,1055.122766,37805.808342,,
201309,275,19,6.908755,1,884.639973,1071.062640,38876.870981,,
201310,280,19,6.908755,1,891.548728,1219.518852,40096.389834,,
201311,291,20,6.908755,1,898.457483,1174.373311,41270.763145,,
201312,288,20,6.908755,1,905.366238,1088.970787,42359.733932,,
201401,292,20,6.908755,1,912.274992,1098.350350,43458.084282,,
201402,297,20,6.908755,1,919.183747,1241.240389,44699.324671,,
201403,296,20,6.908755,1,926.092502,922.519818,45621.844489,,
201404,296,20,6.908755,1,933.001257,989.655135,46611.499624,,
201405,318,22,6.908755,1,939.910011,868.583158,47480.082782,,
201406,323,22,6.908755,1,946.818766,995.163896,48475.246678,,
201407,320,22,6.908755,1,953.727521,879.178175,49354.424853,,
201408,325,22,6.908755,1,960.636276,477.264915,49831.689768,,
201409,318,22,6.908755,1,967.545031,624.682545,50456.372313,,
201410,319,22,6.908755,1,974.453785,563.332671,51019.704984,,
201411,323,22,6.908755,1,981.362540,536.141714,51555.846699,,
201412,329,22,6.908755,1,988.271295,703.958114,52259.804812,,
201501,338,23,6.908755,1,995.180050,822.712353,53082.517166,,
201502,340,23,6.908755,1,1002.088804,1114.636640,54197.153806,,
201503,335,23,6.908755,1,1008.997559,1090.999362,55288.153167,,
201504,341,23,6.908755,1,1015.906314,1061.491861,56349.645028,,
201505,336,23,6.908755,1,1022.815069,1128.864511,57478.509540,,
201506,338,23,6.908755,1,1029.723824,1246.160825,58724.670365,,
201507,347,24,6.908755,1,1036.632578,1156.563085,59881.233450,,
201508,352,24,6.908755,1,1043.541333,1284.784180,61166.017630,,
201509,367,25,6.908755,1,1050.450088,1599.359929,62765.377559,,
201510,370,25,6.908755,1,1057.358843,1053.679125,63819.056684,,
201511,373,25,6.908755,1,1064.267597,1634.785785,65453.842470,,
201512,379,26,6.908755,1,1071.176352,1817.788647,67271.631116,,
201601,383,26,6.908755,1,1078.085107,1851.385636,69123.016753,,
201602,375,25,6.908755,1,1084.993862,1406.607204,70529.623957,,
201603,350,24,6.908755,1,1091.902617,1168.165336,71697.789293,,
201604,343,23,6.908755,1,1098.811371,1047.862718,72745.652011,,
201605,357,24,6.908755,1,1105.720126,1076.104613,73821.756624,,
201606,352,24,6.908755,1,1112.628881,1157.383900,74979.140524,,
201607,351,24,6.908755,1,1119.537636,1182.555816,76161.696340,,
201608,348,24,6.908755,1,1126.446390,1053.767054,77215.463394,,
201609,347,24,6.908755,1,1133.355145,948.734402,78164.197796,,
201610,360,24,6.908755,1,1140.263900,1010.468518,79174.666315,,
201611,352,24,6.908755,1,1147.172655,783.427294,79958.093609,,
201612,342,23,6.908755,1,1154.081410,616.323234,80574.416843,,
201701,319,22,6.908755,1,1160.990164,752.990003,81327.406846,,
201702,335,23,6.908755,1,1167.898919,1003.764731,82331.171577,,
201703,325,22,6.908755,1,1174.807674,1022.305736,83353.477313,,
201704,329,22,6.908755,1,1181.716429,1174.530954,84528.008267,,
201705,327,22,6.908755,1,1188.625184,1421.522202,85949.530470,,
201706,314,21,6.908755,1,1195.533938,1490.137954,87439.668424,,
201707,334,23,6.908755,1,1202.442693,1644.390617,89084.059041,,
201708,331,23,6.908755,1,1209.351448,1756.664318,90840.723359,,
201709,321,22,6.908755,1,1216.260203,1433.822593,92274.545952,,
201710,322,22,6.908755,1,1223.168957,1418.502717,93693.048669,,
201711,306,21,6.908755,1,1230.077712,967.120069,94660.168737,,
201712,302,21,6.908755,1,1236.986467,1007.236648,95667.405385,,
201801,310,21,6.908755,1,1243.895222,1137.256892,96804.662278,,
201802,332,23,6.908755,1,1250.803977,1198.641765,98003.304043,,
201803,313,21,6.908755,1,1257.712731,1207.295229,99210.599272,,
