date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,393,27,6.908755,1,6.908755,246.858606,246.858606,,
200302,409,28,6.908755,1,13.817510,370.645066,617.503672,,
200303,419,28,6.908755,1,20.726264,427.849416,1045.353088,,
200304,435,29,6.908755,1,27.635019,234.083391,1279.436479,,
200305,427,29,6.908755,1,34.543774,270.852120,1550.288599,,
200306,437,30,6.908755,1,41.452529,259.253097,1809.541696,,
200307,442,30,6.908755,1,48.361283,264.089934,2073.631630,,
200308,444,30,6.908755,1,55.270038,259.964020,2333.595650,,
200309,451,31,6.908755,1,62.178793,293.327184,2626.922834,,
200310,433,29,6.908755,1,69.087548,265.585828,2892.508663,,
200311,437,30,6.908755,1,75.996303,341.398831,3233.907494,,
200312,442,30,6.908755,1,82.905057,366.156450,3600.063944,,
200401,441,30,6.908755,1,89.813812,316.549325,3916.613269,,
200402,445,30,6.908755,1,96.722567,365.935319,4282.548588,,
200403,438,30,6.908755,1,103.631322,466.479697,4749.028285,,
200404,440,30,6.908755,1,110.540076,598.839425,5347.867709,,
200405,435,29,6.908755,1,117.448831,569.761847,5917.629557,,
200406,436,30,6.908755,1,124.357586,540.527119,6458.156676,,
200407,432,29,6.908755,1,131.266341,483.784794,6941.941470,,
200408,431,29,6.908755,1,138.175096,800.857908,7742.799378,,
200409,441,30,6.908755,1,145.083850,569.639336,8312.438714,,
200410,437,30,6.908755,1,151.992605,569.508386,8881.947100,,
200411,434,29,6.908755,1,158.901360,512.736701,9394.683801,,
200412,423,29,6.908755,1,165.810115,236.387667,9631.071468,,
200501,425,29,6.908755,1,172.718869,229.942465,9861.013933,,
200502,427,29,6.908755,1,179.627624,318.940446,10179.954378,,
200503,411,28,6.908755,1,186.536379,256.347827,10436.302205,,
200504,404,27,6.908755,1,193.445134,361.662499,10797.964704,,
200505,402,27,6.908755,1,200.353889,274.534975,11072.499679,,
200506,397,27,6.908755,1,207.262643,322.960927,11395.460606,,
200507,403,27,6.908755,1,214.171398,465.215060,11860.675667,,
200508,405,27,6.908755,1,221.080153,477.139699,12337.815366,,
200509,404,27,6.908755,1,227.988908,487.586285,12825.401651,,
200510,414,28,6.908755,1,234.897662,712.197091,13537.598742,,
200511,411,28,6.908755,1,241.806417,594.782701,14132.381443,,
200512,411,28,6.908755,1,248.715172,524.586833,14656.968276,,
200601,413,28,6.908755,1,255.623927,545.081477,15202.049753,,
200602,424,29,6.908755,1,262.532682,628.824660,15830.874414,,
200603,419,28,6.908755,1,269.441436,649.043384,16479.917797,,
200604,424,29,6.908755,1,276.350191,791.777175,17271.694972,,
200605,416,28,6.908755,1,283.258946,1003.229711,18274.924684,,
200606,410,28,6.908755,1,290.167701,1153.012437,19427.937120,,
200607,416,28,6.908755,1,297.076456,996.874620,20424.811740,,
200608,417,28,6.908755,1,303.985210,903.732226,21328.543966,,
200609,416,28,6.908755,1,310.893965,1081.195251,22409.739217,,
200610,403,27,6.908755,1,317.802720,1193.210589,23602.949806,,
200611,394,27,6.908755,1,324.711475,983.025921,24585.975727,,
200612,395,27,6.908755,1,331.620229,777.269325,25363.245051,,
200701,400,27,6.908755,1,338.528984,859.631312,26222.876363,,
200702,391,27,6.908755,1,345.437739,850.004741,27072.881105,,
200703,380,26,6.908755,1,352.346494,1048.423706,28121.304811,,
200704,384,26,6.908755,1,359.255249,790.782065,28912.086875,,
200705,384,26,6.908755,1,366.164003,723.787068,29635.873944,,
200706,381,26,6.908755,1,373.072758,976.145178,30612.019121,,
200707,390,26,6.908755,1,379.981513,1132.807446,31744.826568,,
200708,376,26,6.908755,1,386.890268,618.340134,32363.166701,,
200709,381,26,6.908755,1,393.799022,486.052911,32849.219613,,
200710,379,26,6.908755,1,400.707777,497.125022,33346.344635,,
200711,387,26,6.908755,1,407.616532,633.169536,33979.514171,,
200712,381,26,6.908755,1,414.525287,233.925669,34213.439840,,
200801,384,26,6.908755,1,421.434042,333.160247,34546.600086,,
200802,384,26,6.908755,1,428.342796,312.379260,34858.979346,,
200803,377,26,6.908755,1,435.251551,191.455489,35050.434835,,
200804,387,26,6.908755,1,442.160306,116.520956,35166.955791,,
200805,405,27,6.908755,1,449.069061,85.547044,35252.502835,,
200806,413,28,6.908755,1,455.977815,211.998363,35464.501199,,
200807,424,29,6.908755,1,462.886570,267.277732,35731.778930,,
200808,427,29,6.908755,1,469.795325,338.053379,36069.832309,,
200809,428,29,6.908755,1,476.704080,239.385697,36309.218006,,
200810,424,29,6.908755,1,483.612835,92.194951,36401.412957,,
200811,415,28,6.908755,1,490.521589,145.192997,36546.605954,,
200812,422,29,6.908755,1,497.430344,294.996055,36841.602009,,
200901,430,29,6.908755,1,504.339099,336.106142,37177.708151,,
200902,439,30,6.908755,1,511.247854,546.146614,37723.854765,,
200903,434,29,6.908755,1,518.156608,674.040242,38397.895007,,
200904,441,30,6.908755,1,525.065363,766.119539,39164.014546,,
200905,451,31,6.908755,1,531.974118,535.092737,39699.107283,,
200906,457,31,6.908755,1,538.882873,398.877869,40097.985153,,
200907,463,31,6.908755,1,545.791628,301.914002,40399.899154,,
200908,460,31,6.908755,1,552.700382,265.343839,40665.242994,,
200909,477,32,6.908755,1,559.609137,339.305284,41004.548278,,
200910,488,33,6.908755,1,566.517892,435.419241,41439.967518,,
200911,506,34,6.908755,1,573.426647,512.954250,41952.921769,,
200912,515,35,6.908755,1,580.335401,499.280359,42452.202128,,
201001,521,35,6.908755,1,587.244156,373.661776,42825.863904,,
201002,522,35,6.908755,1,594.152911,712.775746,43538.639649,,
201003,521,35,6.908755,1,601.061666,708.536560,44247.176209,,
201004,523,35,6.908755,1,607.970421,772.999843,45020.176052,,
201005,534,36,6.908755,1,614.879175,865.860921,45886.036973,,
201006,531,36,6.908755,1,621.787930,803.767611,46689.804584,,
201007,529,36,6.908755,1,628.696685,825.157713,47514.962297,,
201008,540,36,6.908755,1,635.605440,873.547189,48388.509486,,
201009,548,37,6.908755,1,642.514194,1209.926176,49598.435662,,
201010,563,38,6.908755,1,649.422949,1586.461673,51184.897334,,
