date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,24,2,6.832737,1,6.832737,9.446295,9.446295,,
200302,25,2,6.905713,1,13.738450,12.701652,22.147946,,
200303,29,2,6.908560,1,20.647010,15.451718,37.599665,,
200304,30,2,6.832490,1,27.479501,9.442930,47.042594,,
200305,29,2,6.467474,1,33.946975,7.497089,54.539683,,
200306,30,2,5.544188,1,39.491163,5.838219,60.377902,,
200307,31,3,6.678919,1,46.170082,8.261027,68.638929,,
200308,33,3,6.908712,1,53.078794,16.963842,85.602771,,
200309,35,3,6.885127,1,59.963921,10.641234,96.244005,,
200310,35,3,3.295093,7,63.259014,3.321417,99.565422,,
200311,36,3,6.845598,1,70.104612,9.638149,109.203571,,
200312,34,3,-0.669984,97,69.434629,-0.670472,108.533099,,
200401,34,3,6.568968,1,76.003597,7.812494,116.345593,,
200402,39,3,5.912267,1,81.915864,6.371992,122.717585,,
200403,42,3,3.293494,5,85.209358,3.319773,126.037358,,
200404,40,3,-21.649362,423,63.559996,-21.650361,104.386996,,
200405,39,3,-7.176889,336,56.383106,-7.177888,97.209108,,
200406,40,3,6.890793,1,63.273899,10.918260,108.127369,,
200407,44,3,6.225859,1,69.499759,6.928365,115.055734,,
200408,46,4,6.908755,1,76.408514,24.251050,139.306784,,
200409,46,4,6.908755,1,83.317268,22.582855,161.889639,,
200410,47,4,6.908755,1,90.226023,36.945065,198.834704,,
200411,47,4,6.908752,1,97.134775,19.564032,218.398736,,
200412,47,4,6.904242,1,104.039016,12.306329,230.705065,,
200501,49,4,6.896359,1,110.935376,11.291974,241.997039,,
200502,49,4,6.908755,1,117.844131,41.155447,283.152486,,
200503,44,3,5.675210,1,123.519340,6.018474,289.170960,,
200504,43,3,6.908755,1,130.428095,29.773721,318.944681,,
200505,44,3,6.908755,1,137.336850,26.085008,345.029689,,
200506,49,4,6.908755,1,144.245605,47.072473,392.102162,,
200507,49,4,6.908755,1,151.154360,39.149574,431.251736,,
200508,48,4,6.908755,1,158.063114,44.316211,475.567947,,
200509,46,4,6.908755,1,164.971869,36.064675,511.632623,,
200510,49,4,6.908755,1,171.880624,36.573704,548.206326,,
200511,47,4,6.908755,1,178.789379,31.024137,579.230464,,
200512,49,4,6.908755,1,185.698133,53.175371,632.405834,,
200601,49,4,6.908755,1,192.606888,42.275260,674.681095,,
