y_cov,rtg,date,n,rho_level_y,rho_level_self,rho_resy_y,rho_resy_self,rho_resself_y,rho_resself_self,slope_y,log_slope_y,slope_self,log_slope_self
duration,AAA,200307,24,0.9556521739130434,0.9956521739130434,0.4834782608695652,0.6104347826086955,0.826086956521739,0.748695652173913,0.3986874930202591,0.0108805899712083,0.9422559328762327,0.14148240538924736
duration,AAA,200308,24,0.9426086956521739,0.9782608695652173,0.36,0.46086956521739125,-0.27043478260869563,-0.31913043478260866,0.3986874930202591,0.0108805899712083,0.9422559328762327,0.14148240538924736
duration,AAA,200309,26,0.9705982905982906,0.9897435897435896,0.43384615384615377,0.5849572649572649,0.3928205128205128,0.3374358974358974,0.3853560005264137,0.026168478201391846,0.9478371931328788,-0.02200192839990755
duration,AAA,200310,26,0.9439316239316239,0.9856410256410256,0.3586324786324786,0.4782905982905982,0.1623931623931624,0.18153846153846154,0.3853560005264137,0.026168478201391846,0.9478371931328788,-0.02200192839990755
duration,AAA,200311,25,0.8823076923076922,0.9415384615384615,0.13076923076923078,0.3069230769230769,-0.22153846153846157,-0.23384615384615384,0.3853560005264137,0.026168478201391846,0.9478371931328788,-0.02200192839990755
duration,AAA,200312,25,0.93,0.9607692307692307,0.09,0.37538461538461537,0.30769230769230765,0.1446153846153846,0.3853560005264137,0.026168478201391846,0.9478371931328788,-0.02200192839990755
duration,AAA,200401,27,0.9662647036711045,0.9800030643868073,0.32722832722832723,0.5134310134310134,0.4627594627594628,0.27167277167277165,0.3853560005264137,0.026168478201391846,0.9478371931328788,-0.02200192839990755
duration,AAA,200402,28,0.9742747673782157,0.9859039369731732,0.41105637657361793,0.5118379683897373,0.42911877394636017,0.4332831571983713,0.3848580812909634,0.030252587052731848,0.9556210581641426,-0.11046296636786013
duration,AAA,200403,29,0.7527093596059112,0.7866995073891624,-0.09802955665024629,0.04334975369458127,-0.2679802955665024,-0.32758620689655166,0.3848580812909634,0.030252587052731848,0.9556210581641426,-0.11046296636786013
duration,AAA,200404,27,0.918192918192918,0.9615384615384616,0.08363858363858362,0.2869352869352869,0.24847374847374848,0.19047619047619047,0.3848580812909634,0.030252587052731848,0.9556210581641426,-0.11046296636786013
duration,AAA,200405,31,0.948684348000965,0.972678702392488,0.15161290322580648,0.3463709677419355,0.36088709677419356,0.28830645161290325,0.38025800709001845,0.025844476719574048,0.9369463945742554,-0.07286093730365813
duration,AAA,200406,33,0.966577540106952,0.9718392279272137,0.032754010695187165,0.198044623403912,0.043114973262032084,-0.0852343948826963,0.38025800709001845,0.025844476719574048,0.9369463945742554,-0.07286093730365813
duration,AAA,200407,34,0.9657754010695186,0.9871657754010694,-0.09824293353705117,0.05118411000763942,0.45607333842627956,0.4096256684491979,0.38025800709001845,0.025844476719574048,0.9369463945742554,-0.07286093730365813
duration,AAA,200408,34,0.9660809778456838,0.9935828877005346,-0.2974789915966386,-0.13796791443850268,0.07715813598166539,0.06646294881588999,0.38393617586364165,0.043789785622668574,0.9632095296027541,-0.10659521285263066
duration,AAA,200409,33,0.9544580964217226,0.9949026524248845,-0.7028743315508021,-0.571524064171123,-0.5337566844919787,-0.5294117647058824,0.38182762946769006,0.06406373301637694,0.9670963925524455,-0.1663046040438837
duration,AAA,200410,33,0.9656555561416063,0.9766003677085076,-0.8018048128342247,-0.6974179016578268,0.08589572192513369,0.07687808165890254,0.38224957536191423,0.06394292546715384,0.9796478218577442,-0.2814722530605886
duration,AAA,200411,34,0.952555583802249,0.9789899944531616,-0.8692131398013749,-0.7662337662337662,-0.42582123758594337,-0.5025210084033613,0.38405842023158315,0.0700165155120575,0.9805633108837327,-0.2439746150965722
duration,AAA,200412,34,0.9511803832481553,0.9860941320293399,-0.9122994652406416,-0.8011307227903739,-0.412070282658518,-0.46970738925378785,0.3777498462182599,0.07885945912323479,0.9654972315647234,-0.19346895196965816
duration,AAA,200501,36,0.9371943371943372,0.9600360403430837,-0.8864864864864865,-0.7919428551053752,-0.4610038610038611,-0.5354269912625322,0.3763521038132429,0.1120729211819729,0.9939900894684927,-0.32512140452195326
duration,AAA,200502,36,0.8947232947232949,0.9619047619047619,-0.9521235521235523,-0.8198198198198199,-0.624967824967825,-0.6190476190476191,0.3833286745587561,0.10321747804692773,1.014317002019403,-0.2629711626538349
