y_cov,rtg,date,n,rho_level_y,rho_level_self,rho_resy_y,rho_resy_self,rho_resself_y,rho_resself_self,slope_y,log_slope_y,slope_self,log_slope_self
duration,AAA,200301,17,0.9877450980392157,0.9681372549019608,0.5784313725490197,0.5955882352941178,0.6691176470588236,0.5637254901960785,0.38025800709001845,0.025844476719574048,0.9369463945742554,-0.07286093730365813
duration,AAA,200302,20,0.9853329015730022,0.9936066892961344,0.5037593984962406,0.556390977443609,0.20601503759398496,0.1819548872180451,0.38393617586364165,0.043789785622668574,0.9632095296027541,-0.10659521285263066
duration,AAA,200303,20,0.9308270676691727,0.9635201884847449,0.35187969924812035,0.42798047404201395,0.5203007518796992,0.41970668631888186,0.3848869495406495,0.056003343243862864,0.9599590278697266,-0.09330064098110001
duration,AAA,200304,20,0.9383458646616539,0.9609022556390976,0.3218045112781954,0.4616541353383458,0.2045112781954887,0.019548872180451125,0.38579736290009053,0.059967855960830416,0.9704785808305721,-0.1448823827356139
duration,AAA,200305,21,0.9688311688311689,0.9883116883116884,0.16753246753246753,0.36623376623376624,-0.08311688311688312,-0.11428571428571428,0.3844323898504648,0.05832204288209052,0.97043355446315,-0.20881357756153418
duration,AAA,200306,23,0.9555335968379446,0.9920948616600791,0.21640316205533597,0.4150197628458498,0.733201581027668,0.6403162055335968,0.3802211732270169,0.06330967753272311,0.9619190717170163,-0.19709063416472794
duration,AAA,200307,24,0.9556521739130434,0.9956521739130434,0.5913043478260869,0.7130434782608696,0.8591304347826085,0.7947826086956521,0.37786276565893984,0.08061636017000791,0.9701769669788995,-0.23417792500288195
duration,AAA,200308,24,0.9426086956521739,0.9782608695652173,0.4626086956521739,0.5539130434782608,-0.5626086956521739,-0.6026086956521738,0.3835992491218207,0.08171223951999804,0.9915280699789015,-0.2401085022807547
duration,AAA,200309,26,0.9705982905982906,0.9897435897435896,0.4523076923076923,0.5999999999999999,0.31145299145299143,0.24786324786324784,0.38517043275141377,0.08018270847771405,0.9869741403865365,-0.26141403048770817
duration,AAA,200310,26,0.9439316239316239,0.9856410256410256,0.3846153846153845,0.49606837606837606,-0.16854700854700852,-0.17264957264957262,0.38733282287819937,0.08233572479136865,0.9871526269477305,-0.2778480892547701
duration,AAA,200311,25,0.8823076923076922,0.9415384615384615,0.19,0.3661538461538461,-0.5623076923076923,-0.5746153846153847,0.3896147705975057,0.09210230745940388,0.9895616280973042,-0.2558377603769529
duration,AAA,200312,25,0.93,0.9607692307692307,0.13615384615384615,0.4146153846153846,0.2815384615384615,0.11615384615384615,0.387205758015945,0.10414683749929604,0.9829797928117182,-0.20435361872484897
duration,AAA,200401,27,0.9662647036711045,0.9800030643868073,0.3681318681318681,0.5421245421245421,0.3766788766788767,0.16727716727716724,0.38516607596848473,0.10444960252331838,0.9842584788483215,-0.25209281018302915
duration,AAA,200402,28,0.9742747673782157,0.9859039369731732,0.4761904761904762,0.5652114463769026,0.23645320197044337,0.251265911754962,0.38380579786844815,0.09655156005938731,0.9804645796866505,-0.2691607310290543
duration,AAA,200403,29,0.7527093596059112,0.7866995073891624,0.02118226600985221,0.141871921182266,-0.6354679802955664,-0.7044334975369457,0.38328259895350036,0.09782610865993771,0.9835865364654288,-0.20551330502503215
duration,AAA,200404,27,0.918192918192918,0.9615384615384616,0.11904761904761904,0.31746031746031744,0.31746031746031744,0.2692307692307693,0.3698511459881568,0.0661798618032486,0.948468707719675,-0.16981419188753533
duration,AAA,200405,31,0.948684348000965,0.972678702392488,0.21411290322580648,0.3983870967741936,0.22983870967741934,0.15846774193548388,0.36637024075908065,0.07044481595577491,0.9488722550816904,-0.18596718368804585
duration,AAA,200406,33,0.966577540106952,0.9718392279272137,0.1129679144385027,0.2754240838562421,-0.0661764705882353,-0.21108047203303024,0.3660226630076889,0.06620927493929536,0.9542209041572677,-0.19179592067414297
duration,AAA,200407,34,0.9657754010695186,0.9871657754010694,0.06707410236822,0.21405653170359049,0.37723453017570663,0.3298701298701298,0.36304811751645444,0.06352466738670241,0.9440280303076702,-0.17751334700123245
duration,AAA,200408,34,0.9660809778456838,0.9935828877005346,0.00320855614973262,0.16913674560733383,0.2983957219251337,0.2904507257448434,0.35322209566626045,0.060516367167188924,0.9252898033891003,-0.14571588678531447
duration,AAA,200409,33,0.9544580964217226,0.9949026524248845,-0.34759358288770054,-0.17814171122994654,-0.3054812834224599,-0.3044786096256685,0.3444118042310851,0.06760080613296109,0.9284604644127896,-0.09541858385886345
duration,AAA,200410,33,0.9656555561416063,0.9766003677085076,-0.40006684491978617,-0.26573076051664135,0.322192513368984,0.29999164473419576,0.3324165856439855,0.07923037121325745,0.9205280752556542,-0.15164598958361364
duration,AAA,200411,34,0.952555583802249,0.9789899944531616,-0.5914438502673797,-0.45240641711229945,-0.21038961038961038,-0.29258976317799845,0.3203088950289718,0.06849558365640483,0.9131651073466742,-0.11410400131812991
duration,AAA,200412,34,0.9511803832481553,0.9860941320293399,-0.6968678380443085,-0.5424402185591889,-0.033460656990068754,-0.09779203940221998,0.3095955478235722,0.06364937399106228,0.9122081412250782,-0.06349705296385237
duration,AAA,200501,36,0.9371943371943372,0.9600360403430837,-0.7431145431145432,-0.6257802960380846,-0.22522522522522526,-0.2979599723011448,0.2984522481784677,0.06530572136474914,0.9130663509480021,0.011350004579711182
duration,AAA,200502,36,0.8947232947232949,0.9619047619047619,-0.856885456885457,-0.6857142857142858,-0.031402831402831406,-0.02059202059202059,0.2814744253200214,0.055066759166197174,0.8985438122436258,-0.03338815976529518
duration,AAA,200503,35,0.86218487394958,0.9711484593837536,-0.7361344537815127,-0.43949579831932784,0.4588235294117647,0.45462184873949585,0.2614573637149505,0.03492610972181606,0.884014377642052,-0.02181389888267901
