regime,target,null_for_target,rejection_rate,rejection_rate_after_break,median_max_logM,median_terminal_logM,mean_E_t,share_dates_at_ceiling,median_delay_after_break
stable_relation,level,False,1.0,1.0,407.6165319795981,407.6165319795981,1000.999999987047,1.0,0.0
stable_relation,y,True,0.0,0.1,-1.09918036253071,-101.65358469991301,1.259868329702147,0.0,1.0
stable_relation,self,False,1.0,1.0,94.48228618999757,94.2519907293603,108.4365202987456,0.17288135593220338,0.0
relation_break,level,False,1.0,1.0,399.0318015632651,399.0318015632651,937.0838112082243,0.9525423728813557,0.0
relation_break,y,False,0.0,0.8,-1.09918036253071,-84.43394238859416,12.663518452051607,0.023728813559322038,2.0
relation_break,self,False,1.0,1.0,85.99431721328324,85.99431721328324,131.8116959902674,0.20338983050847456,17.0
dispersion_break,level,False,1.0,1.0,342.92277791484685,342.71627543082445,863.7142585306013,0.888135593220339,0.0
dispersion_break,y,False,0.0,0.2,-1.09918036253071,-128.0808227018696,11.933935327627003,0.015254237288135594,1.0
dispersion_break,self,False,1.0,1.0,107.30927673097739,107.30927673097739,267.89154505700554,0.3491525423728813,18.0
random_walk,level,False,1.0,1.0,239.17117568955834,239.17117568955834,312.36301911191777,0.35084745762711866,0.5
random_walk,y,False,1.0,1.0,105.33022791847085,105.33022791847085,166.79059438122187,0.2101694915254237,0.0
random_walk,self,True,0.0,0.0,0.03884903435066178,-112.24309647542336,1.0721241508623867,0.003389830508474576,nan
drift_subset,level,False,1.0,1.0,316.83243457901204,316.83243457901204,704.5497003561306,0.7203389830508475,0.0
drift_subset,y,False,1.0,1.0,202.75065626442552,202.75065626442552,408.2133536773135,0.4423728813559323,1.0
drift_subset,self,False,0.0,0.5,0.03884903435066178,-78.08088974867148,4.3056493032412915,0.015254237288135594,5.0
