regime,target,null_for_target,rejection_rate,rejection_rate_after_break,median_max_logM,median_terminal_logM,mean_E_t,share_dates_at_ceiling,median_delay_after_break
stable_relation,level,False,1.0,1.0,324.7114746278154,324.7114746278154,1000.999999999903,1.0,0.0
stable_relation,y,True,0.0,0.1,-1.4500559690172565,-81.379986938394,1.4602681893777756,0.0,0.0
stable_relation,self,False,1.0,1.0,84.23901416957199,83.76499190902044,103.38980285708162,0.16170212765957448,0.5
relation_break,level,False,1.0,1.0,317.64369206038197,317.64369206038197,933.9701545778241,0.9553191489361703,0.0
relation_break,y,False,1.0,1.0,73.2371169690781,34.052107180133255,214.47951937150978,0.23617021276595743,2.0
relation_break,self,False,1.0,0.7,32.368974231342506,31.62263517855999,92.062709677089,0.13617021276595742,27.0
dispersion_break,level,False,1.0,1.0,256.36228962897985,256.36228962897985,841.1171474933146,0.8617021276595744,0.0
dispersion_break,y,False,0.1,0.3,-0.7309187917457436,-62.34276098143358,45.90373445993455,0.05319148936170213,3.0
dispersion_break,self,False,1.0,1.0,55.602373101075145,55.602373101075145,211.1237490791817,0.26595744680851063,24.5
random_walk,level,False,0.9,1.0,144.1394667437039,144.1394667437039,246.77695181937952,0.28510638297872337,1.0
random_walk,y,False,1.0,1.0,110.4718606432559,110.4718606432559,224.65823585749064,0.27872340425531916,0.5
random_walk,self,True,0.0,0.2,-1.8416248841205913,-91.82284232774512,1.42605839107231,0.002127659574468085,2.0
drift_subset,level,False,1.0,1.0,259.4381338145861,259.4381338145861,728.5427651784113,0.7382978723404254,1.0
drift_subset,y,False,1.0,1.0,244.055379043617,244.055379043617,666.2486832118095,0.6893617021276596,0.5
drift_subset,self,False,0.3,1.0,-0.8925592825816011,-25.33275050522539,18.91742386116194,0.04680851063829787,7.0
