regime,target,month,log_M_median,log_M_p10,log_M_p90,log_E_median
stable_relation,level,25,6.908755,6.908755,6.908755,6.908755
stable_relation,level,26,13.817510,13.817510,13.817510,6.908755
stable_relation,level,27,20.726264,20.726264,20.726264,6.908755
stable_relation,level,28,27.635019,27.635019,27.635019,6.908755
stable_relation,level,29,34.543774,34.543774,34.543774,6.908755
stable_relation,level,30,41.452529,41.452529,41.452529,6.908755
stable_relation,level,31,48.361283,48.361283,48.361283,6.908755
stable_relation,level,32,55.270038,55.270038,55.270038,6.908755
stable_relation,level,33,62.178793,62.178793,62.178793,6.908755
stable_relation,level,34,69.087548,69.087548,69.087548,6.908755
stable_relation,level,35,75.996303,75.996303,75.996303,6.908755
stable_relation,level,36,82.905057,82.905057,82.905057,6.908755
stable_relation,level,37,89.813812,89.813812,89.813812,6.908755
stable_relation,level,38,96.722567,96.722567,96.722567,6.908755
stable_relation,level,39,103.631322,103.631322,103.631322,6.908755
stable_relation,level,40,110.540076,110.540076,110.540076,6.908755
stable_relation,level,41,117.448831,117.448831,117.448831,6.908755
stable_relation,level,42,124.357586,124.357586,124.357586,6.908755
stable_relation,level,43,131.266341,131.266341,131.266341,6.908755
stable_relation,level,44,138.175096,138.175096,138.175096,6.908755
stable_relation,level,45,145.083850,145.083850,145.083850,6.908755
stable_relation,level,46,151.992605,151.992605,151.992605,6.908755
stable_relation,level,47,158.901360,158.901360,158.901360,6.908755
stable_relation,level,48,165.810115,165.810115,165.810115,6.908755
stable_relation,level,49,172.718869,172.718869,172.718869,6.908755
stable_relation,level,50,179.627624,179.627624,179.627624,6.908755
stable_relation,level,51,186.536379,186.536379,186.536379,6.908755
stable_relation,level,52,193.445134,193.445134,193.445134,6.908755
stable_relation,level,53,200.353889,200.353889,200.353889,6.908755
stable_relation,level,54,207.262643,207.262643,207.262643,6.908755
stable_relation,level,55,214.171398,214.171398,214.171398,6.908755
stable_relation,level,56,221.080153,221.080153,221.080153,6.908755
stable_relation,level,57,227.988908,227.988908,227.988908,6.908755
stable_relation,level,58,234.897662,234.897662,234.897662,6.908755
stable_relation,level,59,241.806417,241.806417,241.806417,6.908755
stable_relation,level,60,248.715172,248.715172,248.715172,6.908755
stable_relation,level,61,255.623927,255.623927,255.623927,6.908755
stable_relation,level,62,262.532682,262.532682,262.532682,6.908755
stable_relation,level,63,269.441436,269.441436,269.441436,6.908755
stable_relation,level,64,276.350191,276.350191,276.350191,6.908755
stable_relation,level,65,283.258946,283.258946,283.258946,6.908755
stable_relation,level,66,290.167701,290.167701,290.167701,6.908755
stable_relation,level,67,297.076456,297.076456,297.076456,6.908755
stable_relation,level,68,303.985210,303.985210,303.985210,6.908755
stable_relation,level,69,310.893965,310.893965,310.893965,6.908755
stable_relation,level,70,317.802720,317.802720,317.802720,6.908755
stable_relation,level,71,324.711475,324.711475,324.711475,6.908755
stable_relation,y,25,-0.735007,-3.655076,0.277502,-0.735007
stable_relation,y,26,-2.282668,-3.623631,0.393833,-0.554186
stable_relation,y,27,-3.286626,-5.439362,1.040581,-1.044503
stable_relation,y,28,-6.001349,-9.298130,-1.550635,-1.227112
stable_relation,y,29,-5.821935,-9.184953,-2.014304,-0.698693
stable_relation,y,30,-6.924956,-12.061464,-4.444040,-1.331005
stable_relation,y,31,-8.613983,-12.611555,-5.032529,-0.545944
stable_relation,y,32,-9.331801,-15.763589,-4.548326,-0.977838
stable_relation,y,33,-11.601467,-16.506169,-6.056141,-1.573296
stable_relation,y,34,-11.656745,-17.014077,-6.357403,-0.314768
stable_relation,y,35,-13.869971,-17.447594,-6.052058,0.335457
stable_relation,y,36,-13.048631,-17.439998,-6.901657,0.219542
stable_relation,y,37,-12.617324,-18.725923,-5.732982,-0.212294
stable_relation,y,38,-14.720118,-18.837674,-5.410961,-0.798626
stable_relation,y,39,-14.887399,-28.335085,-5.446582,-0.699259
stable_relation,y,40,-13.424950,-28.814299,-3.004259,0.830882
stable_relation,y,41,-13.143552,-28.806878,-5.815741,-0.170709
stable_relation,y,42,-14.538750,-31.047735,-7.021723,-0.589271
stable_relation,y,43,-19.151243,-31.866754,-8.563304,-1.191194
stable_relation,y,44,-19.362671,-34.117480,-7.531675,-0.808666
stable_relation,y,45,-19.679273,-34.446645,-9.223715,-0.952210
stable_relation,y,46,-21.865857,-34.695230,-9.389147,-0.642630
stable_relation,y,47,-22.889326,-36.083967,-11.868981,-0.617636
stable_relation,y,48,-23.562948,-36.052176,-10.782867,0.805573
stable_relation,y,49,-24.041002,-36.453376,-13.182147,-0.478053
stable_relation,y,50,-24.482296,-37.522212,-12.683040,-0.579535
stable_relation,y,51,-25.030874,-37.266605,-10.908602,-0.164067
stable_relation,y,52,-27.529418,-34.781385,-11.031679,-0.320826
stable_relation,y,53,-27.211351,-36.117515,-14.949818,-1.585719
stable_relation,y,54,-27.436595,-41.712526,-15.909166,-1.136199
stable_relation,y,55,-27.561391,-42.994641,-16.575507,-0.474865
stable_relation,y,56,-26.732586,-44.563632,-16.581731,-0.003165
stable_relation,y,57,-30.088058,-46.376709,-15.496000,-1.016258
stable_relation,y,58,-29.402636,-47.320289,-15.594573,-0.491380
stable_relation,y,59,-29.288764,-47.214367,-16.161064,-0.111780
stable_relation,y,60,-28.243785,-49.920495,-19.403730,-0.420623
stable_relation,y,61,-27.377424,-50.677912,-19.766931,-0.092848
stable_relation,y,62,-28.609393,-51.866822,-19.483236,-0.658083
stable_relation,y,63,-27.904244,-55.216989,-20.131699,-0.715447
stable_relation,y,64,-30.335604,-57.214661,-20.759666,-2.334951
stable_relation,y,65,-30.632141,-59.346974,-20.864051,-0.001732
stable_relation,y,66,-33.158466,-62.566588,-23.315952,-2.650675
stable_relation,y,67,-32.906411,-63.515311,-23.342618,-0.307441
stable_relation,y,68,-35.427075,-63.844858,-25.034212,-0.078902
stable_relation,y,69,-37.565693,-64.038709,-24.157921,-0.016644
stable_relation,y,70,-38.071032,-64.065195,-24.732375,-0.543378
stable_relation,y,71,-40.202643,-63.939614,-27.013770,-2.053662
stable_relation,self,25,4.342847,-0.443601,6.672797,4.342847
stable_relation,self,26,6.622845,1.777908,8.270411,2.361238
stable_relation,self,27,7.755964,4.390620,14.121022,3.629934
stable_relation,self,28,11.207519,7.587587,16.708703,2.820388
stable_relation,self,29,13.211536,7.828963,20.770662,2.962097
stable_relation,self,30,14.145869,9.645960,24.539063,2.483098
stable_relation,self,31,16.802090,11.017884,25.329791,1.726700
stable_relation,self,32,20.746634,15.263310,27.688384,2.791251
stable_relation,self,33,21.585040,15.689152,28.155786,0.863799
stable_relation,self,34,25.541647,19.399596,29.916931,1.699782
stable_relation,self,35,25.485798,22.470323,34.256451,2.143775
stable_relation,self,36,28.854063,23.979901,37.078626,3.935186
stable_relation,self,37,32.684566,23.782355,41.568537,3.701408
stable_relation,self,38,36.619512,24.719858,47.856893,3.453361
stable_relation,self,39,36.641647,26.394803,53.446979,1.386070
stable_relation,self,40,38.484911,28.587988,56.214602,2.381311
stable_relation,self,41,40.295179,34.716280,57.011855,1.876720
stable_relation,self,42,41.180166,33.455332,57.497852,2.459008
stable_relation,self,43,41.915237,35.636882,60.029326,2.534379
stable_relation,self,44,41.016666,34.579775,60.585448,-0.075839
stable_relation,self,45,45.339354,36.412454,63.946138,3.940888
stable_relation,self,46,44.111702,39.270783,62.849963,1.733559
stable_relation,self,47,48.414365,41.933709,67.020076,3.172372
stable_relation,self,48,48.832119,44.637671,73.360743,3.508547
stable_relation,self,49,52.730832,43.977941,72.520062,0.567888
stable_relation,self,50,54.531154,47.082446,79.035555,2.037989
stable_relation,self,51,57.025738,47.303397,84.101542,2.513381
stable_relation,self,52,59.612658,50.889355,84.113834,3.624194
stable_relation,self,53,60.762653,53.644602,86.143300,5.603902
stable_relation,self,54,63.325086,54.178070,87.840958,1.314695
stable_relation,self,55,65.333968,55.072037,87.916806,1.101723
stable_relation,self,56,70.281482,52.630528,90.284416,3.544499
stable_relation,self,57,74.213416,58.863348,93.037997,4.596098
stable_relation,self,58,78.549963,59.675074,97.097762,4.336547
stable_relation,self,59,81.609915,62.127341,97.378587,1.245818
stable_relation,self,60,84.430184,64.788492,102.166616,2.518183
stable_relation,self,61,85.595221,65.111183,105.350969,3.664562
stable_relation,self,62,88.908926,67.907232,111.890811,3.544149
stable_relation,self,63,90.255730,67.945077,114.236895,2.411113
stable_relation,self,64,90.017163,70.732990,116.128985,2.351960
stable_relation,self,65,94.806452,69.699307,119.257917,4.325931
stable_relation,self,66,100.665408,70.973923,120.236656,1.698204
stable_relation,self,67,101.527904,73.473180,121.878941,2.609545
stable_relation,self,68,101.969507,77.037182,123.857444,3.144868
stable_relation,self,69,104.197112,76.664769,129.817199,2.795548
stable_relation,self,70,106.751090,82.100943,133.043931,3.552345
stable_relation,self,71,111.491871,84.415777,130.039736,1.925349
relation_break,level,25,6.908755,6.908755,6.908755,6.908755
relation_break,level,26,13.817510,13.817510,13.817510,6.908755
relation_break,level,27,20.726264,20.726264,20.726264,6.908755
relation_break,level,28,27.635019,27.635019,27.635019,6.908755
relation_break,level,29,34.543774,34.543774,34.543774,6.908755
relation_break,level,30,41.452529,41.452529,41.452529,6.908755
relation_break,level,31,48.361283,48.361283,48.361283,6.908755
relation_break,level,32,55.270038,55.270038,55.270038,6.908755
relation_break,level,33,62.178793,62.178793,62.178793,6.908755
relation_break,level,34,69.087548,69.087548,69.087548,6.908755
relation_break,level,35,75.996303,75.996303,75.996303,6.908755
relation_break,level,36,82.905057,82.871102,82.905057,6.908754
relation_break,level,37,89.813767,89.641012,89.813812,6.908754
relation_break,level,38,96.721506,95.384078,96.722566,6.908735
relation_break,level,39,103.630035,102.292827,103.631315,6.908755
relation_break,level,40,110.505016,109.193100,110.540064,6.908751
relation_break,level,41,117.412152,116.093598,117.448810,6.908746
relation_break,level,42,124.320856,122.992684,124.357554,6.908710
relation_break,level,43,131.132282,129.799232,131.266239,6.908679
relation_break,level,44,137.587157,132.354156,138.174926,6.907340
relation_break,level,45,143.924753,139.262810,145.082993,6.908687
relation_break,level,46,150.825217,141.990690,151.991748,6.903649
relation_break,level,47,157.732389,148.884180,158.900502,6.908059
relation_break,level,48,164.641135,155.792518,165.773631,6.908740
