date,n,B,sectors,log_E,rank,log_M
200301,349,24,7,6.908755,1,6.908755
200302,351,24,7,6.908755,1,13.817510
200303,355,24,7,6.908755,1,20.726264
200304,360,24,7,6.908755,1,27.635019
200305,371,25,7,6.908755,1,34.543774
200306,383,26,7,6.908755,1,41.452529
200307,395,27,7,6.908755,1,48.361283
200308,401,27,7,6.908755,1,55.270038
200309,412,28,7,6.908755,1,62.178793
200310,406,28,7,6.908755,1,69.087548
200311,416,28,7,6.908755,1,75.996303
200312,421,29,7,6.908755,1,82.905057
200401,429,29,7,6.908755,1,89.813812
200402,426,29,7,6.908755,1,96.722567
200403,428,29,7,6.908755,1,103.631322
200404,423,29,7,6.908755,1,110.540076
200405,423,29,7,6.908755,1,117.448831
200406,424,29,7,6.908755,1,124.357586
200407,425,29,7,6.908755,1,131.266341
200408,428,29,7,6.908755,1,138.175096
200409,439,30,7,6.908755,1,145.083850
200410,436,30,6,6.908755,1,151.992605
200411,444,30,6,6.908755,1,158.901360
200412,445,30,6,6.908755,1,165.810115
200501,444,30,6,6.908755,1,172.718869
200502,443,30,6,6.908755,1,179.627624
200503,438,30,6,6.908755,1,186.536379
200504,436,30,6,6.908755,1,193.445134
200505,431,29,6,6.908755,1,200.353889
200506,438,30,6,6.908755,1,207.262643
200507,442,30,6,6.908755,1,214.171398
200508,439,30,6,6.908755,1,221.080153
200509,449,30,6,6.908755,1,227.988908
200510,455,31,6,6.908755,1,234.897662
200511,455,31,6,6.908755,1,241.806417
200512,446,30,6,6.908755,1,248.715172
200601,430,29,6,6.908755,1,255.623927
200602,434,29,6,6.908755,1,262.532682
200603,434,29,6,6.908755,1,269.441436
200604,431,29,6,6.908755,1,276.350191
200605,433,29,6,6.908755,1,283.258946
200606,421,29,6,6.908755,1,290.167701
200607,423,29,6,6.908755,1,297.076456
200608,414,28,6,6.908755,1,303.985210
200609,415,28,6,6.908755,1,310.893965
200610,380,26,6,6.908755,1,317.802720
200611,389,26,6,6.908755,1,324.711475
200612,380,26,6,6.908755,1,331.620229
200701,378,26,6,6.908755,1,338.528984
200702,356,24,6,6.908755,1,345.437739
200703,353,24,6,6.908755,1,352.346494
200704,367,25,6,6.908755,1,359.255249
200705,371,25,6,6.908755,1,366.164003
200706,370,25,6,6.908755,1,373.072758
200707,362,25,6,6.908755,1,379.981513
200708,356,24,6,6.908755,1,386.890268
200709,364,25,6,6.908755,1,393.799022
200710,386,26,6,6.908755,1,400.707777
200711,379,26,6,6.908755,1,407.616532
200712,395,27,6,6.908755,1,414.525287
200801,394,27,6,6.908755,1,421.434042
200802,400,27,6,6.908755,1,428.342796
200803,401,27,6,6.908755,1,435.251551
200804,408,28,6,6.908755,1,442.160306
200805,414,28,6,6.908755,1,449.069061
200806,439,30,6,6.908755,1,455.977815
200807,449,30,6,6.908755,1,462.886570
200808,447,30,6,6.908755,1,469.795325
200809,440,30,6,6.908755,1,476.704080
200810,440,30,6,6.908755,1,483.612835
200811,446,30,6,6.908755,1,490.521589
200812,518,35,6,6.908755,1,497.430344
200901,499,34,6,6.908755,1,504.339099
200902,506,34,6,6.908755,1,511.247854
200903,529,36,6,6.908755,1,518.156608
200904,527,36,6,6.908755,1,525.065363
200905,538,36,6,6.908755,1,531.974118
200906,561,38,6,6.908755,1,538.882873
200907,575,39,6,6.908755,1,545.791628
200908,593,40,6,6.908755,1,552.700382
200909,606,41,6,6.908755,1,559.609137
200910,604,41,6,6.908755,1,566.517892
200911,601,41,6,6.908755,1,573.426647
200912,622,42,6,6.908755,1,580.335401
201001,626,42,6,6.908755,1,587.244156
201002,638,43,6,6.908755,1,594.152911
201003,637,43,7,6.908755,1,601.061666
201004,644,43,7,6.908755,1,607.970421
201005,641,43,7,6.908755,1,614.879175
201006,648,44,7,6.908755,1,621.787930
201007,669,45,7,6.908755,1,628.696685
201008,667,45,7,6.908755,1,635.605440
201009,689,46,7,6.908755,1,642.514194
201010,703,47,7,6.908755,1,649.422949
201011,722,49,7,6.908755,1,656.331704
201012,732,49,7,6.908755,1,663.240459
201101,730,49,7,6.908755,1,670.149214
201102,744,50,7,6.908755,1,677.057968
201103,729,49,7,6.908755,1,683.966723
201104,758,51,7,6.908755,1,690.875478
201105,767,52,7,6.908755,1,697.784233
201106,786,53,7,6.908755,1,704.692987
201107,800,54,7,6.908755,1,711.601742
201108,799,54,7,6.908755,1,718.510497
201109,820,55,7,6.908755,1,725.419252
201110,834,56,7,6.908755,1,732.328007
201111,823,55,7,6.908755,1,739.236761
201112,845,57,7,6.908755,1,746.145516
201201,858,58,7,6.908755,1,753.054271
201202,871,59,7,6.908755,1,759.963026
201203,863,58,7,6.908755,1,766.871781
201204,886,60,7,6.908755,1,773.780535
201205,877,59,7,6.908755,1,780.689290
201206,892,60,7,6.908755,1,787.598045
201207,896,60,7,6.908755,1,794.506800
201208,894,60,7,6.908755,1,801.415554
201209,930,62,7,6.908755,1,808.324309
201210,942,63,7,6.908755,1,815.233064
201211,939,63,7,6.908755,1,822.141819
201212,943,63,7,6.908755,1,829.050574
201301,954,64,7,6.908755,1,835.959328
201302,972,65,7,6.908755,1,842.868083
201303,958,64,7,6.908755,1,849.776838
201304,947,64,7,6.908755,1,856.685593
201305,948,64,7,6.908755,1,863.594347
201306,958,64,7,6.908755,1,870.503102
201307,965,65,7,6.908755,1,877.411857
201308,957,64,7,6.908755,1,884.320612
201309,943,63,7,6.908755,1,891.229367
201310,933,63,7,6.908755,1,898.138121
201311,946,64,7,6.908755,1,905.046876
201312,942,63,7,6.908755,1,911.955631
201401,936,63,7,6.908755,1,918.864386
201402,941,63,7,6.908755,1,925.773140
201403,921,62,7,6.908755,1,932.681895
201404,927,62,7,6.908755,1,939.590650
201405,935,63,7,6.908755,1,946.499405
201406,943,63,7,6.908755,1,953.408160
201407,960,64,7,6.908755,1,960.316914
201408,968,65,7,6.908755,1,967.225669
201409,985,66,7,6.908755,1,974.134424
201410,994,67,7,6.908755,1,981.043179
201411,973,65,7,6.908755,1,987.951933
201412,967,65,7,6.908755,1,994.860688
201501,976,66,8,6.908755,1,1001.769443
201502,959,64,8,6.908755,1,1008.678198
201503,951,64,8,6.908755,1,1015.586953
201504,928,62,8,6.908755,1,1022.495707
201505,923,62,8,6.908755,1,1029.404462
201506,940,63,8,6.908755,1,1036.313217
201507,927,62,8,6.908755,1,1043.221972
201508,939,63,8,6.908755,1,1050.130726
201509,942,63,8,6.908755,1,1057.039481
201510,956,64,8,6.908755,1,1063.948236
201511,940,63,8,6.908755,1,1070.856991
201512,849,57,8,6.908755,1,1077.765746
201601,844,57,8,6.908755,1,1084.674500
201602,854,57,8,6.908755,1,1091.583255
201603,867,58,8,6.908755,1,1098.492010
201604,875,59,8,6.908755,1,1105.400765
201605,890,60,8,6.908755,1,1112.309519
201606,920,62,8,6.908755,1,1119.218274
201607,913,61,8,6.908755,1,1126.127029
201608,922,62,8,6.908755,1,1133.035784
201609,916,62,8,6.908755,1,1139.944539
201610,933,63,8,6.908755,1,1146.853293
201611,940,63,8,6.908755,1,1153.762048
201612,948,64,8,6.908755,1,1160.670803
201701,930,62,8,6.908755,1,1167.579558
201702,933,63,8,6.908755,1,1174.488312
201703,935,63,8,6.908755,1,1181.397067
201704,933,63,8,6.908755,1,1188.305822
201705,963,65,8,6.908755,1,1195.214577
201706,994,67,8,6.908755,1,1202.123332
201707,983,66,8,6.908755,1,1209.032086
201708,973,65,7,6.908755,1,1215.940841
201709,972,65,7,6.908755,1,1222.849596
201710,991,67,7,6.908755,1,1229.758351
201711,1019,68,7,6.908755,1,1236.667105
