date,n,B,sectors,log_E,rank,log_M
200301,55,4,4,6.908755,1,6.908755
200302,56,4,4,6.908755,1,13.817510
200303,59,4,4,6.908755,1,20.726264
200304,59,4,4,6.908755,1,27.635019
200305,50,4,3,6.908755,1,34.543774
200306,52,4,3,6.908755,1,41.452529
200307,54,4,3,6.908755,1,48.361283
200308,54,4,3,6.908755,1,55.270038
200309,53,4,3,6.908755,1,62.178793
200310,62,5,3,6.908755,1,69.087548
200311,62,5,3,6.908755,1,75.996303
200312,64,5,3,6.908755,1,82.905057
200401,67,5,3,6.908755,1,89.813812
200402,69,5,3,6.908755,1,96.722567
200403,67,5,3,6.908755,1,103.631322
200404,67,5,3,6.908755,1,110.540076
200405,69,5,3,6.908755,1,117.448831
200406,73,5,3,6.908755,1,124.357586
200407,71,5,3,6.908755,1,131.266341
200408,69,5,3,6.908755,1,138.175096
200409,72,5,3,6.908755,1,145.083850
200410,71,5,3,6.908755,1,151.992605
200411,72,5,3,6.908755,1,158.901360
200412,72,5,3,6.908755,1,165.810115
200501,72,5,3,6.908755,1,172.718869
200502,87,6,3,6.908755,1,179.627624
200503,88,6,3,6.908755,1,186.536379
200504,89,6,3,6.908755,1,193.445134
200505,90,6,3,6.908755,1,200.353889
200506,93,7,3,6.908755,1,207.262643
200507,93,7,3,6.908755,1,214.171398
200508,95,7,3,6.908755,1,221.080153
200509,100,7,3,6.908755,1,227.988908
200510,94,7,3,6.908755,1,234.897662
200511,94,7,3,6.908755,1,241.806417
200512,95,7,3,6.908755,1,248.715172
200601,100,7,3,6.908755,1,255.623927
200602,103,7,3,6.908755,1,262.532682
200603,101,7,3,6.908755,1,269.441436
200604,103,7,3,6.908755,1,276.350191
200605,101,7,3,6.908755,1,283.258946
200606,130,9,3,6.908755,1,290.167701
200607,127,9,3,6.908755,1,297.076455
200608,134,9,3,6.908755,1,303.985210
200609,128,9,3,6.908755,1,310.893965
200610,164,11,3,6.908755,1,317.802720
200611,164,11,3,6.908755,1,324.711475
200612,159,11,3,6.908755,1,331.620229
200701,158,11,3,6.908755,1,338.528984
200702,184,13,3,6.908755,1,345.437739
200703,185,13,3,6.908755,1,352.346494
200704,185,13,3,6.908755,1,359.255249
200705,188,13,3,6.908755,1,366.164003
200706,184,13,3,6.908755,1,373.072758
200707,184,13,3,6.908755,1,379.981513
200708,186,13,3,6.908755,1,386.890268
200709,192,13,3,6.908755,1,393.799022
200710,183,13,3,6.908755,1,400.707777
200711,185,13,3,6.908755,1,407.616532
200712,186,13,3,6.908755,1,414.525287
200801,178,12,3,6.908755,1,421.434042
200802,179,12,4,6.908755,1,428.342796
200803,178,12,4,6.908755,1,435.251551
200804,177,12,4,6.908755,1,442.160306
200805,177,12,4,6.908755,1,449.069061
200806,178,12,4,6.908755,1,455.977815
200807,176,12,4,6.908755,1,462.886570
200808,176,12,4,6.908755,1,469.795325
200809,173,12,4,-91.009235,177,378.786090
200810,172,12,4,6.908755,1,385.694845
200811,173,12,4,6.908755,1,392.603599
200812,103,7,4,6.908755,1,399.512354
200901,101,7,4,6.908755,1,406.421109
200902,104,7,4,6.908755,1,413.329864
200903,126,9,4,6.908755,1,420.238619
200904,132,9,4,6.908755,1,427.147373
200905,134,9,4,6.908755,1,434.056128
200906,129,9,4,6.908755,1,440.964883
200907,131,9,4,6.908755,1,447.873638
200908,132,9,4,6.908755,1,454.782392
200909,134,9,4,6.908755,1,461.691147
200910,138,10,4,6.908755,1,468.599902
200911,141,10,4,6.908755,1,475.508657
200912,144,10,4,6.908755,1,482.417412
201001,141,10,4,6.908755,1,489.326166
201002,156,11,4,6.908755,1,496.234921
201003,158,11,4,6.908755,1,503.143676
201004,157,11,4,6.908755,1,510.052431
201005,159,11,4,6.908755,1,516.961185
201006,156,11,4,6.908755,1,523.869940
201007,160,11,4,6.908755,1,530.778695
201008,161,11,4,6.908755,1,537.687450
201009,163,11,4,6.908755,1,544.596205
201010,163,11,4,6.908755,1,551.504959
201011,165,11,4,6.908755,1,558.413714
201012,165,11,4,6.908755,1,565.322469
201101,165,11,4,6.908755,1,572.231224
201102,174,12,4,6.908755,1,579.139978
201103,173,12,4,6.908755,1,586.048733
201104,175,12,4,6.908755,1,592.957488
201105,177,12,4,6.908755,1,599.866243
201106,181,13,5,6.908755,1,606.774998
201107,181,13,5,6.908755,1,613.683752
201108,182,13,5,6.908755,1,620.592507
201109,182,13,5,6.908755,1,627.501262
201110,186,13,5,6.908755,1,634.410017
201111,160,11,5,6.908755,1,641.318771
201112,159,11,5,6.908755,1,648.227526
201201,159,11,5,6.908755,1,655.136281
201202,160,11,5,6.908755,1,662.045036
201203,161,11,5,6.908755,1,668.953791
201204,158,11,5,6.908755,1,675.862545
201205,169,12,5,6.908755,1,682.771300
201206,172,12,5,6.908755,1,689.680055
201207,178,12,5,6.908755,1,696.588810
201208,170,12,5,6.908755,1,703.497565
201209,177,12,4,6.908755,1,710.406319
201210,175,12,4,6.908755,1,717.315074
201211,177,12,4,6.908755,1,724.223829
201212,173,12,4,6.908755,1,731.132584
201301,173,12,4,6.908755,1,738.041338
201302,180,12,4,6.908755,1,744.950093
201303,182,13,4,6.908755,1,751.858848
201304,175,12,4,6.908755,1,758.767603
201305,177,12,4,6.908755,1,765.676358
201306,190,13,4,6.908755,1,772.585112
201307,193,13,4,6.908755,1,779.493867
201308,194,13,4,6.908755,1,786.402622
201309,197,14,4,6.908755,1,793.311377
201310,198,14,4,6.908755,1,800.220131
201311,200,14,4,6.908755,1,807.128886
201312,219,15,4,6.908755,1,814.037641
201401,216,15,5,6.908755,1,820.946396
201402,218,15,5,6.908755,1,827.855151
201403,215,15,5,6.908755,1,834.763905
201404,214,15,5,6.908755,1,841.672660
201405,216,15,5,6.908755,1,848.581415
201406,231,16,5,6.908755,1,855.490170
201407,234,16,5,6.908755,1,862.398924
201408,236,16,5,6.908755,1,869.307679
201409,237,16,5,6.908755,1,876.216434
201410,235,16,5,6.908755,1,883.125189
201411,234,16,5,6.908755,1,890.033944
201412,236,16,5,6.908755,1,896.942698
201501,231,16,5,6.908755,1,903.851453
201502,227,16,5,6.908755,1,910.760208
201503,229,16,5,6.908755,1,917.668963
201504,246,17,5,6.908755,1,924.577717
201505,241,17,5,6.908755,1,931.486472
201506,251,17,5,6.908755,1,938.395227
201507,252,17,6,6.908755,1,945.303982
201508,252,17,6,6.908755,1,952.212737
201509,254,17,6,6.908755,1,959.121491
201510,253,17,6,6.908755,1,966.030246
201511,252,17,6,6.908755,1,972.939001
201512,258,18,6,6.908755,1,979.847756
201601,251,17,6,6.908755,1,986.756510
201602,226,16,6,6.908755,1,993.665265
201603,234,16,6,6.908755,1,1000.574020
201604,243,17,6,6.908755,1,1007.482775
201605,244,17,6,6.908755,1,1014.391530
201606,252,17,6,6.908755,1,1021.300284
201607,253,17,6,6.908755,1,1028.209039
201608,257,18,6,6.908755,1,1035.117794
201609,258,18,6,6.908755,1,1042.026549
201610,257,18,6,6.908755,1,1048.935303
201611,258,18,6,6.908755,1,1055.844058
201612,259,18,6,6.908755,1,1062.752813
201701,259,18,6,6.908755,1,1069.661568
