date,n,B,sectors,log_E,rank,log_M
200301,70,5,8,0.603329,129,0.603329
200302,74,5,8,6.012583,1,6.615912
200303,78,6,8,-0.261069,163,6.354843
200304,80,6,9,-11.939118,887,-5.584274
200305,80,6,9,-2.634771,727,-8.219045
200306,85,6,9,3.920276,2,-4.298769
200307,86,6,9,6.167938,1,1.869169
200308,88,6,9,6.748166,1,8.617335
200309,94,7,9,2.626297,13,11.243632
200310,97,7,9,6.789126,1,18.032758
200311,98,7,9,5.888336,1,23.921095
200312,96,7,9,4.142416,3,28.063511
200401,106,8,8,6.869801,1,34.933312
200402,101,7,7,6.521492,1,41.454804
200403,106,8,7,3.405575,5,44.860379
200404,107,8,7,6.908582,1,51.768961
200405,108,8,7,6.906107,1,58.675068
200406,106,8,7,6.908754,1,65.583822
200407,110,8,7,6.908751,1,72.492573
200408,108,8,7,6.908755,1,79.401328
200409,111,8,7,6.908755,1,86.310083
200410,108,8,7,6.908673,1,93.218755
200411,109,8,7,6.891072,1,100.109827
200412,116,8,6,6.907854,1,107.017682
200501,115,8,6,6.908755,1,113.926436
200502,115,8,6,6.908755,1,120.835191
200503,111,8,7,6.883898,1,127.719090
200504,100,7,8,-13.595487,109,114.123602
200505,98,7,8,2.932062,5,117.055664
200506,104,7,8,6.908206,1,123.963870
200507,105,7,9,5.531376,2,129.495246
200508,104,7,9,3.375102,3,132.870348
200509,101,7,9,6.900439,1,139.770787
200510,103,7,9,5.024818,2,144.795604
200511,101,7,9,0.240483,47,145.036087
200512,116,8,9,-5.619322,80,139.416765
200601,116,8,9,-6.907610,137,132.509155
200602,116,8,9,4.772379,3,137.281534
200603,118,8,9,6.273265,1,143.554799
200604,117,8,9,6.472608,1,150.027407
200605,120,8,9,6.518825,1,156.546232
200606,128,9,9,6.907930,1,163.454161
200607,125,9,9,6.908755,1,170.362916
200608,127,9,8,6.908755,1,177.271671
200609,130,9,8,6.908755,1,184.180426
200610,141,10,7,6.908755,1,191.089180
200611,127,9,6,6.908678,1,197.997859
200612,127,9,6,5.989662,2,203.987520
200701,123,9,6,6.908734,1,210.896254
200702,118,8,6,6.908754,1,217.805008
200703,109,8,6,6.908752,1,224.713760
200704,118,8,6,6.908755,1,231.622515
200705,113,8,6,6.907791,1,238.530306
200706,105,7,6,6.374223,1,244.904530
200707,101,7,5,-9.475047,17,235.429482
200708,95,7,5,-17.793010,42,217.636472
200709,91,7,5,0.463147,10,218.099619
200710,79,6,5,-2.324094,114,215.775525
200711,77,6,5,-8.324446,53,207.451079
200712,73,5,5,-7.488177,85,199.962902
200801,72,5,5,6.907473,1,206.870376
200802,72,5,5,1.720146,4,208.590522
200803,50,4,5,0.885142,32,209.475664
200804,52,4,5,2.101206,19,211.576870
200805,55,4,6,-2.957844,55,208.619026
200806,40,3,6,-4.448263,121,204.170763
200807,37,3,6,-2.753062,177,201.417701
200808,38,3,6,-3.055911,146,198.361789
200809,38,3,6,-5.933598,362,192.428191
200810,35,3,6,-5.713596,137,186.714596
200811,35,3,6,-23.147359,428,163.567236
200812,32,3,5,1.385372,32,164.952608
200901,32,3,5,-0.171784,163,164.780824
200902,33,3,5,-1.294458,366,163.486366
200903,33,3,5,-0.585736,326,162.900630
200904,34,3,5,-0.253093,583,162.647538
200905,33,3,5,-0.112450,374,162.535088
200906,34,3,5,-0.294460,291,162.240628
200907,35,3,5,3.321328,1,165.561956
200908,38,3,5,1.369468,43,166.931424
200909,39,3,5,1.850866,7,168.782290
200910,39,3,6,0.476994,172,169.259284
200911,42,3,6,2.268256,11,171.527540
200912,50,4,7,3.011261,10,174.538802
201001,55,4,7,3.494142,5,178.032944
201002,58,4,7,5.977828,1,184.010772
201003,59,4,7,6.729413,1,190.740185
201004,66,5,8,6.899194,1,197.639379
201005,66,5,8,6.891742,1,204.531121
201006,67,5,8,6.907594,1,211.438716
201007,69,5,8,6.908718,1,218.347434
201008,81,6,8,6.908557,1,225.255990
201009,91,7,8,6.908755,1,232.164745
201010,104,7,8,6.908755,1,239.073500
201011,106,8,8,6.908755,1,245.982255
201012,109,8,9,6.908755,1,252.891010
201101,109,8,9,6.908755,1,259.799764
201102,106,8,9,6.908755,1,266.708519
201103,107,8,9,6.908755,1,273.617274
201104,107,8,9,6.908755,1,280.526029
201105,104,7,8,6.908755,1,287.434783
201106,107,8,8,6.908687,1,294.343470
201107,106,8,9,6.908752,1,301.252222
201108,110,8,9,6.908755,1,308.160977
201109,116,8,9,6.908755,1,315.069731
201110,119,8,9,6.908755,1,321.978486
201111,126,9,9,6.908755,1,328.887241
201112,124,9,9,6.908755,1,335.795996
201201,125,9,9,6.908755,1,342.704751
201202,127,9,8,6.908755,1,349.613505
201203,133,9,8,6.908755,1,356.522260
201204,135,9,8,6.908755,1,363.431015
201205,132,9,8,6.908755,1,370.339770
201206,136,10,8,6.908755,1,377.248524
201207,141,10,8,6.908755,1,384.157279
201208,136,10,8,6.908755,1,391.066034
201209,155,11,9,6.908755,1,397.974789
201210,162,11,9,6.908755,1,404.883544
201211,164,11,9,6.908755,1,411.792298
201212,167,12,9,6.908755,1,418.701053
201301,166,12,9,6.908755,1,425.609808
201302,162,11,9,6.908755,1,432.518563
201303,158,11,8,6.908755,1,439.427317
201304,167,12,8,6.908755,1,446.336072
201305,158,11,8,6.908755,1,453.244827
201306,158,11,8,6.908755,1,460.153582
201307,166,12,8,6.908755,1,467.062337
201308,166,12,8,6.908755,1,473.971091
201309,180,12,8,6.908755,1,480.879846
201310,171,12,8,6.908755,1,487.788601
201311,175,12,8,6.908755,1,494.697356
201312,174,12,8,6.908755,1,501.606110
201401,178,12,8,6.908755,1,508.514865
201402,176,12,8,6.908755,1,515.423620
201403,170,12,8,6.908755,1,522.332375
201404,173,12,8,6.908755,1,529.241130
201405,169,12,8,6.908755,1,536.149884
