date,n,B,sectors,log_E,rank,log_M
200301,88,6,7,6.119466,2,6.119466
200302,100,7,7,6.908750,1,13.028216
200303,102,7,7,6.908755,1,19.936971
200304,102,7,7,6.908755,1,26.845725
200305,118,8,8,6.908755,1,33.754480
200306,124,9,8,6.908755,1,40.663235
200307,137,10,8,6.908755,1,47.571990
200308,143,10,8,6.908755,1,54.480744
200309,148,10,8,6.908755,1,61.389499
200310,150,10,7,6.908755,1,68.298254
200311,152,11,7,6.908755,1,75.207009
200312,150,10,7,6.908755,1,82.115763
200401,139,10,7,6.908755,1,89.024518
200402,143,10,7,6.908755,1,95.933273
200403,139,10,7,6.908755,1,102.842028
200404,135,9,7,6.908755,1,109.750783
200405,140,10,8,6.908755,1,116.659537
200406,146,10,8,6.908755,1,123.568292
200407,152,11,8,6.908755,1,130.477047
200408,153,11,8,6.908755,1,137.385802
200409,155,11,8,6.908755,1,144.294556
200410,162,11,8,6.908755,1,151.203311
200411,167,12,8,6.908755,1,158.112066
200412,163,11,8,6.908755,1,165.020821
200501,164,11,8,6.908755,1,171.929576
200502,169,12,8,6.908755,1,178.838330
200503,172,12,8,6.908755,1,185.747085
200504,187,13,8,6.908755,1,192.655840
200505,196,14,8,6.908755,1,199.564595
200506,190,13,8,6.908755,1,206.473350
200507,190,13,8,6.908755,1,213.382104
200508,190,13,8,6.908755,1,220.290859
200509,197,14,8,6.908755,1,227.199614
200510,194,13,8,6.908755,1,234.108369
200511,197,14,8,6.908755,1,241.017123
200512,165,11,8,6.908755,1,247.925878
200601,164,11,8,6.908755,1,254.834633
200602,171,12,8,6.908755,1,261.743388
200603,168,12,8,6.908755,1,268.652143
200604,158,11,8,6.908755,1,275.560897
200605,152,11,8,6.908755,1,282.469652
200606,142,10,7,6.908755,1,289.378407
200607,141,10,7,6.908755,1,296.287162
200608,140,10,7,6.887561,1,303.174723
200609,142,10,7,6.908755,1,310.083478
200610,143,10,8,6.908755,1,316.992232
200611,157,11,8,6.908755,1,323.900987
200612,147,10,7,6.908755,1,330.809742
200701,152,11,7,6.908755,1,337.718497
200702,157,11,7,6.908755,1,344.627251
200703,157,11,7,6.908755,1,351.536006
200704,134,9,7,6.908755,1,358.444761
200705,131,9,7,6.908755,1,365.353516
200706,136,10,7,6.908755,1,372.262271
200707,128,9,7,-32.207658,15,340.054613
200708,125,9,7,4.424564,2,344.479177
200709,125,9,7,6.769096,1,351.248272
200710,114,8,7,6.837027,1,358.085300
200711,105,7,7,3.515567,5,361.600867
200712,99,7,7,6.908735,1,368.509602
200801,96,7,7,6.908738,1,375.418341
200802,95,7,7,6.891513,1,382.309853
200803,115,8,7,6.908755,1,389.218608
200804,114,8,7,2.592746,2,391.811354
200805,106,8,7,6.908755,1,398.720109
200806,105,7,7,6.908755,1,405.628863
200807,100,7,7,6.908755,1,412.537618
200808,100,7,7,6.908755,1,419.446373
200809,99,7,7,-0.519582,5,418.926791
200810,99,7,7,-20.538043,30,398.388748
200811,96,7,7,-40.181546,381,358.207202
200812,94,7,7,-45.833251,169,312.373951
200901,94,7,7,-0.565497,5,311.808453
200902,97,7,7,2.898480,6,314.706933
200903,101,7,7,6.573588,1,321.280521
200904,113,8,7,6.902537,1,328.183058
200905,110,8,7,6.908753,1,335.091811
200906,113,8,7,6.908755,1,342.000566
200907,116,8,7,6.908755,1,348.909321
200908,113,8,7,6.908755,1,355.818075
200909,121,9,6,6.908755,1,362.726830
200910,120,8,7,6.908755,1,369.635585
200911,122,9,7,6.908755,1,376.544340
200912,116,8,7,6.908755,1,383.453094
201001,118,8,7,6.908755,1,390.361849
201002,121,9,7,6.908755,1,397.270604
201003,130,9,7,6.908755,1,404.179359
201004,127,9,7,6.908755,1,411.088114
201005,130,9,7,6.908755,1,417.996868
201006,134,9,8,6.908755,1,424.905623
201007,140,10,8,6.908755,1,431.814378
201008,140,10,8,6.908755,1,438.723133
201009,150,10,8,6.908755,1,445.631887
201010,149,10,7,6.908755,1,452.540642
201011,159,11,7,6.908755,1,459.449397
201012,164,11,7,6.908755,1,466.358152
201101,164,11,7,6.908755,1,473.266907
201102,175,12,7,6.908755,1,480.175661
201103,186,13,8,6.908755,1,487.084416
201104,194,13,8,6.908755,1,493.993171
201105,193,13,7,6.908755,1,500.901926
201106,199,14,8,6.908755,1,507.810680
201107,221,15,8,6.908755,1,514.719435
201108,221,15,8,6.908755,1,521.628190
201109,224,15,8,6.908755,1,528.536945
201110,221,15,8,6.908755,1,535.445700
201111,227,16,8,6.908755,1,542.354454
201112,228,16,8,6.908755,1,549.263209
201201,234,16,8,6.908755,1,556.171964
201202,239,16,8,6.908755,1,563.080719
201203,232,16,8,6.908755,1,569.989473
201204,234,16,8,6.908755,1,576.898228
201205,232,16,8,6.908755,1,583.806983
201206,242,17,8,6.908755,1,590.715738
201207,242,17,8,6.908755,1,597.624493
201208,256,18,8,6.908755,1,604.533247
201209,271,19,8,6.908755,1,611.442002
201210,266,18,8,6.908755,1,618.350757
201211,273,19,8,6.908755,1,625.259512
201212,271,19,8,6.908755,1,632.168266
201301,272,19,8,6.908755,1,639.077021
201302,280,19,8,6.908755,1,645.985776
201303,274,19,8,6.908755,1,652.894531
201304,269,18,8,6.908755,1,659.803286
201305,273,19,8,6.908755,1,666.712040
201306,279,19,8,6.908755,1,673.620795
201307,285,19,8,6.908755,1,680.529550
201308,291,20,8,6.908755,1,687.438305
201309,275,19,8,6.908755,1,694.347059
201310,280,19,8,6.908755,1,701.255814
201311,291,20,8,6.908755,1,708.164569
