date,n,B,sectors,log_E,rank,log_M
200301,393,27,8,6.908755,1,6.908755
200302,409,28,8,6.908755,1,13.817510
200303,419,28,8,6.908755,1,20.726264
200304,435,29,8,6.908755,1,27.635019
200305,427,29,8,6.908755,1,34.543774
200306,437,30,8,6.908755,1,41.452529
200307,442,30,8,6.908755,1,48.361283
200308,444,30,8,6.908755,1,55.270038
200309,451,31,8,6.908755,1,62.178793
200310,433,29,8,6.908755,1,69.087548
200311,437,30,8,6.908755,1,75.996303
200312,442,30,8,6.908755,1,82.905057
200401,441,30,8,6.908755,1,89.813812
200402,445,30,8,6.908755,1,96.722567
200403,438,30,8,6.908755,1,103.631322
200404,440,30,8,6.908755,1,110.540076
200405,435,29,8,6.908755,1,117.448831
200406,436,30,8,6.908755,1,124.357586
200407,432,29,8,6.908755,1,131.266341
200408,431,29,8,6.908755,1,138.175096
200409,441,30,8,6.908755,1,145.083850
200410,437,30,8,6.908755,1,151.992605
200411,434,29,8,6.908755,1,158.901360
200412,423,29,8,6.908755,1,165.810115
200501,425,29,8,6.908755,1,172.718869
200502,427,29,8,6.908755,1,179.627624
200503,411,28,8,6.908755,1,186.536379
200504,404,27,8,6.908755,1,193.445134
200505,402,27,8,6.908755,1,200.353889
200506,397,27,8,6.908755,1,207.262643
200507,403,27,8,6.908755,1,214.171398
200508,405,27,8,6.908755,1,221.080153
200509,404,27,8,6.908755,1,227.988908
200510,414,28,8,6.908755,1,234.897662
200511,411,28,8,6.908755,1,241.806417
200512,411,28,8,6.908755,1,248.715172
200601,413,28,8,6.908755,1,255.623927
200602,424,29,8,6.908755,1,262.532682
200603,419,28,8,6.908755,1,269.441436
200604,424,29,8,6.908755,1,276.350191
200605,416,28,8,6.908755,1,283.258946
200606,410,28,8,6.908755,1,290.167701
200607,416,28,8,6.908755,1,297.076456
200608,417,28,8,6.908755,1,303.985210
200609,416,28,8,6.908755,1,310.893965
200610,403,27,8,6.908755,1,317.802720
200611,394,27,8,6.908755,1,324.711475
200612,395,27,8,6.908755,1,331.620229
200701,400,27,8,6.908755,1,338.528984
200702,391,27,8,6.908755,1,345.437739
200703,380,26,8,6.908755,1,352.346494
200704,384,26,8,6.908755,1,359.255249
200705,384,26,8,6.908755,1,366.164003
200706,381,26,8,6.908755,1,373.072758
200707,390,26,8,6.908755,1,379.981513
200708,376,26,8,6.908755,1,386.890268
200709,381,26,8,6.908755,1,393.799022
200710,379,26,8,6.908755,1,400.707777
200711,387,26,8,6.908755,1,407.616532
200712,381,26,8,6.908755,1,414.525287
