date,n,B,sectors,log_E,rank,log_M
200301,349,7,7,6.908753,1,6.908753
200302,351,7,7,3.156511,3,10.065264
200303,355,7,7,-3.405234,19,6.660030
200304,360,7,7,5.114808,2,11.774838
200305,371,7,7,5.014452,2,16.789290
200306,383,7,7,6.167122,2,22.956412
200307,395,8,7,6.301491,1,29.257903
200308,401,8,7,3.173798,7,32.431701
200309,412,8,7,6.908335,1,39.340036
200310,406,8,7,6.868856,1,46.208892
200311,416,8,7,6.885681,1,53.094573
200312,421,8,7,6.882373,1,59.976945
200401,429,8,7,6.897616,1,66.874561
200402,426,8,7,6.908717,1,73.783278
200403,428,7,7,6.857130,1,80.640408
200404,423,7,7,6.757718,1,87.398126
200405,423,7,7,6.907577,1,94.305703
200406,424,8,7,6.888768,1,101.194471
200407,425,8,7,6.268315,1,107.462786
200408,428,8,7,6.908072,1,114.370858
200409,439,8,7,6.908693,1,121.279550
200410,436,0,0,0.000000,,121.279550
200411,444,7,6,6.908748,1,128.188298
200412,445,7,6,6.908389,1,135.096688
200501,444,7,6,6.908113,1,142.004801
200502,443,7,6,6.897402,1,148.902203
200503,438,7,6,6.907145,1,155.809348
200504,436,7,6,6.908150,1,162.717498
200505,431,7,6,6.906004,1,169.623502
200506,438,7,6,6.447507,1,176.071009
200507,442,7,6,6.906575,1,182.977583
200508,439,7,6,6.908737,1,189.886321
200509,449,7,6,6.908754,1,196.795075
200510,455,7,6,6.908661,1,203.703736
200511,455,7,6,6.908755,1,210.612491
200512,446,7,6,6.908754,1,217.521245
200601,430,7,6,6.908754,1,224.429999
200602,434,7,6,6.908755,1,231.338754
200603,434,7,6,6.908755,1,238.247509
200604,431,7,6,4.636805,2,242.884314
200605,433,7,6,6.908755,1,249.793069
200606,421,7,6,6.908755,1,256.701823
200607,423,7,6,6.908755,1,263.610578
200608,414,7,6,6.908755,1,270.519333
200609,415,7,6,6.908755,1,277.428088
200610,380,7,6,6.908755,1,284.336842
200611,389,7,6,6.908754,1,291.245596
200612,380,7,6,6.907743,1,298.153340
200701,378,7,6,-0.064418,2,298.088921
200702,356,7,6,-2.845345,3,295.243576
200703,353,7,6,6.908755,1,302.152331
200704,367,7,6,6.908400,1,309.060731
200705,371,7,6,-3.380158,13,305.680573
200706,370,7,6,3.561826,2,309.242399
200707,362,7,6,6.908709,1,316.151108
200708,356,7,6,6.908755,1,323.059863
200709,364,7,6,0.417679,2,323.477541
200710,386,7,6,6.908754,1,330.386296
200711,379,7,6,6.908755,1,337.295050
200712,395,7,6,6.908755,1,344.203805
200801,394,7,6,6.908755,1,351.112560
200802,400,7,6,6.908755,1,358.021315
200803,401,7,6,6.908755,1,364.930070
200804,408,7,6,6.908755,1,371.838824
200805,414,7,6,6.908755,1,378.747579
200806,439,7,6,6.908755,1,385.656334
200807,449,7,6,6.908755,1,392.565089
200808,447,7,6,6.908755,1,399.473843
200809,440,7,6,6.908755,1,406.382598
200810,440,7,6,6.908755,1,413.291353
200811,446,7,6,6.908755,1,420.200108
200812,518,7,6,6.908755,1,427.108863
200901,499,7,6,6.908755,1,434.017617
200902,506,7,6,6.908755,1,440.926372
200903,529,7,6,6.908755,1,447.835127
200904,527,7,6,6.908755,1,454.743882
200905,538,7,6,6.908755,1,461.652636
200906,561,7,6,6.908755,1,468.561391
200907,575,7,6,6.908755,1,475.470146
200908,593,7,6,6.908755,1,482.378901
200909,606,7,6,6.908755,1,489.287656
200910,604,7,6,6.908755,1,496.196410
200911,601,7,6,6.908755,1,503.105165
