date,n,B,sectors,log_E,rank,log_M
200301,55,5,4,6.883137,1,6.883137
200302,56,5,4,6.622888,1,13.506026
200303,59,5,4,6.633158,1,20.139183
200304,59,5,4,5.777355,2,25.916539
200305,50,4,3,6.383144,1,32.299683
200306,52,4,3,6.691781,1,38.991463
200307,54,4,3,0.375033,6,39.366497
200308,54,4,3,5.473749,1,44.840245
200309,53,4,3,2.192047,25,47.032292
200310,62,4,3,0.338810,97,47.371102
200311,62,4,3,1.848097,25,49.219199
200312,64,4,3,0.691265,91,49.910464
200401,67,4,3,2.267416,24,52.177880
200402,69,4,3,3.481763,2,55.659643
200403,67,4,3,1.260282,53,56.919925
200404,67,4,3,3.154031,7,60.073956
200405,69,4,3,2.074195,22,62.148151
200406,73,4,3,1.048754,74,63.196905
200407,71,4,3,-0.134580,143,63.062325
200408,69,4,3,1.375443,57,64.437768
200409,72,4,3,1.125238,67,65.563006
200410,71,4,3,0.985624,88,66.548629
200411,72,4,3,0.641431,131,67.190060
200412,72,4,3,0.299222,211,67.489282
200501,72,4,3,0.866737,75,68.356019
200502,87,4,3,0.651523,95,69.007542
200503,88,4,3,-0.560524,507,68.447019
200504,89,4,3,0.433013,152,68.880032
200505,90,4,3,0.745963,83,69.625994
200506,93,4,3,0.959348,31,70.585342
200507,93,4,3,-3.178181,811,67.407161
200508,95,4,3,1.560100,4,68.967261
200509,100,4,3,-3.395523,523,65.571739
200510,94,4,3,0.513229,177,66.084968
200511,94,4,3,1.202201,21,67.287169
200512,95,4,3,1.329850,40,68.617020
200601,100,4,3,0.998790,48,69.615810
200602,103,4,3,-0.174948,391,69.440862
200603,101,4,3,0.019269,238,69.460131
200604,103,4,3,-0.057995,280,69.402136
200605,101,4,3,1.232676,52,70.634812
200606,130,4,3,-4.593798,488,66.041014
200607,127,4,3,0.706343,55,66.747357
200608,134,4,3,2.259766,12,69.007123
200609,128,4,3,-5.153228,338,63.853895
200610,164,4,3,-4.042422,433,59.811473
200611,164,4,3,0.356930,113,60.168403
200612,159,4,3,-8.313985,427,51.854418
200701,158,4,3,-4.176793,41,47.677625
200702,184,4,3,-19.235840,861,28.441784
200703,185,4,3,-2.553934,173,25.887851
200704,185,4,3,-9.325809,84,16.562042
200705,188,4,3,-3.358598,127,13.203443
200706,184,4,3,1.495688,10,14.699132
200707,184,4,3,-2.230584,14,12.468547
200708,186,4,3,-12.088233,193,0.380314
200709,192,4,3,-4.660565,35,-4.280251
200710,183,4,3,6.874316,1,2.594064
200711,185,4,3,-2.071464,5,0.522601
200712,186,4,3,-0.106348,2,0.416253
200801,178,4,3,2.184548,4,2.600802
200802,179,0,0,0.000000,,2.600802
200803,178,0,0,0.000000,,2.600802
200804,177,0,0,0.000000,,2.600802
200805,177,5,4,-1.078225,4,1.522577
200806,178,5,4,6.900962,1,8.423539
200807,176,5,4,6.908750,1,15.332288
200808,176,5,4,6.139091,2,21.471380
200809,173,5,4,6.908755,1,28.380134
200810,172,5,4,6.908755,1,35.288889
200811,173,5,4,6.908755,1,42.197644
200812,103,5,4,6.848359,1,49.046003
200901,101,5,4,6.908654,1,55.954657
200902,104,5,4,6.424772,1,62.379429
200903,126,5,4,5.216611,2,67.596040
200904,132,5,4,6.752598,1,74.348638
200905,134,5,4,4.656896,2,79.005534
200906,129,5,4,5.091435,2,84.096969
200907,131,5,4,4.319747,3,88.416715
200908,132,5,4,3.922483,2,92.339198
200909,134,5,4,4.187498,5,96.526697
200910,138,5,4,-1.053190,9,95.473506
200911,141,5,4,3.293152,9,98.766658
200912,144,5,4,5.295657,2,104.062315
201001,141,5,4,2.019092,7,106.081408
201002,156,5,4,1.698654,8,107.780062
201003,158,5,4,2.069966,14,109.850028
201004,157,5,4,0.988743,56,110.838771
201005,159,5,4,2.799930,13,113.638701
201006,156,5,4,2.666725,11,116.305426
201007,160,5,4,2.549020,17,118.854446
201008,161,5,4,2.831029,7,121.685475
201009,163,5,4,3.136773,8,124.822248
201010,163,5,4,2.813938,9,127.636186
201011,165,5,4,3.720937,2,131.357123
201012,165,5,4,1.916514,32,133.273637
201101,165,5,4,2.630219,15,135.903855
201102,174,5,4,3.074725,9,138.978580
201103,173,5,4,4.468541,3,143.447121
201104,175,5,4,3.117344,4,146.564464
201105,177,5,4,4.242041,2,150.806505
201106,181,0,0,0.000000,,150.806505
201107,181,0,0,0.000000,,150.806505
201108,182,0,0,0.000000,,150.806505
201109,182,0,0,0.000000,,150.806505
201110,186,6,5,5.340721,1,156.147226
201111,160,6,5,6.364617,1,162.511843
201112,159,6,5,5.601564,1,168.113407
201201,159,6,5,6.145945,1,174.259352
201202,160,6,5,6.340972,1,180.600324
201203,161,6,5,6.861001,1,187.461325
201204,158,6,5,6.883055,1,194.344380
201205,169,6,5,3.582783,2,197.927163
201206,172,6,5,6.821322,1,204.748485
201207,178,6,5,6.183999,1,210.932484
201208,170,6,5,6.851859,1,217.784343
201209,177,5,4,6.413531,1,224.197874
201210,175,5,4,6.117950,2,230.315824
201211,177,5,4,6.603926,1,236.919750
201212,173,5,4,4.895179,2,241.814929
201301,173,5,4,6.734929,1,248.549858
201302,180,5,4,5.789578,2,254.339436
201303,182,5,4,6.590948,1,260.930383
201304,175,5,4,6.631695,1,267.562078
201305,177,5,4,4.022490,4,271.584568
201306,190,5,4,6.479237,1,278.063805
201307,193,5,4,6.908442,1,284.972247
201308,194,5,4,6.842745,1,291.814992
201309,197,5,4,3.749555,2,295.564547
201310,198,5,4,3.443232,2,299.007779
201311,200,5,4,6.478845,1,305.486624
201312,219,5,4,6.622263,1,312.108887
201401,216,5,5,4.533490,4,316.642377
201402,218,5,5,5.202418,2,321.844795
201403,215,5,5,5.825907,1,327.670702
201404,214,5,5,4.040999,2,331.711701
201405,216,5,5,5.477160,1,337.188861
201406,231,5,5,6.388869,1,343.577730
201407,234,5,5,6.553966,1,350.131696
201408,236,5,5,6.209576,1,356.341272
201409,237,5,5,6.339665,1,362.680937
201410,235,5,5,6.085144,1,368.766081
201411,234,5,5,4.288836,2,373.054917
201412,236,5,5,5.105143,1,378.160059
201501,231,5,5,6.260613,1,384.420672
201502,227,5,5,6.629469,1,391.050141
201503,229,5,5,6.902833,1,397.952974
201504,246,5,5,6.395158,1,404.348133
201505,241,5,5,6.905282,1,411.253415
201506,251,5,5,6.908727,1,418.162142
201507,252,5,6,6.878831,1,425.040973
201508,252,5,6,6.907644,1,431.948617
201509,254,5,6,6.908554,1,438.857171
201510,253,5,6,6.908585,1,445.765756
