date,n,B,sectors,log_E,rank,log_M
200301,17,0,0,0.000000,,0.000000
200302,20,0,0,0.000000,,0.000000
200303,20,0,0,0.000000,,0.000000
200304,20,0,0,0.000000,,0.000000
200305,21,0,0,0.000000,,0.000000
200306,23,0,0,0.000000,,0.000000
200307,24,0,0,0.000000,,0.000000
200308,24,0,0,0.000000,,0.000000
200309,26,2,1,2.647954,34,2.647954
200310,26,2,1,3.268585,20,5.916539
200311,25,2,1,-0.005544,110,5.910995
200312,25,2,1,0.937615,84,6.848610
200401,27,2,1,3.252319,4,10.100929
200402,28,2,1,3.071742,17,13.172671
200403,29,2,1,2.035587,22,15.208259
200404,27,2,1,1.914511,55,17.122769
200405,31,2,2,-7.442077,443,9.680692
200406,33,2,2,-1.912838,342,7.767854
200407,34,2,2,0.027329,222,7.795183
200408,34,2,2,0.890528,128,8.685711
200409,33,2,2,3.809718,10,12.495429
200410,33,2,2,2.881595,10,15.377024
200411,34,2,2,2.742188,34,18.119212
200412,34,2,2,1.839576,52,19.958789
200501,36,2,2,2.418873,31,22.377662
200502,36,2,2,-2.130421,197,20.247240
200503,35,2,1,0.585838,124,20.833079
200504,38,2,1,-6.793640,454,14.039439
200505,38,2,1,-0.110295,292,13.929144
200506,38,2,1,0.204429,239,14.133573
200507,43,2,1,0.330620,230,14.464193
200508,43,2,1,0.166635,264,14.630828
200509,43,2,1,0.518493,200,15.149321
200510,43,2,1,-1.298056,764,13.851266
200511,45,2,1,0.401029,218,14.252295
200512,45,2,1,0.035711,508,14.288005
200601,46,2,1,-0.169584,696,14.118422
200602,48,2,1,-1.092816,823,13.025606
200603,46,2,1,0.317274,314,13.342880
200604,46,2,1,0.037102,449,13.379982
200605,47,2,1,0.762126,181,14.142108
200606,47,2,1,0.844147,66,14.986255
200607,48,2,1,1.161593,13,16.147847
200608,48,2,1,2.003194,6,18.151041
200609,48,2,1,1.976405,16,20.127445
200610,48,2,1,1.877378,25,22.004823
200611,49,2,1,-14.800844,947,7.203979
200612,50,2,1,-0.606139,623,6.597840
200701,49,2,1,0.003909,269,6.601749
200702,48,2,1,1.130711,72,7.732460
200703,48,2,1,-0.613636,725,7.118825
200704,49,2,1,-0.219575,281,6.899250
200705,50,2,1,-0.704305,479,6.194945
200706,49,2,1,-11.520278,926,-5.325333
200707,50,2,1,-1.046166,538,-6.371499
200708,50,2,1,-4.631657,463,-11.003156
200709,53,2,1,-1.915965,857,-12.919121
200710,54,2,1,1.144565,40,-11.774556
200711,56,2,1,-0.298610,354,-12.073166
200712,55,2,1,-3.098323,285,-15.171489
200801,54,2,1,-1.228168,240,-16.399656
200802,55,2,1,-2.598301,320,-18.997957
200803,56,2,2,-5.240913,473,-24.238870
200804,55,2,2,-2.099863,352,-26.338733
200805,55,2,2,-0.024413,183,-26.363146
200806,56,2,1,0.382973,196,-25.980173
200807,56,2,1,0.764068,139,-25.216105
200808,57,2,1,1.205606,75,-24.010500
200809,57,2,1,-24.048337,982,-48.058837
200810,55,2,1,-0.113762,130,-48.172599
200811,55,2,1,-3.446491,673,-51.619090
200812,55,2,1,-0.463886,354,-52.082976
200901,58,2,1,0.588020,148,-51.494956
200902,56,2,1,2.513419,7,-48.981537
200903,17,2,1,-0.800366,348,-49.781903
200904,20,2,1,-1.087205,276,-50.869108
200905,19,2,1,-0.269248,216,-51.138355
200906,19,2,1,0.924359,101,-50.213997
200907,22,0,0,0.000000,,-50.213997
200908,22,0,0,0.000000,,-50.213997
200909,22,0,0,0.000000,,-50.213997
200910,17,3,2,1.875744,37,-48.338253
200911,18,3,2,2.267368,24,-46.070885
200912,18,3,2,2.009236,32,-44.061649
201001,17,3,2,1.992462,37,-42.069187
201002,9,2,2,-1.077911,279,-43.147099
201003,9,2,2,-0.752829,304,-43.899928
201004,9,2,2,-0.103123,268,-44.003051
201005,9,2,2,-0.339269,256,-44.342320
201006,9,2,2,-0.272156,311,-44.614476
201007,9,2,2,-0.535294,328,-45.149770
201008,9,2,2,-0.378120,368,-45.527891
201009,10,2,2,-0.511264,345,-46.039154
201010,10,2,2,-0.994164,347,-47.033318
201011,11,2,2,-0.610548,398,-47.643866
201012,11,2,2,-0.043590,425,-47.687457
201101,11,2,2,-0.613684,434,-48.301141
