date,n,B,sectors,log_E,rank,log_M
200301,88,7,7,6.908755,1,6.908755
200302,100,7,7,6.908602,1,13.817357
200303,102,7,7,6.908755,1,20.726112
200304,102,7,7,6.908755,1,27.634867
200305,118,7,8,6.908754,1,34.543621
200306,124,7,8,5.675315,2,40.218936
200307,137,7,8,6.578038,1,46.796973
200308,143,7,8,6.908222,1,53.705195
200309,148,7,8,6.908755,1,60.613950
200310,150,7,7,6.908754,1,67.522704
200311,152,7,7,6.888116,1,74.410820
200312,150,7,7,6.908230,1,81.319050
200401,139,7,7,5.840587,1,87.159637
200402,143,7,7,4.899706,4,92.059343
200403,139,8,7,2.090988,2,94.150332
200404,135,8,7,6.788090,1,100.938422
200405,140,8,8,6.870049,1,107.808471
200406,146,8,8,6.904412,1,114.712883
200407,152,8,8,4.112823,2,118.825707
200408,153,8,8,6.347052,1,125.172758
200409,155,8,8,6.818054,1,131.990813
200410,162,8,8,6.908081,1,138.898893
200411,167,0,0,0.000000,,138.898893
200412,163,0,0,0.000000,,138.898893
200501,164,9,8,6.908753,1,145.807647
200502,169,9,8,6.907890,1,152.715537
200503,172,9,8,6.748417,1,159.463953
200504,187,9,8,6.907409,1,166.371362
200505,196,9,8,6.816694,1,173.188056
200506,190,9,8,-1.550585,14,171.637471
200507,190,8,8,6.809708,1,178.447179
200508,190,8,8,4.757298,2,183.204477
200509,197,8,8,6.901502,1,190.105979
200510,194,9,8,6.905125,1,197.011104
200511,197,8,8,6.908754,1,203.919858
200512,165,8,8,6.908751,1,210.828608
200601,164,8,8,6.908748,1,217.737356
200602,171,8,8,6.908755,1,224.646111
200603,168,8,8,6.908675,1,231.554786
200604,158,8,8,6.794146,1,238.348932
200605,152,8,8,5.405739,2,243.754671
200606,142,8,7,6.374546,1,250.129217
200607,141,8,7,6.097812,1,256.227029
200608,140,8,7,6.908755,1,263.135783
200609,142,8,7,6.908755,1,270.044538
200610,143,8,8,6.906328,1,276.950867
200611,157,8,8,6.908755,1,283.859621
200612,147,8,7,6.908755,1,290.768376
200701,152,8,7,6.908755,1,297.677131
200702,157,8,7,6.908755,1,304.585886
200703,157,8,7,6.908755,1,311.494640
200704,134,8,7,6.908755,1,318.403395
200705,131,8,7,6.908755,1,325.312150
200706,136,8,7,6.908755,1,332.220905
