date,n,B,sectors,log_E,rank,log_M
200301,393,0,0,0.000000,,0.000000
200302,409,0,0,0.000000,,0.000000
200303,419,9,8,6.907425,1,6.907425
200304,435,9,8,6.908741,1,13.816166
200305,427,9,8,6.908435,1,20.724601
200306,437,9,8,3.606048,3,24.330649
200307,442,9,8,5.364484,3,29.695133
200308,444,9,8,0.969836,9,30.664969
200309,451,9,8,6.905049,1,37.570018
200310,433,9,8,6.860819,1,44.430837
200311,437,9,8,6.721924,1,51.152761
200312,442,9,8,-0.971437,3,50.181324
200401,441,9,8,1.109207,27,51.290531
200402,445,9,8,6.578399,1,57.868930
200403,438,9,8,-2.791899,90,55.077030
200404,440,9,8,3.209911,6,58.286941
200405,435,9,8,6.908316,1,65.195257
200406,436,9,8,5.502213,2,70.697470
200407,432,9,8,4.768622,2,75.466091
200408,431,9,8,6.886448,1,82.352539
200409,441,9,8,5.941638,1,88.294177
200410,437,9,8,6.886107,1,95.180284
200411,434,9,8,6.895772,1,102.076056
200412,423,9,8,6.837601,1,108.913656
200501,425,9,8,6.264576,1,115.178233
200502,427,9,8,6.780867,1,121.959099
200503,411,9,8,6.856616,1,128.815715
200504,404,9,8,6.905988,1,135.721703
200505,402,9,8,6.599462,1,142.321165
200506,397,9,8,6.615368,1,148.936533
200507,403,9,8,6.861433,1,155.797967
200508,405,9,8,6.839126,1,162.637092
200509,404,9,8,5.572710,1,168.209803
200510,414,9,8,6.819918,1,175.029721
200511,411,9,8,6.905138,1,181.934859
200512,411,9,8,6.908074,1,188.842933
200601,413,9,8,6.581193,1,195.424125
200602,424,9,8,6.882075,1,202.306200
200603,419,9,8,6.882224,1,209.188424
200604,424,9,8,6.550029,1,215.738453
200605,416,9,8,6.897952,1,222.636406
200606,410,9,8,-6.737025,10,215.899381
200607,416,9,8,6.869126,1,222.768507
200608,417,9,8,6.761606,1,229.530113
200609,416,9,8,6.862211,1,236.392324
200610,403,9,8,-5.251716,4,231.140608
200611,394,9,8,6.908754,1,238.049361
200612,395,9,8,6.827236,1,244.876598
200701,400,9,8,6.908750,1,251.785348
200702,391,9,8,6.837003,1,258.622351
200703,380,9,8,-2.755926,9,255.866425
200704,384,9,8,6.907347,1,262.773773
200705,384,9,8,-1.771705,5,261.002068
200706,381,9,8,6.443790,1,267.445858
200707,390,9,8,6.908740,1,274.354598
200708,376,9,8,6.908193,1,281.262791
200709,381,9,8,6.908755,1,288.171545
200710,379,9,8,6.908755,1,295.080300
200711,387,9,8,6.386692,1,301.466992
200712,381,9,8,6.908754,1,308.375746
200801,384,9,8,6.908754,1,315.284500
200802,384,9,8,6.908755,1,322.193255
200803,377,9,8,6.908570,1,329.101826
200804,387,9,8,6.908753,1,336.010579
200805,405,9,8,4.804001,2,340.814579
200806,413,9,8,2.964196,3,343.778776
200807,424,9,8,6.908703,1,350.687479
200808,427,9,8,6.908755,1,357.596234
200809,428,9,8,-3.369734,12,354.226500
200810,424,9,8,6.908755,1,361.135255
200811,415,9,8,6.908755,1,368.044010
200812,422,9,8,6.908755,1,374.952764
200901,430,9,8,6.908755,1,381.861519
200902,439,9,8,6.908755,1,388.770274
200903,434,9,8,6.908755,1,395.679029
200904,441,9,8,6.908755,1,402.587784
200905,451,9,8,6.908755,1,409.496538
200906,457,9,8,6.908755,1,416.405293
200907,463,9,8,6.908755,1,423.314048
200908,460,9,8,6.908755,1,430.222803
200909,477,9,8,6.908755,1,437.131557
200910,488,9,8,6.908755,1,444.040312
200911,506,9,8,6.908755,1,450.949067
200912,515,9,8,6.908755,1,457.857822
201001,521,9,8,6.908755,1,464.766576
201002,522,9,8,6.908755,1,471.675331
201003,521,9,8,6.908725,1,478.584056
201004,523,9,8,6.908755,1,485.492811
201005,534,8,8,6.908755,1,492.401566
201006,531,8,8,6.908755,1,499.310320
201007,529,9,8,6.908755,1,506.219075
