regime,month,log_E,log_M
exchangeable,12,-0.128128,-0.128128
exchangeable,13,-4.191707,-4.319835
exchangeable,14,-1.745810,-6.065645
exchangeable,15,-2.409637,-8.475283
exchangeable,16,-0.931227,-9.406509
exchangeable,17,-6.855958,-16.262468
exchangeable,18,-3.185579,-19.448047
exchangeable,19,-0.832557,-20.280604
exchangeable,20,-9.466503,-29.747107
exchangeable,21,-6.183367,-35.930474
exchangeable,22,-2.281509,-38.211983
exchangeable,23,-2.924052,-41.136035
exchangeable,24,-5.903119,-47.039154
exchangeable,25,-2.815375,-49.854530
exchangeable,26,1.120040,-48.734489
exchangeable,27,-5.953814,-54.688303
exchangeable,28,0.788503,-53.899800
exchangeable,29,-3.491850,-57.391650
exchangeable,30,-3.995267,-61.386917
exchangeable,31,-11.223127,-72.610043
exchangeable,32,3.187330,-69.422714
exchangeable,33,-0.820325,-70.243038
exchangeable,34,-2.465608,-72.708647
exchangeable,35,-14.931785,-87.640432
exchangeable,36,-1.638049,-89.278481
exchangeable,37,-2.027498,-91.305979
exchangeable,38,-1.583459,-92.889438
exchangeable,39,-3.644465,-96.533903
exchangeable,40,-9.739465,-106.273368
exchangeable,41,-12.268890,-118.542258
exchangeable,42,-11.306913,-129.849171
exchangeable,43,-7.373265,-137.222436
exchangeable,44,0.755484,-136.466952
exchangeable,45,0.093676,-136.373276
exchangeable,46,-9.169426,-145.542703
exchangeable,47,-3.708229,-149.250931
exchangeable,48,-5.123393,-154.374324
exchangeable,49,-1.851721,-156.226045
exchangeable,50,-0.767115,-156.993161
exchangeable,51,-5.629810,-162.622971
exchangeable,52,-2.564754,-165.187725
exchangeable,53,-3.507333,-168.695058
exchangeable,54,-0.475527,-169.170585
exchangeable,55,-3.630258,-172.800843
exchangeable,56,-2.026973,-174.827816
exchangeable,57,-6.545586,-181.373402
exchangeable,58,-0.373137,-181.746539
exchangeable,59,-2.283871,-184.030410
simple,12,6.732448,6.732448
simple,13,6.907807,13.640255
simple,14,6.908755,20.549010
simple,15,6.908721,27.457731
simple,16,6.899834,34.357565
simple,17,4.477279,38.834844
simple,18,6.247922,45.082766
simple,19,4.826716,49.909481
simple,20,-38.582526,11.326955
simple,21,-26.964320,-15.637364
simple,22,2.146561,-13.490803
simple,23,6.278492,-7.212311
simple,24,6.669771,-0.542540
simple,25,3.069443,2.526903
simple,26,6.896077,9.422981
simple,27,6.467735,15.890716
simple,28,6.813150,22.703865
simple,29,6.908755,29.612620
simple,30,4.102393,33.715013
simple,31,-12.980633,20.734380
simple,32,3.082372,23.816753
simple,33,6.908747,30.725500
simple,34,6.342888,37.068388
simple,35,2.964919,40.033306
simple,36,3.563319,43.596626
simple,37,6.858820,50.455445
simple,38,6.836911,57.292356
simple,39,6.774174,64.066530
simple,40,-2.017058,62.049472
simple,41,0.591377,62.640849
simple,42,0.702276,63.343125
simple,43,6.849126,70.192251
simple,44,6.908755,77.101006
simple,45,4.990576,82.091582
simple,46,6.908698,89.000280
simple,47,0.671013,89.671293
simple,48,-1.240826,88.430467
simple,49,6.856255,95.286722
simple,50,6.906133,102.192855
simple,51,6.260595,108.453450
simple,52,1.919333,110.372784
simple,53,5.707966,116.080749
simple,54,6.151563,122.232313
simple,55,4.748916,126.981229
simple,56,3.993361,130.974590
simple,57,6.885922,137.860512
simple,58,6.908726,144.769239
simple,59,3.713216,148.482455
complex,12,6.680344,6.680344
complex,13,-2.534550,4.145793
complex,14,3.110646,7.256439
complex,15,3.484862,10.741301
complex,16,0.997030,11.738331
complex,17,-0.385631,11.352700
complex,18,5.056455,16.409155
complex,19,4.037565,20.446720
complex,20,-8.189254,12.257465
complex,21,-1.889446,10.368020
complex,22,-2.529106,7.838914
complex,23,0.419346,8.258259
complex,24,5.219649,13.477908
complex,25,-0.966383,12.511525
complex,26,4.791648,17.303173
complex,27,-7.099093,10.204080
complex,28,4.820919,15.024999
complex,29,4.275047,19.300046
complex,30,1.889606,21.189653
complex,31,-7.526849,13.662804
complex,32,5.905405,19.568209
complex,33,6.234282,25.802491
complex,34,0.720214,26.522704
complex,35,-5.865958,20.656746
complex,36,3.867234,24.523981
complex,37,3.337071,27.861052
complex,38,-0.202294,27.658759
complex,39,0.988377,28.647135
complex,40,4.617703,33.264839
complex,41,-6.907525,26.357314
complex,42,-11.902516,14.454797
complex,43,5.643041,20.097839
complex,44,6.781685,26.879524
complex,45,3.199017,30.078541
complex,46,3.318314,33.396855
complex,47,5.970559,39.367414
complex,48,-4.253573,35.113841
complex,49,-3.481126,31.632715
complex,50,4.325869,35.958584
complex,51,-5.956893,30.001691
complex,52,2.617538,32.619229
complex,53,1.397952,34.017181
complex,54,5.135470,39.152651
complex,55,1.924682,41.077333
complex,56,1.202040,42.279373
complex,57,-5.914985,36.364388
complex,58,5.585460,41.949848
complex,59,1.463591,43.413439
marginal_shift,12,6.905601,6.905601
marginal_shift,13,3.062145,9.967746
marginal_shift,14,5.860872,15.828618
marginal_shift,15,2.967525,18.796143
marginal_shift,16,0.926513,19.722656
marginal_shift,17,-0.126186,19.596470
marginal_shift,18,5.685381,25.281851
marginal_shift,19,6.895411,32.177261
marginal_shift,20,6.639223,38.816484
marginal_shift,21,3.307995,42.124479
marginal_shift,22,-0.838395,41.286084
marginal_shift,23,4.816901,46.102985
marginal_shift,24,-2.562809,43.540176
marginal_shift,25,6.186330,49.726506
marginal_shift,26,6.714094,56.440600
marginal_shift,27,0.562039,57.002638
marginal_shift,28,6.283191,63.285829
marginal_shift,29,3.758583,67.044412
marginal_shift,30,2.687178,69.731590
marginal_shift,31,-2.710452,67.021139
marginal_shift,32,6.908585,73.929723
marginal_shift,33,2.577149,76.506872
marginal_shift,34,3.037334,79.544206
marginal_shift,35,-0.156605,79.387601
marginal_shift,36,6.838698,86.226299
marginal_shift,37,4.034170,90.260470
marginal_shift,38,6.908677,97.169147
marginal_shift,39,3.172310,100.341457
marginal_shift,40,-11.310529,89.030928
marginal_shift,41,-0.068526,88.962402
marginal_shift,42,-2.873219,86.089184
marginal_shift,43,4.509837,90.599020
marginal_shift,44,5.307472,95.906493
marginal_shift,45,6.856383,102.762876
marginal_shift,46,5.738091,108.500966
marginal_shift,47,1.626529,110.127495
marginal_shift,48,-2.685193,107.442302
marginal_shift,49,5.996483,113.438785
marginal_shift,50,4.038483,117.477268
marginal_shift,51,-1.198750,116.278518
marginal_shift,52,3.574945,119.853463
marginal_shift,53,3.034491,122.887954
marginal_shift,54,2.119963,125.007917
marginal_shift,55,2.160754,127.168671
marginal_shift,56,5.982848,133.151519
marginal_shift,57,2.584040,135.735558
marginal_shift,58,5.897093,141.632651
marginal_shift,59,3.730133,145.362784
legacy_null,12,6.908755,6.908755
legacy_null,13,6.908755,13.817510
legacy_null,14,6.908755,20.726264
