regime,target,is_null_for_target,K,reference_share,n_ref,n_cand,rejection_rate,rejection_rate_after_break,median_delay,mean_log_e_pre,mean_log_e_post
stable_relation,y,True,12,0.0,12,12,0.0,0.1,1.0,-1.8897857749349012,-1.5984746731839423
stable_relation,y,True,12,0.25,3,9,0.1,0.3,3.0,-1.5513937390885688,-1.7918374572545006
stable_relation,y,True,12,0.33,4,8,0.1,0.4,1.0,-1.9482901752921769,-2.013681762833704
stable_relation,y,True,12,0.5,6,6,0.0,0.2,0.5,-2.6193555526849717,-2.3988794375311797
stable_relation,y,True,12,0.67,8,4,0.0,0.0,nan,-3.921167145629647,-3.754586468890056
stable_relation,y,True,12,0.75,9,3,0.0,0.0,nan,-4.88262117382998,-4.782717889025242
stable_relation,y,True,18,0.0,18,18,0.1,0.0,nan,-1.080248778921541,-1.108822535507724
stable_relation,y,True,18,0.25,4,14,0.1,0.2,4.0,-1.085101607876958,-1.086421814449842
stable_relation,y,True,18,0.33,6,12,0.1,0.0,nan,-1.5008948567376954,-1.5655340043864894
stable_relation,y,True,18,0.5,9,9,0.0,0.0,nan,-1.8605177537752957,-2.0826979570200845
stable_relation,y,True,18,0.67,12,6,0.0,0.0,nan,-2.420870536353962,-2.9120926087469483
stable_relation,y,True,18,0.75,14,4,0.0,0.1,0.0,-3.4979571248237833,-3.9024846285895007
stable_relation,y,True,24,0.0,24,24,0.1,0.0,nan,-0.8932436256348852,-0.7337474659600762
stable_relation,y,True,24,0.25,6,18,0.0,0.2,2.5,-1.0153494888445764,-0.877829621920023
stable_relation,y,True,24,0.33,8,16,0.0,0.2,1.0,-1.1205267957792624,-1.0844436774486852
stable_relation,y,True,24,0.5,12,12,0.0,0.0,nan,-1.654376569204683,-1.5992912495226492
stable_relation,y,True,24,0.67,16,8,0.0,0.0,nan,-2.3667350519365447,-2.3802395929418223
stable_relation,y,True,24,0.75,18,6,0.0,0.0,nan,-2.8360099361145195,-2.9125998980310537
stable_relation,y,True,36,0.0,36,36,0.3,0.1,2.0,-0.4204385142576467,-0.5715282694020712
stable_relation,y,True,36,0.25,9,27,0.2,0.3,5.0,-0.7429294600621332,-0.6517241696430528
stable_relation,y,True,36,0.33,12,24,0.3,0.2,5.5,-0.8958049313041728,-0.7983292583566383
stable_relation,y,True,36,0.5,18,18,0.1,0.1,3.0,-1.2186685035307385,-1.173217528176558
stable_relation,y,True,36,0.67,24,12,0.1,0.0,nan,-1.8086094975910214,-1.734741304334315
stable_relation,y,True,36,0.75,27,9,0.0,0.0,nan,-2.093670039567587,-2.2459411181853737
relation_break,y,False,12,0.0,12,12,0.0,0.8,2.0,-1.8897857749349012,-1.1525082490636451
relation_break,y,False,12,0.25,3,9,0.7,1.0,2.5,-1.5513937390885688,-0.09954277894584747
